ROK;kod_chu;NAZEV;DRUH;SKUPINA;KOD_LOKAL;NAZEV_LOK;POLE;pracoviste;oop;HODNOCENE_OBDOBI_OD;HODNOCENE_OBDOBI_DO;ID_ND_AKCE;DATUM;CILMON;ID_IND;JEDNOTKA;TYP_IND;IND_GRP;KLIC;UROVEN;LIM_IND;LIM_INDLIST;HOD_IND;STAV_IND
2023;CZ0114001;Radotínské údolí;Cottus gobio;Ryby a mihule;CZ0114001;Radotínský potok -  Cikánka_nad;6051b;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2005-11-26;2023-08-17;12748424;2023-08-17;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;špatný;0
2023;CZ0114001;Radotínské údolí;Cottus gobio;Ryby a mihule;CZ0114001;Radotínský potok -  Cikánka_nad;6051b;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2005-11-26;2023-08-17;12748424;2023-08-17;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;0;NA
2023;CZ0114001;Radotínské údolí;Cottus gobio;Ryby a mihule;CZ0114001;Radotínský potok -  Cikánka_nad;6051b;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2005-11-26;2023-08-17;12748424;2023-08-17;0;POP_DYN;%;max;minmax;ano;lok;50;nejvýš 50 %;neznámý;NA
2023;CZ0114001;Radotínské údolí;Cottus gobio;Ryby a mihule;CZ0114001;Radotínský potok -  Cikánka_nad;6051b;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2005-11-26;2023-08-17;12748424;2023-08-17;0;POP_VITALITA;NA;min;minmax;ano;lok;3;alespoň 3 NA;neznámý;NA
2023;CZ0114001;Radotínské údolí;Cottus gobio;Ryby a mihule;CZ0114001;Radotínský potok -  Cikánka_nad;6051b;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2005-11-26;2023-08-17;12748424;2023-08-17;0;STA_MIGBARPOCET;NA;max;minmax;ne;lok;1;nejvýš 1 NA;neznámý;NA
2023;CZ0114001;Radotínské údolí;Cottus gobio;Ryby a mihule;CZ0114001;Radotínský potok -  Cikánka_nad;6051b;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2005-11-26;2023-08-17;12748424;2023-08-17;0;STA_MIGBARVYS;cm;max;minmax;ne;lok;10;nejvýš 10 cm;neznámý;NA
2022;CZ0212006;Drhleny;Cottus gobio;Ryby a mihule;CHKO Český Ráj;Kněžmostka - Drhleny_nad_Drhl. r.;5556a;RP Liberecko;AOPK ČR - RP Liberecko;2022-06-22;2022-06-22;13125911;2022-06-22;1;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;špatný;0
2022;CZ0212006;Drhleny;Cottus gobio;Ryby a mihule;CHKO Český Ráj;Kněžmostka - Drhleny_nad_Drhl. r.;5556a;RP Liberecko;AOPK ČR - RP Liberecko;2022-06-22;2022-06-22;13125911;2022-06-22;1;CELKOVE_SUM;NA;NA;NA;NA;NA;;;0;NA
2022;CZ0212006;Drhleny;Cottus gobio;Ryby a mihule;CHKO Český Ráj;Kněžmostka - Drhleny_nad_Drhl. r.;5556a;RP Liberecko;AOPK ČR - RP Liberecko;2022-06-22;2022-06-22;13125911;2022-06-22;1;POP_DYN;%;max;minmax;ano;lok;50;nejvýš 50 %;100;0
2022;CZ0212006;Drhleny;Cottus gobio;Ryby a mihule;CHKO Český Ráj;Kněžmostka - Drhleny_nad_Drhl. r.;5556a;RP Liberecko;AOPK ČR - RP Liberecko;2022-06-22;2022-06-22;13125911;2022-06-22;1;POP_VITALITA;NA;min;minmax;ano;lok;3;alespoň 3 NA;0;0
2022;CZ0212006;Drhleny;Cottus gobio;Ryby a mihule;CHKO Český Ráj;Kněžmostka - Drhleny_nad_Drhl. r.;5556a;RP Liberecko;AOPK ČR - RP Liberecko;2022-06-22;2022-06-22;13125911;2022-06-22;1;STA_MIGBARPOCET;NA;max;minmax;ne;lok;1;nejvýš 1 NA;neznámý;NA
2022;CZ0212006;Drhleny;Cottus gobio;Ryby a mihule;CHKO Český Ráj;Kněžmostka - Drhleny_nad_Drhl. r.;5556a;RP Liberecko;AOPK ČR - RP Liberecko;2022-06-22;2022-06-22;13125911;2022-06-22;1;STA_MIGBARVYS;cm;max;minmax;ne;lok;10;nejvýš 10 cm;neznámý;NA
