"ROK","kod_chu","NAZEV","DRUH","SKUPINA","KOD_LOKAL","NAZEV_LOK","POLE","pracoviste","oop","HODNOCENE_OBDOBI_OD","HODNOCENE_OBDOBI_DO","ID_ND_AKCE","DATUM","CILMON","ID_IND","JEDNOTKA","TYP_IND","IND_GRP","KLIC","UROVEN","LIM_IND","LIM_INDLIST","HOD_IND","STAV_IND"
2021,"CZ0210111","Paterovské stránì","Pulsatilla patens","Cévnaté rostliny","Bìlá pod Bezdìzem","Bìlá pod Bezdìzem","5555a","RP SCHKO Kokoøínsko - Máchùv kraj","Krajskı úøad Støedoèeského kraje",2015-04-17,2021-04-15,"11773089",2021-04-15,1,"CELKOVE_HODNOCENI",NA,NA,NA,NA,"lok",NA,NA,"špatnı",0
2021,"CZ0210111","Paterovské stránì","Pulsatilla patens","Cévnaté rostliny","Bìlá pod Bezdìzem","Bìlá pod Bezdìzem","5555a","RP SCHKO Kokoøínsko - Máchùv kraj","Krajskı úøad Støedoèeského kraje",2015-04-17,2021-04-15,"11773089",2021-04-15,1,"CELKOVE_SUM",NA,NA,NA,NA,NA,"","","2",NA
2021,"CZ0210111","Paterovské stránì","Pulsatilla patens","Cévnaté rostliny","Bìlá pod Bezdìzem","Bìlá pod Bezdìzem","5555a","RP SCHKO Kokoøínsko - Máchùv kraj","Krajskı úøad Støedoèeského kraje",2015-04-17,2021-04-15,"11773089",2021-04-15,1,"POP_POCET","trsù","min","minmax","ano","lok","70","alespoò 70 trsù","0",0
2021,"CZ0210111","Paterovské stránì","Pulsatilla patens","Cévnaté rostliny","Bìlá pod Bezdìzem","Bìlá pod Bezdìzem","5555a","RP SCHKO Kokoøínsko - Máchùv kraj","Krajskı úøad Støedoèeského kraje",2015-04-17,2021-04-15,"11773089",2021-04-15,1,"POP_POSKPERC","poèet trsù","max","minmax","ne","lok","1","nejvıš 1 poèet trsù","0",1
2021,"CZ0210111","Paterovské stránì","Pulsatilla patens","Cévnaté rostliny","Bìlá pod Bezdìzem","Bìlá pod Bezdìzem","5555a","RP SCHKO Kokoøínsko - Máchùv kraj","Krajskı úøad Støedoèeského kraje",2015-04-17,2021-04-15,"11773089",2021-04-15,1,"POP_POSKPOC","poèet typù poškození rostlin","max","minmax","ne","lok","2","nejvıš 2 poèet typù poškození rostlin","0",1
2021,"CZ0210111","Paterovské stránì","Pulsatilla patens","Cévnaté rostliny","Bìlá pod Bezdìzem","Bìlá pod Bezdìzem","5555a","RP SCHKO Kokoøínsko - Máchùv kraj","Krajskı úøad Støedoèeského kraje",2015-04-17,2021-04-15,"11773089",2021-04-15,1,"POP_TREND","posledních dvou let s menším poètem jedincù ne je referenèní hodnota","max","minmax","ano","lok","1","nejvıš 1 posledních dvou let s menším poètem jedincù ne je referenèní hodnota","2",0
2021,"CZ0210111","Paterovské stránì","Pulsatilla patens","Cévnaté rostliny","Bìlá pod Bezdìzem","Bìlá pod Bezdìzem","5555a","RP SCHKO Kokoøínsko - Máchùv kraj","Krajskı úøad Støedoèeského kraje",2015-04-17,2021-04-15,"11773089",2021-04-15,1,"POP_VITAL","% poètu trsù","min","minmax","ano","lok","30","alespoò 30 % poètu trsù","neznámı",NA
2021,"CZ0210111","Paterovské stránì","Pulsatilla patens","Cévnaté rostliny","Bìlá pod Bezdìzem","Bìlá pod Bezdìzem","5555a","RP SCHKO Kokoøínsko - Máchùv kraj","Krajskı úøad Støedoèeského kraje",2015-04-17,2021-04-15,"11773089",2021-04-15,1,"STA_POKRDREV",NA,"val","val","ne","lok","0","0, do 5 %, 5-25 %","neznámı",NA
2021,"CZ0210111","Paterovské stránì","Pulsatilla patens","Cévnaté rostliny","Bìlá pod Bezdìzem","Bìlá pod Bezdìzem","5555a","RP SCHKO Kokoøínsko - Máchùv kraj","Krajskı úøad Støedoèeského kraje",2015-04-17,2021-04-15,"11773089",2021-04-15,1,"STA_POKRSTAR",NA,"val","val","ne","lok","0","0, do 5 %, 5-25 %","neznámı",NA
2021,"CZ0210111","Paterovské stránì","Pulsatilla patens","Cévnaté rostliny","Bìlá pod Bezdìzem","Bìlá pod Bezdìzem","5555a","RP SCHKO Kokoøínsko - Máchùv kraj","Krajskı úøad Støedoèeského kraje",2015-04-17,2021-04-15,"11773089",2021-04-15,1,"STA_POKRYVNOSTEXPANZNI",NA,"val","val","ne","lok","0","0, do 5 %, 5-25 %","neznámı",NA
