"typ_predmetu_hodnoceni","kod_chu","nazev_chu","druh","feature_code","hodnocene_obdobi_od","hodnocene_obdobi_do","oop","parametr_nazev","parametr_hodnota","parametr_limit","parametr_jednotka","stav","trend","datum_hodnoceni","pracoviste","ind_nadr","metodika"
"Druh","CZ0213086","Aglaia","Triturus cristatus",1166,2022-05-17,2024-08-02,"Krajský úøad Støedoèeského kraje",36,100,30,"% lokalit v dobrém stavu","dobrý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213086","Aglaia","Triturus cristatus",1166,2022-05-17,2024-08-02,"Krajský úøad Støedoèeského kraje",38,100,30,"% lokalit v dobrém stavu","dobrý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213086","Aglaia","Triturus cristatus",1166,2022-05-17,2024-08-02,"Krajský úøad Støedoèeského kraje",130,46.15,NA,"% lokalit v dobrém stavu","nehodnocen","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213086","Aglaia","Triturus cristatus",1166,2022-05-17,2024-08-02,"Krajský úøad Støedoèeského kraje",10,NA,NA,"hodnocení dílèích parametrù","špatný","setrvalý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213086","Aglaia","Triturus cristatus",1166,2022-05-17,2024-08-02,"Krajský úøad Støedoèeského kraje",131,13,NA,"poèet dílèích lokalit","nehodnocen","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213013","Bøeznice - Oblouèek","Bombina bombina",1188,2022-05-03,2024-06-24,"Krajský úøad Støedoèeského kraje",27,100,50,"% lokalit v dobrém stavu","dobrý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213013","Bøeznice - Oblouèek","Bombina bombina",1188,2022-05-03,2024-06-24,"Krajský úøad Støedoèeského kraje",21,202,NA,"volající samci","nehodnocen","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213013","Bøeznice - Oblouèek","Bombina bombina",1188,2022-05-03,2024-06-24,"Krajský úøad Støedoèeského kraje",22,2000,NA,"volající samci","nehodnocen","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213013","Bøeznice - Oblouèek","Bombina bombina",1188,2022-05-03,2024-06-24,"Krajský úøad Støedoèeského kraje",80,100,50,"% lokalit v dobrém stavu","dobrý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213013","Bøeznice - Oblouèek","Bombina bombina",1188,2022-05-03,2024-06-24,"Krajský úøad Støedoèeského kraje",30,NA,50,"% lokalit v dobrém stavu","neznámý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213013","Bøeznice - Oblouèek","Bombina bombina",1188,2022-05-03,2024-06-24,"Krajský úøad Støedoèeského kraje",31,100,50,"% lokalit v dobrém stavu","dobrý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213013","Bøeznice - Oblouèek","Bombina bombina",1188,2022-05-03,2024-06-24,"Krajský úøad Støedoèeského kraje",32,50,50,"% lokalit v dobrém stavu","dobrý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213013","Bøeznice - Oblouèek","Bombina bombina",1188,2022-05-03,2024-06-24,"Krajský úøad Støedoèeského kraje",33,100,50,"% lokalit v dobrém stavu","dobrý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213013","Bøeznice - Oblouèek","Bombina bombina",1188,2022-05-03,2024-06-24,"Krajský úøad Støedoèeského kraje",34,100,50,"% lokalit v dobrém stavu","dobrý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213013","Bøeznice - Oblouèek","Bombina bombina",1188,2022-05-03,2024-06-24,"Krajský úøad Støedoèeského kraje",36,100,50,"% lokalit v dobrém stavu","dobrý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213013","Bøeznice - Oblouèek","Bombina bombina",1188,2022-05-03,2024-06-24,"Krajský úøad Støedoèeského kraje",37,100,50,"% lokalit v dobrém stavu","dobrý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213013","Bøeznice - Oblouèek","Bombina bombina",1188,2022-05-03,2024-06-24,"Krajský úøad Støedoèeského kraje",38,100,50,"% lokalit v dobrém stavu","dobrý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213013","Bøeznice - Oblouèek","Bombina bombina",1188,2022-05-03,2024-06-24,"Krajský úøad Støedoèeského kraje",130,100,NA,"% lokalit v dobrém stavu","nehodnocen","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213013","Bøeznice - Oblouèek","Bombina bombina",1188,2022-05-03,2024-06-24,"Krajský úøad Støedoèeského kraje",131,2,NA,"poèet dílèích lokalit","nehodnocen","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213013","Bøeznice - Oblouèek","Bombina bombina",1188,2022-05-03,2024-06-24,"Krajský úøad Støedoèeského kraje",10,NA,NA,"hodnocení dílèích parametrù","dobrý","setrvalý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213017","Dražská Koupì","Bombina bombina",1188,2022-05-03,2024-09-26,"Krajský úøad Støedoèeského kraje",27,100,50,"% lokalit v dobrém stavu","dobrý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213017","Dražská Koupì","Bombina bombina",1188,2022-05-03,2024-09-26,"Krajský úøad Støedoèeského kraje",21,23,NA,"volající samci","nehodnocen","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213017","Dražská Koupì","Bombina bombina",1188,2022-05-03,2024-09-26,"Krajský úøad Støedoèeského kraje",22,110,NA,"volající samci","nehodnocen","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213017","Dražská Koupì","Bombina bombina",1188,2022-05-03,2024-09-26,"Krajský úøad Støedoèeského kraje",80,0,50,"% lokalit v dobrém stavu","špatný","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213017","Dražská Koupì","Bombina bombina",1188,2022-05-03,2024-09-26,"Krajský úøad Støedoèeského kraje",30,NA,50,"% lokalit v dobrém stavu","neznámý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213017","Dražská Koupì","Bombina bombina",1188,2022-05-03,2024-09-26,"Krajský úøad Støedoèeského kraje",31,100,50,"% lokalit v dobrém stavu","dobrý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213017","Dražská Koupì","Bombina bombina",1188,2022-05-03,2024-09-26,"Krajský úøad Støedoèeského kraje",32,66.67,50,"% lokalit v dobrém stavu","dobrý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213017","Dražská Koupì","Bombina bombina",1188,2022-05-03,2024-09-26,"Krajský úøad Støedoèeského kraje",33,100,50,"% lokalit v dobrém stavu","dobrý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213017","Dražská Koupì","Bombina bombina",1188,2022-05-03,2024-09-26,"Krajský úøad Støedoèeského kraje",34,100,50,"% lokalit v dobrém stavu","dobrý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213017","Dražská Koupì","Bombina bombina",1188,2022-05-03,2024-09-26,"Krajský úøad Støedoèeského kraje",36,100,50,"% lokalit v dobrém stavu","dobrý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213017","Dražská Koupì","Bombina bombina",1188,2022-05-03,2024-09-26,"Krajský úøad Støedoèeského kraje",37,100,50,"% lokalit v dobrém stavu","dobrý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213017","Dražská Koupì","Bombina bombina",1188,2022-05-03,2024-09-26,"Krajský úøad Støedoèeského kraje",38,100,50,"% lokalit v dobrém stavu","dobrý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213017","Dražská Koupì","Bombina bombina",1188,2022-05-03,2024-09-26,"Krajský úøad Støedoèeského kraje",130,33.33,NA,"% lokalit v dobrém stavu","nehodnocen","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213017","Dražská Koupì","Bombina bombina",1188,2022-05-03,2024-09-26,"Krajský úøad Støedoèeského kraje",131,3,NA,"poèet dílèích lokalit","nehodnocen","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213017","Dražská Koupì","Bombina bombina",1188,2022-05-03,2024-09-26,"Krajský úøad Støedoèeského kraje",10,NA,NA,"hodnocení dílèích parametrù","špatný","zhoršující se",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213784","Horní a Dolní obdìnický rybník","Bombina bombina",1188,2022-05-04,2024-09-24,"Krajský úøad Støedoèeského kraje",27,60,50,"% lokalit v dobrém stavu","dobrý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213784","Horní a Dolní obdìnický rybník","Bombina bombina",1188,2022-05-04,2024-09-24,"Krajský úøad Støedoèeského kraje",21,253,NA,"volající samci","nehodnocen","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213784","Horní a Dolní obdìnický rybník","Bombina bombina",1188,2022-05-04,2024-09-24,"Krajský úøad Støedoèeského kraje",22,2100,NA,"volající samci","nehodnocen","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213784","Horní a Dolní obdìnický rybník","Bombina bombina",1188,2022-05-04,2024-09-24,"Krajský úøad Støedoèeského kraje",80,75,50,"% lokalit v dobrém stavu","dobrý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213784","Horní a Dolní obdìnický rybník","Bombina bombina",1188,2022-05-04,2024-09-24,"Krajský úøad Støedoèeského kraje",30,NA,50,"% lokalit v dobrém stavu","neznámý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213784","Horní a Dolní obdìnický rybník","Bombina bombina",1188,2022-05-04,2024-09-24,"Krajský úøad Støedoèeského kraje",31,100,50,"% lokalit v dobrém stavu","dobrý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213784","Horní a Dolní obdìnický rybník","Bombina bombina",1188,2022-05-04,2024-09-24,"Krajský úøad Støedoèeského kraje",32,40,50,"% lokalit v dobrém stavu","špatný","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213784","Horní a Dolní obdìnický rybník","Bombina bombina",1188,2022-05-04,2024-09-24,"Krajský úøad Støedoèeského kraje",33,100,50,"% lokalit v dobrém stavu","dobrý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213784","Horní a Dolní obdìnický rybník","Bombina bombina",1188,2022-05-04,2024-09-24,"Krajský úøad Støedoèeského kraje",34,100,50,"% lokalit v dobrém stavu","dobrý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213784","Horní a Dolní obdìnický rybník","Bombina bombina",1188,2022-05-04,2024-09-24,"Krajský úøad Støedoèeského kraje",36,100,50,"% lokalit v dobrém stavu","dobrý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213784","Horní a Dolní obdìnický rybník","Bombina bombina",1188,2022-05-04,2024-09-24,"Krajský úøad Støedoèeského kraje",37,100,50,"% lokalit v dobrém stavu","dobrý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213784","Horní a Dolní obdìnický rybník","Bombina bombina",1188,2022-05-04,2024-09-24,"Krajský úøad Støedoèeského kraje",38,100,50,"% lokalit v dobrém stavu","dobrý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213784","Horní a Dolní obdìnický rybník","Bombina bombina",1188,2022-05-04,2024-09-24,"Krajský úøad Støedoèeského kraje",130,60,NA,"% lokalit v dobrém stavu","nehodnocen","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213784","Horní a Dolní obdìnický rybník","Bombina bombina",1188,2022-05-04,2024-09-24,"Krajský úøad Støedoèeského kraje",131,5,NA,"poèet dílèích lokalit","nehodnocen","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213784","Horní a Dolní obdìnický rybník","Bombina bombina",1188,2022-05-04,2024-09-24,"Krajský úøad Støedoèeského kraje",10,NA,NA,"hodnocení dílèích parametrù","dobrý","setrvalý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213785","Horní solopyský rybník","Bombina bombina",1188,2022-05-04,2024-07-05,"Krajský úøad Støedoèeského kraje",27,100,50,"% lokalit v dobrém stavu","dobrý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
