kod_chu;DRUH;KOD_LOKAL;POLE;ROK;ID_IND;SKUPINA;NAZEV_LOK;ID_ND_AKCE;DATUM;HOD_IND;TYP_IND;LIM_IND;JEDNOTKA;LIM_INDLIST;STAV_IND;KLIC;IND_GRP;UROVEN;CILMON;IND_SUM;IND_SUMKLIC;IND_SUMOST;IND_LEN;IND_LENKLIC;IND_LENOST;CELKOVE;NAZEV;HODNOCENE_OBDOBI_OD;HODNOCENE_OBDOBI_DO;pracoviste;oop
CZ0624099;Limoniscus violaceus;CZ0624099;7267a;2015;CELKOVE_HODNOCENI;Brouci;Břeclav_1219;10012471;2015-01-01;zhoršený;NA;NA;NA;NA;0.5;NA;NA;NA;0;1;1;0;3;1;2;0.5;Niva Dyje;2015-01-01;2015-01-01;RP Jižní Morava;AOPK ČR - RP Jižní Morava, Krajský úřad Jihomoravského kraje
CZ0624099;Limoniscus violaceus;CZ0624099;7267a;2015;POP_PRESENCE;Brouci;Břeclav_1219;10012471;2015-01-01;ano;val;ano;NA;ano;1;ano;val;lok;0;1;1;0;3;1;2;0.5;Niva Dyje;2015-01-01;2015-01-01;RP Jižní Morava;AOPK ČR - RP Jižní Morava, Krajský úřad Jihomoravského kraje
CZ0624099;Limoniscus violaceus;CZ0624099;7267a;2015;STA_VHSTROMK;Brouci;Břeclav_1219;10012471;2015-01-01;neznámý;val;ano;NA;ano;NA;ne;val;lok;0;1;1;0;3;1;2;0.5;Niva Dyje;2015-01-01;2015-01-01;RP Jižní Morava;AOPK ČR - RP Jižní Morava, Krajský úřad Jihomoravského kraje
CZ0624099;Limoniscus violaceus;CZ0624099;7267a;2015;STA_VHSTROMN;Brouci;Břeclav_1219;10012471;2015-01-01;neznámý;val;ano;NA;ano;NA;ne;val;lok;0;1;1;0;3;1;2;0.5;Niva Dyje;2015-01-01;2015-01-01;RP Jižní Morava;AOPK ČR - RP Jižní Morava, Krajský úřad Jihomoravského kraje
CZ0624119;Lucanus cervus;CZ0624119;7367a;2014;CELKOVE_HODNOCENI;Brouci;Břeclav_1233;10012485;2014-05-27;zhoršený;NA;NA;NA;NA;0.5;NA;NA;NA;0;5;5;0;3;1;2;0.5;Soutok - Podluží;2014-05-27;2014-05-27;RP Jižní Morava;AOPK ČR - RP Jižní Morava, Krajský úřad Jihomoravského kraje
CZ0624119;Lucanus cervus;CZ0624119;7367a;2014;POP_PRESENCE;Brouci;Břeclav_1233;10012485;2014-05-27;ano;val;ano;NA;ano;1;ano;val;lok;0;5;5;0;3;1;2;0.5;Soutok - Podluží;2014-05-27;2014-05-27;RP Jižní Morava;AOPK ČR - RP Jižní Morava, Krajský úřad Jihomoravského kraje
CZ0624119;Lucanus cervus;CZ0624119;7367a;2014;STA_VHSTROMK;Brouci;Břeclav_1233;10012485;2014-05-27;neznámý;val;ano;NA;ano;NA;ne;val;lok;0;5;5;0;3;1;2;0.5;Soutok - Podluží;2014-05-27;2014-05-27;RP Jižní Morava;AOPK ČR - RP Jižní Morava, Krajský úřad Jihomoravského kraje
CZ0624119;Lucanus cervus;CZ0624119;7367a;2014;STA_VHSTROMN;Brouci;Břeclav_1233;10012485;2014-05-27;neznámý;val;ano;NA;ano;NA;ne;val;lok;0;5;5;0;3;1;2;0.5;Soutok - Podluží;2014-05-27;2014-05-27;RP Jižní Morava;AOPK ČR - RP Jižní Morava, Krajský úřad Jihomoravského kraje
CZ0624119;Lucanus cervus;CZ0624119;7168c;2015;CELKOVE_HODNOCENI;Brouci;Mikulčice_1272;10012524;2015-01-01;zhoršený;NA;NA;NA;NA;0.5;NA;NA;NA;0;9;9;0;3;1;2;0.5;Soutok - Podluží;2015-01-01;2015-01-01;RP Jižní Morava;AOPK ČR - RP Jižní Morava, Krajský úřad Jihomoravského kraje
CZ0624119;Lucanus cervus;CZ0624119;7168c;2015;POP_PRESENCE;Brouci;Mikulčice_1272;10012524;2015-01-01;ano;val;ano;NA;ano;1;ano;val;lok;0;9;9;0;3;1;2;0.5;Soutok - Podluží;2015-01-01;2015-01-01;RP Jižní Morava;AOPK ČR - RP Jižní Morava, Krajský úřad Jihomoravského kraje
CZ0624119;Lucanus cervus;CZ0624119;7168c;2015;STA_VHSTROMK;Brouci;Mikulčice_1272;10012524;2015-01-01;neznámý;val;ano;NA;ano;NA;ne;val;lok;0;9;9;0;3;1;2;0.5;Soutok - Podluží;2015-01-01;2015-01-01;RP Jižní Morava;AOPK ČR - RP Jižní Morava, Krajský úřad Jihomoravského kraje
CZ0624119;Lucanus cervus;CZ0624119;7168c;2015;STA_VHSTROMN;Brouci;Mikulčice_1272;10012524;2015-01-01;neznámý;val;ano;NA;ano;NA;ne;val;lok;0;9;9;0;3;1;2;0.5;Soutok - Podluží;2015-01-01;2015-01-01;RP Jižní Morava;AOPK ČR - RP Jižní Morava, Krajský úřad Jihomoravského kraje
CZ0624119;Rhysodes sulcatus;CZ0624119;7267d;2015;CELKOVE_HODNOCENI;Brouci;Tvrdonice_1972;10013217;2015-01-01;zhoršený;NA;NA;NA;NA;0.5;NA;NA;NA;0;3;3;0;3;1;2;0.5;Soutok - Podluží;2015-01-01;2015-01-01;RP Jižní Morava;AOPK ČR - RP Jižní Morava, Krajský úřad Jihomoravského kraje
CZ0624119;Rhysodes sulcatus;CZ0624119;7267d;2015;POP_PRESENCE;Brouci;Tvrdonice_1972;10013217;2015-01-01;ano;val;ano;NA;ano;1;ano;val;lok;0;3;3;0;3;1;2;0.5;Soutok - Podluží;2015-01-01;2015-01-01;RP Jižní Morava;AOPK ČR - RP Jižní Morava, Krajský úřad Jihomoravského kraje
CZ0624119;Rhysodes sulcatus;CZ0624119;7267d;2015;STA_VHSTROMK;Brouci;Tvrdonice_1972;10013217;2015-01-01;neznámý;val;ano;NA;ano;NA;ne;val;lok;0;3;3;0;3;1;2;0.5;Soutok - Podluží;2015-01-01;2015-01-01;RP Jižní Morava;AOPK ČR - RP Jižní Morava, Krajský úřad Jihomoravského kraje
CZ0624119;Rhysodes sulcatus;CZ0624119;7267d;2015;STA_VHSTROMN;Brouci;Tvrdonice_1972;10013217;2015-01-01;neznámý;val;ano;NA;ano;NA;ne;val;lok;0;3;3;0;3;1;2;0.5;Soutok - Podluží;2015-01-01;2015-01-01;RP Jižní Morava;AOPK ČR - RP Jižní Morava, Krajský úřad Jihomoravského kraje
CZ0514042;Rosalia alpina;CZ0514042;5354c;2015;CELKOVE_HODNOCENI;Brouci;Hradčany nad Ploučnicí;10013225;2015-06-29;špatný;NA;NA;NA;NA;0;NA;NA;NA;0;4;4;0;4;1;3;0;Jestřebsko - Dokesko;2015-06-29;2015-06-29;RP SCHKO Kokořínsko - Máchův kraj;Krajský úřad Libereckého kraje, AOPK ČR - RP SCHKO Kokořínsko - Máchův kraj
CZ0514042;Rosalia alpina;CZ0514042;5354c;2015;POP_PRESENCE;Brouci;Hradčany nad Ploučnicí;10013225;2015-06-29;ano;val;ano;NA;ano;1;ano;val;lok;0;4;4;0;4;1;3;0;Jestřebsko - Dokesko;2015-06-29;2015-06-29;RP SCHKO Kokořínsko - Máchův kraj;Krajský úřad Libereckého kraje, AOPK ČR - RP SCHKO Kokořínsko - Máchův kraj
CZ0514042;Rosalia alpina;CZ0514042;5354c;2015;STA_SKLADREVO;Brouci;Hradčany nad Ploučnicí;10013225;2015-06-29;neznámý;val;ne;NA;ne;NA;ne;val;lok;0;4;4;0;4;1;3;0;Jestřebsko - Dokesko;2015-06-29;2015-06-29;RP SCHKO Kokořínsko - Máchův kraj;Krajský úřad Libereckého kraje, AOPK ČR - RP SCHKO Kokořínsko - Máchův kraj
CZ0514042;Rosalia alpina;CZ0514042;5354c;2015;STA_VHSTROMK;Brouci;Hradčany nad Ploučnicí;10013225;2015-06-29;neznámý;val;ano;NA;ano;NA;ne;val;lok;0;4;4;0;4;1;3;0;Jestřebsko - Dokesko;2015-06-29;2015-06-29;RP SCHKO Kokořínsko - Máchův kraj;Krajský úřad Libereckého kraje, AOPK ČR - RP SCHKO Kokořínsko - Máchův kraj
CZ0514042;Rosalia alpina;CZ0514042;5354c;2015;STA_VHSTROMN;Brouci;Hradčany nad Ploučnicí;10013225;2015-06-29;neznámý;val;ano;NA;ano;NA;ne;val;lok;0;4;4;0;4;1;3;0;Jestřebsko - Dokesko;2015-06-29;2015-06-29;RP SCHKO Kokořínsko - Máchův kraj;Krajský úřad Libereckého kraje, AOPK ČR - RP SCHKO Kokořínsko - Máchův kraj
CZ0514042;Rosalia alpina;CZ0514042;5453b;2015;CELKOVE_HODNOCENI;Brouci;Doksy u Máchova jezera;10013226;2015-06-29;špatný;NA;NA;NA;NA;0;NA;NA;NA;0;4;4;0;4;1;3;0;Jestřebsko - Dokesko;2015-06-29;2015-06-29;RP SCHKO Kokořínsko - Máchův kraj;Krajský úřad Libereckého kraje, AOPK ČR - RP SCHKO Kokořínsko - Máchův kraj
CZ0514042;Rosalia alpina;CZ0514042;5453b;2015;POP_PRESENCE;Brouci;Doksy u Máchova jezera;10013226;2015-06-29;ano;val;ano;NA;ano;1;ano;val;lok;0;4;4;0;4;1;3;0;Jestřebsko - Dokesko;2015-06-29;2015-06-29;RP SCHKO Kokořínsko - Máchův kraj;Krajský úřad Libereckého kraje, AOPK ČR - RP SCHKO Kokořínsko - Máchův kraj
CZ0514042;Rosalia alpina;CZ0514042;5453b;2015;STA_SKLADREVO;Brouci;Doksy u Máchova jezera;10013226;2015-06-29;neznámý;val;ne;NA;ne;NA;ne;val;lok;0;4;4;0;4;1;3;0;Jestřebsko - Dokesko;2015-06-29;2015-06-29;RP SCHKO Kokořínsko - Máchův kraj;Krajský úřad Libereckého kraje, AOPK ČR - RP SCHKO Kokořínsko - Máchův kraj
CZ0514042;Rosalia alpina;CZ0514042;5453b;2015;STA_VHSTROMK;Brouci;Doksy u Máchova jezera;10013226;2015-06-29;neznámý;val;ano;NA;ano;NA;ne;val;lok;0;4;4;0;4;1;3;0;Jestřebsko - Dokesko;2015-06-29;2015-06-29;RP SCHKO Kokořínsko - Máchův kraj;Krajský úřad Libereckého kraje, AOPK ČR - RP SCHKO Kokořínsko - Máchův kraj
CZ0514042;Rosalia alpina;CZ0514042;5453b;2015;STA_VHSTROMN;Brouci;Doksy u Máchova jezera;10013226;2015-06-29;neznámý;val;ano;NA;ano;NA;ne;val;lok;0;4;4;0;4;1;3;0;Jestřebsko - Dokesko;2015-06-29;2015-06-29;RP SCHKO Kokořínsko - Máchův kraj;Krajský úřad Libereckého kraje, AOPK ČR - RP SCHKO Kokořínsko - Máchův kraj
CZ0313128;Cerambyx cerdo;CZ0313128;6854d;2015;CELKOVE_HODNOCENI;Brouci;Klec;10013480, 10014187, 10014188, 10014189, 10014190, 10014191, 10014192, 10014193, 10014194, 10014195, 10014196, 10014197, 10014198, 10014199, 10014200, 10014201, 10014202, 10014203, 10014204, 10014205, 10014206, 10014207, 10014208, 10014209, 10014212;2015-01-01;zhoršený;NA;NA;NA;NA;0.5;NA;NA;NA;0;2;2;0;3;1;2;0.5;Nadějská soustava;2013-06-21;2015-01-01;RP Jižní Čechy;AOPK ČR - RP Jižní Čechy
CZ0313128;Cerambyx cerdo;CZ0313128;6854d;2015;POP_PRESENCE;Brouci;Klec;10013480, 10014187, 10014188, 10014189, 10014190, 10014191, 10014192, 10014193, 10014194, 10014195, 10014196, 10014197, 10014198, 10014199, 10014200, 10014201, 10014202, 10014203, 10014204, 10014205, 10014206, 10014207, 10014208, 10014209, 10014212;2015-01-01;ano;val;ano;NA;ano;1;ano;val;lok;0;2;2;0;3;1;2;0.5;Nadějská soustava;2013-06-21;2015-01-01;RP Jižní Čechy;AOPK ČR - RP Jižní Čechy
CZ0313128;Cerambyx cerdo;CZ0313128;6854d;2015;STA_VHSTROMK;Brouci;Klec;10013480, 10014187, 10014188, 10014189, 10014190, 10014191, 10014192, 10014193, 10014194, 10014195, 10014196, 10014197, 10014198, 10014199, 10014200, 10014201, 10014202, 10014203, 10014204, 10014205, 10014206, 10014207, 10014208, 10014209, 10014212;2015-01-01;neznámý;val;ano;NA;ano;NA;ne;val;lok;0;2;2;0;3;1;2;0.5;Nadějská soustava;2013-06-21;2015-01-01;RP Jižní Čechy;AOPK ČR - RP Jižní Čechy
CZ0313128;Cerambyx cerdo;CZ0313128;6854d;2015;STA_VHSTROMN;Brouci;Klec;10013480, 10014187, 10014188, 10014189, 10014190, 10014191, 10014192, 10014193, 10014194, 10014195, 10014196, 10014197, 10014198, 10014199, 10014200, 10014201, 10014202, 10014203, 10014204, 10014205, 10014206, 10014207, 10014208, 10014209, 10014212;2015-01-01;neznámý;val;ano;NA;ano;NA;ne;val;lok;0;2;2;0;3;1;2;0.5;Nadějská soustava;2013-06-21;2015-01-01;RP Jižní Čechy;AOPK ČR - RP Jižní Čechy
CZ0313128;Osmoderma barnabita;CZ0313128;6854c;2015;CELKOVE_HODNOCENI;Brouci;Klec;10014183, 10014184, 10014185, 10014186;2015-01-01;zhoršený;NA;NA;NA;NA;0.5;NA;NA;NA;0;2;2;0;3;1;2;0.5;Nadějská soustava;2014-03-11;2015-01-01;RP Jižní Čechy;AOPK ČR - RP Jižní Čechy
CZ0313128;Osmoderma barnabita;CZ0313128;6854c;2015;POP_PRESENCE;Brouci;Klec;10014183, 10014184, 10014185, 10014186;2015-01-01;ano;val;ano;NA;ano;1;ano;val;lok;0;2;2;0;3;1;2;0.5;Nadějská soustava;2014-03-11;2015-01-01;RP Jižní Čechy;AOPK ČR - RP Jižní Čechy
CZ0313128;Osmoderma barnabita;CZ0313128;6854c;2015;STA_VHSTROMK;Brouci;Klec;10014183, 10014184, 10014185, 10014186;2015-01-01;neznámý;val;ano;NA;ano;NA;ne;val;lok;0;2;2;0;3;1;2;0.5;Nadějská soustava;2014-03-11;2015-01-01;RP Jižní Čechy;AOPK ČR - RP Jižní Čechy
CZ0313128;Osmoderma barnabita;CZ0313128;6854c;2015;STA_VHSTROMN;Brouci;Klec;10014183, 10014184, 10014185, 10014186;2015-01-01;neznámý;val;ano;NA;ano;NA;ne;val;lok;0;2;2;0;3;1;2;0.5;Nadějská soustava;2014-03-11;2015-01-01;RP Jižní Čechy;AOPK ČR - RP Jižní Čechy
CZ0814092;Lycaena dispar;Ostrava - Stará Bělá - NPR Polanská niva;6275a;2013;CELKOVE_HODNOCENI;Motýli;Ostrava - Stará Bělá - NPR Polanská niva;10015590;2013-06-09;zhoršený;NA;NA;NA;NA;0.5;NA;NA;NA;0;1;1;0;3;1;2;0.5;Poodří;2013-06-09;2013-06-09;RP Moravskoslezské;AOPK ČR - RP Moravskoslezské, Krajský úřad Moravskoslezského kraje
CZ0814092;Lycaena dispar;Ostrava - Stará Bělá - NPR Polanská niva;6275a;2013;POP_PRESENCE;Motýli;Ostrava - Stará Bělá - NPR Polanská niva;10015590;2013-06-09;ano;val;ano;NA;ano;1;ano;val;lok;0;1;1;0;3;1;2;0.5;Poodří;2013-06-09;2013-06-09;RP Moravskoslezské;AOPK ČR - RP Moravskoslezské, Krajský úřad Moravskoslezského kraje
CZ0814092;Lycaena dispar;Ostrava - Stará Bělá - NPR Polanská niva;6275a;2013;STA_LIKVIDACE;Motýli;Ostrava - Stará Bělá - NPR Polanská niva;10015590;2013-06-09;neznámý;val;nezaznamenána;NA;nezaznamenána;NA;ne;val;lok;0;1;1;0;3;1;2;0.5;Poodří;2013-06-09;2013-06-09;RP Moravskoslezské;AOPK ČR - RP Moravskoslezské, Krajský úřad Moravskoslezského kraje
CZ0814092;Lycaena dispar;Ostrava - Stará Bělá - NPR Polanská niva;6275a;2013;STA_PRITOMNOSTROSTLIN;Motýli;Ostrava - Stará Bělá - NPR Polanská niva;10015590;2013-06-09;neznámý;val;jednotlivě;NA;jednotlivě, dominantně, hojně;NA;ne;val;lok;0;1;1;0;3;1;2;0.5;Poodří;2013-06-09;2013-06-09;RP Moravskoslezské;AOPK ČR - RP Moravskoslezské, Krajský úřad Moravskoslezského kraje
CZ0320053;Euplagia quadripunctaria;23314, Ostrovec-Lhotka, PR Lípa;6048c;2017;CELKOVE_HODNOCENI;Motýli;23314, Ostrovec-Lhotka, PR Lípa;10016085;2017-08-01;neznámý;NA;NA;NA;NA;NA;NA;NA;NA;0;1;1;0;2;1;1;NA;Kohoutov;2017-08-01;2017-08-01;RP Střední Čechy;AOPK ČR - RP Střední Čechy
CZ0320053;Euplagia quadripunctaria;23314, Ostrovec-Lhotka, PR Lípa;6048c;2017;POP_PRESENCE;Motýli;23314, Ostrovec-Lhotka, PR Lípa;10016085;2017-08-01;ano;val;ano;NA;ano;1;ano;val;lok;0;1;1;0;2;1;1;NA;Kohoutov;2017-08-01;2017-08-01;RP Střední Čechy;AOPK ČR - RP Střední Čechy
CZ0320053;Euplagia quadripunctaria;23314, Ostrovec-Lhotka, PR Lípa;6048c;2017;STA_PRITOMNOSTROSTLIN;Motýli;23314, Ostrovec-Lhotka, PR Lípa;10016085;2017-08-01;neznámý;val;jednotlivě;NA;jednotlivě, dominantně, hojně;NA;ne;val;lok;0;1;1;0;2;1;1;NA;Kohoutov;2017-08-01;2017-08-01;RP Střední Čechy;AOPK ČR - RP Střední Čechy
CZ0213067;Ophiogomphus cecilia;CZ0213067;6256d;2017;CELKOVE_HODNOCENI;Vážky;Horka nad Sázavou;10017212;2017-07-19;zhoršený;NA;NA;NA;NA;0.5;NA;NA;NA;0;1;1;0;3;1;2;0.5;Sázava;2015-07-07;2017-07-19;RP Střední Čechy;Krajský úřad Kraje Vysočina, Krajský úřad Středočeského kraje
CZ0213067;Ophiogomphus cecilia;CZ0213067;6256d;2017;POP_PRESENCE;Vážky;Horka nad Sázavou;10017212;2017-07-19;ano;val;ano;NA;ano;1;ano;val;lok;0;1;1;0;3;1;2;0.5;Sázava;2015-07-07;2017-07-19;RP Střední Čechy;Krajský úřad Kraje Vysočina, Krajský úřad Středočeského kraje
CZ0213067;Ophiogomphus cecilia;CZ0213067;6256d;2017;STA_POKRYVNOSTDREVIN;Vážky;Horka nad Sázavou;10017212;2017-07-19;neznámý;max;50;%;nejvýš 50 %;NA;ne;minmax;lok;0;1;1;0;3;1;2;0.5;Sázava;2015-07-07;2017-07-19;RP Střední Čechy;Krajský úřad Kraje Vysočina, Krajský úřad Středočeského kraje
CZ0213067;Ophiogomphus cecilia;CZ0213067;6256d;2017;STA_ZAZEMNENI;Vážky;Horka nad Sázavou;10017212;2017-07-19;neznámý;val;méně než 10 %;NA;méně než 10 %;NA;ne;val;lok;0;1;1;0;3;1;2;0.5;Sázava;2015-07-07;2017-07-19;RP Střední Čechy;Krajský úřad Kraje Vysočina, Krajský úřad Středočeského kraje
CZ0213009;Ophiogomphus cecilia;CZ0213009;6355a;2017;CELKOVE_HODNOCENI;Vážky;Blanice, Polánka;10017294;2017-07-22;zhoršený;NA;NA;NA;NA;0.5;NA;NA;NA;0;1;1;0;3;1;2;0.5;Vlašimská Blanice;2012-08-30;2017-07-22;RP Střední Čechy;AOPK ČR - RP Střední Čechy, Krajský úřad Jihočeského kraje, Krajský úřad Středočeského kraje
CZ0213009;Ophiogomphus cecilia;CZ0213009;6355a;2017;POP_PRESENCE;Vážky;Blanice, Polánka;10017294;2017-07-22;ano;val;ano;NA;ano;1;ano;val;lok;0;1;1;0;3;1;2;0.5;Vlašimská Blanice;2012-08-30;2017-07-22;RP Střední Čechy;AOPK ČR - RP Střední Čechy, Krajský úřad Jihočeského kraje, Krajský úřad Středočeského kraje
CZ0213009;Ophiogomphus cecilia;CZ0213009;6355a;2017;STA_POKRYVNOSTDREVIN;Vážky;Blanice, Polánka;10017294;2017-07-22;neznámý;max;50;%;nejvýš 50 %;NA;ne;minmax;lok;0;1;1;0;3;1;2;0.5;Vlašimská Blanice;2012-08-30;2017-07-22;RP Střední Čechy;AOPK ČR - RP Střední Čechy, Krajský úřad Jihočeského kraje, Krajský úřad Středočeského kraje
CZ0213009;Ophiogomphus cecilia;CZ0213009;6355a;2017;STA_ZAZEMNENI;Vážky;Blanice, Polánka;10017294;2017-07-22;neznámý;val;méně než 10 %;NA;méně než 10 %;NA;ne;val;lok;0;1;1;0;3;1;2;0.5;Vlašimská Blanice;2012-08-30;2017-07-22;RP Střední Čechy;AOPK ČR - RP Střední Čechy, Krajský úřad Jihočeského kraje, Krajský úřad Středočeského kraje
CZ0423507;Euplagia quadripunctaria;Srbská Kamenice;5152c;2017;CELKOVE_HODNOCENI;Motýli;Srbská Kamenice;10017593;2017-08-13;neznámý;NA;NA;NA;NA;NA;NA;NA;NA;0;1;1;0;2;1;1;NA;Horní Kamenice;2017-08-13;2017-08-13;RP SCHKO České středohoří;AOPK ČR - RP Liberecko, AOPK ČR - RP SCHKO České středohoří, Správa NP České Švýcarsko
CZ0423507;Euplagia quadripunctaria;Srbská Kamenice;5152c;2017;POP_PRESENCE;Motýli;Srbská Kamenice;10017593;2017-08-13;ano;val;ano;NA;ano;1;ano;val;lok;0;1;1;0;2;1;1;NA;Horní Kamenice;2017-08-13;2017-08-13;RP SCHKO České středohoří;AOPK ČR - RP Liberecko, AOPK ČR - RP SCHKO České středohoří, Správa NP České Švýcarsko
CZ0423507;Euplagia quadripunctaria;Srbská Kamenice;5152c;2017;STA_PRITOMNOSTROSTLIN;Motýli;Srbská Kamenice;10017593;2017-08-13;neznámý;val;jednotlivě;NA;jednotlivě, dominantně, hojně;NA;ne;val;lok;0;1;1;0;2;1;1;NA;Horní Kamenice;2017-08-13;2017-08-13;RP SCHKO České středohoří;AOPK ČR - RP Liberecko, AOPK ČR - RP SCHKO České středohoří, Správa NP České Švýcarsko
CZ0524050;Ophiogomphus cecilia;CZ0524050;5662d;2016;CELKOVE_HODNOCENI;Vážky;rybník Halín, Dobruška-Běstviny - PP Halín;10017781, 13443841, 13443842;2016-07-17;zhoršený;NA;NA;NA;NA;0.5;NA;NA;NA;0;1;1;0;3;1;2;0.5;Halín;2013-08-15;2016-07-17;RP Východní Čechy;Krajský úřad Královéhradeckého kraje
CZ0524050;Ophiogomphus cecilia;CZ0524050;5662d;2016;POP_PRESENCE;Vážky;rybník Halín, Dobruška-Běstviny - PP Halín;10017781, 13443841, 13443842;2016-07-17;ano;val;ano;NA;ano;1;ano;val;lok;0;1;1;0;3;1;2;0.5;Halín;2013-08-15;2016-07-17;RP Východní Čechy;Krajský úřad Královéhradeckého kraje
CZ0524050;Ophiogomphus cecilia;CZ0524050;5662d;2016;STA_POKRYVNOSTDREVIN;Vážky;rybník Halín, Dobruška-Běstviny - PP Halín;10017781, 13443841, 13443842;2016-07-17;neznámý;max;50;%;nejvýš 50 %;NA;ne;minmax;lok;0;1;1;0;3;1;2;0.5;Halín;2013-08-15;2016-07-17;RP Východní Čechy;Krajský úřad Královéhradeckého kraje
CZ0524050;Ophiogomphus cecilia;CZ0524050;5662d;2016;STA_ZAZEMNENI;Vážky;rybník Halín, Dobruška-Běstviny - PP Halín;10017781, 13443841, 13443842;2016-07-17;neznámý;val;méně než 10 %;NA;méně než 10 %;NA;ne;val;lok;0;1;1;0;3;1;2;0.5;Halín;2013-08-15;2016-07-17;RP Východní Čechy;Krajský úřad Královéhradeckého kraje
CZ0724091;Ophiogomphus cecilia;CZ0724091;6770c;2013;CELKOVE_HODNOCENI;Vážky;Kostelany;10018161;2013-06-27;zhoršený;NA;NA;NA;NA;0.5;NA;NA;NA;0;1;1;0;3;1;2;0.5;Chřiby;2013-06-27;2013-06-27;RP SCHKO Bílé Karpaty;Krajský úřad Jihomoravského kraje, Krajský úřad Zlínského kraje
