ROK;kod_chu;NAZEV;DRUH;SKUPINA;KOD_LOKAL;NAZEV_LOK;POLE;pracoviste;oop;HODNOCENE_OBDOBI_OD;HODNOCENE_OBDOBI_DO;ID_ND_AKCE;DATUM;CILMON;ID_IND;JEDNOTKA;TYP_IND;IND_GRP;KLIC;UROVEN;LIM_IND;LIM_INDLIST;HOD_IND;STAV_IND;ID_ND_LOK
2020;CZ0410150;Soos;Euphydryas aurinia;Motýli;EVL Soos, sever;EVL Soos, sever;5840b;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2020-08-22;2020-08-22;11262140;2020-08-22;0;POP_POCETSUMLOKAL;hnízda housenek;min;minmax;ano;lok;10;alespoň 10 hnízda housenek;13;1;7635594
2020;CZ0410150;Soos;Euphydryas aurinia;Motýli;EVL Soos, sever;EVL Soos, sever;5840b;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2020-08-22;2020-08-22;11262140;2020-08-22;0;POP_PRESENCE;NA;val;val;ano;lok;ano;ano;ano;1;7635594
2020;CZ0410150;Soos;Euphydryas aurinia;Motýli;EVL Soos, sever;EVL Soos, sever;5840b;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2020-08-22;2020-08-22;11262140;2020-08-22;0;STA_LIKVIDACE;NA;val;val;ne;lok;nezaznamenána;nezaznamenána;neznámý;NA;7635594
2020;CZ0410150;Soos;Euphydryas aurinia;Motýli;EVL Soos, sever;EVL Soos, sever;5840b;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2020-08-22;2020-08-22;11262140;2020-08-22;0;STA_PRITOMNOSTROSTLIN;kategorie relativní početnosti;val;val;ne;lok;jednotlivě;jednotlivě, dominantně, hojně;neznámý;NA;7635594
2023;CZ0410150;Soos;Euphydryas aurinia;Motýli;MOTYLI1884;Soos;5840d;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2023-09-13;2023-09-13;12796942, 12796770, 12796907;2023-09-13;1;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;špatný;0;9622604
2023;CZ0410150;Soos;Euphydryas aurinia;Motýli;MOTYLI1884;Soos;5840d;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2023-09-13;2023-09-13;12796942, 12796770, 12796907;2023-09-13;1;CELKOVE_SUM;NA;NA;NA;NA;NA;;;3;NA;9622604
2023;CZ0410150;Soos;Euphydryas aurinia;Motýli;MOTYLI1884;Soos;5840d;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2023-09-13;2023-09-13;12796942, 12796770, 12796907;2023-09-13;1;POP_POCETSUMLOKAL;hnízda housenek;min;minmax;ano;lok;10;alespoň 10 hnízda housenek;3;0;9622604
2023;CZ0410150;Soos;Euphydryas aurinia;Motýli;MOTYLI1884;Soos;5840d;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2023-09-13;2023-09-13;12796942, 12796770, 12796907;2023-09-13;1;POP_PRESENCE;NA;val;val;ano;lok;ano;ano;ano;1;9622604
2023;CZ0410150;Soos;Euphydryas aurinia;Motýli;MOTYLI1884;Soos;5840d;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2023-09-13;2023-09-13;12796942, 12796770, 12796907;2023-09-13;1;STA_LIKVIDACE;NA;val;val;ne;lok;nezaznamenána;nezaznamenána;nezaznamenána;1;9622604
2023;CZ0410150;Soos;Euphydryas aurinia;Motýli;MOTYLI1884;Soos;5840d;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2023-09-13;2023-09-13;12796942, 12796770, 12796907;2023-09-13;1;STA_PRITOMNOSTROSTLIN;kategorie relativní početnosti;val;val;ne;lok;jednotlivě;jednotlivě, dominantně, hojně;jednotlivě;1;9622604
2023;CZ0410150;Soos;Euphydryas aurinia;Motýli;MOTYLI1885;SOOS;5840b, 5840d;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;NA;NA;12797357, 12797328;2023-09-13;1;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;špatný;0;9622104
2023;CZ0410150;Soos;Euphydryas aurinia;Motýli;MOTYLI1885;SOOS;5840b, 5840d;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;NA;NA;12797357, 12797328;2023-09-13;1;CELKOVE_SUM;NA;NA;NA;NA;NA;;;3;NA;9622104
2023;CZ0410150;Soos;Euphydryas aurinia;Motýli;MOTYLI1885;SOOS;5840b, 5840d;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;NA;NA;12797357, 12797328;2023-09-13;1;POP_POCETSUMLOKAL;hnízda housenek;min;minmax;ano;lok;10;alespoň 10 hnízda housenek;6;0;9622104
