kod_chu;DRUH;KOD_LOKAL;POLE;ROK;ID_IND;SKUPINA;NAZEV_LOK;ID_ND_AKCE;DATUM;HOD_IND;TYP_IND;LIM_IND;JEDNOTKA;LIM_INDLIST;STAV_IND;KLIC;IND_GRP;UROVEN;CILMON;IND_SUM;IND_SUMKLIC;IND_SUMOST;IND_LEN;IND_LENKLIC;IND_LENOST;CELKOVE;NAZEV;HODNOCENE_OBDOBI_OD;HODNOCENE_OBDOBI_DO;pracoviste;oop
CZ0724089;Bombina variegata;CZ0724089;6874b;2017;POP_REPROPERIOD3;Obojživelníci;Střelná na Moravě - Tisůvek;10089537;17396;-Inf;min;1;rozmnožování za 3 roky;alespoň 1 rozmnožování za 3 roky;0;ano;minmax;lok;0;24;0;24;9;2;7;0;Beskydy;2016-09-02;2017-08-18;RP Moravskoslezské;AOPK ČR - RP Moravskoslezské
CZ0724089;Bombina variegata;CZ0724089;6874b;2017;STA_POKRVEGETACE;Obojživelníci;Střelná na Moravě - Tisůvek;10089537;17396;neznámý;val;0;NA;0, 0-25 %, 1-10 %, 11-25 %, 26-50 %, 1-25 %, nejvýš 50 NA;NA;ne;val;lok;0;24;0;24;9;2;7;0;Beskydy;2016-09-02;2017-08-18;RP Moravskoslezské;AOPK ČR - RP Moravskoslezské
CZ0724089;Bombina variegata;CZ0724089;6874b;2017;STA_RYBY;Obojživelníci;Střelná na Moravě - Tisůvek;10089537;17396;ne;val;ne;zaznamenán nadměrný tlak ryb;ne;1;ne;val;lok;0;24;0;24;9;2;7;0;Beskydy;2016-09-02;2017-08-18;RP Moravskoslezské;AOPK ČR - RP Moravskoslezské
CZ0724089;Bombina variegata;CZ0724089;6874b;2017;STA_UHYNOBOJZIVELNIK;Obojživelníci;Střelná na Moravě - Tisůvek;10089537;17396;neznámý;val;ne;NA;ne;NA;ne;val;lok;0;24;0;24;9;2;7;0;Beskydy;2016-09-02;2017-08-18;RP Moravskoslezské;AOPK ČR - RP Moravskoslezské
CZ0724089;Bombina variegata;CZ0724089;6874b;2017;STA_ZASTINENIHLADINA;Obojživelníci;Střelná na Moravě - Tisůvek;10089537;17396;neznámý;val;0-25 %;NA;0-25 %, 26-50 %, 51-75 %, nejvýš 75 NA;NA;ne;val;lok;0;24;0;24;9;2;7;0;Beskydy;2016-09-02;2017-08-18;RP Moravskoslezské;AOPK ČR - RP Moravskoslezské
CZ0724089;Bombina variegata;CZ0724089;6874b;2017;STA_ZTRATABIO;Obojživelníci;Střelná na Moravě - Tisůvek;10089537;17396;ne;val;ne;zaznamenána ztráta vodních biotopů;ne;1;ne;val;lok;0;24;0;24;9;2;7;0;Beskydy;2016-09-02;2017-08-18;RP Moravskoslezské;AOPK ČR - RP Moravskoslezské
CZ0724087;Bombina variegata;CZ0724087;6972a;2017;CELKOVE_HODNOCENI;Obojživelníci;Újezdec u Luhačovic;10096792;17360;špatný;NA;NA;NA;NA;0;NA;NA;NA;0;1;0;1;9;2;7;0;Újezdecký les;2017-07-13;2017-07-13;RP SCHKO Bílé Karpaty;Krajský úřad Zlínského kraje
CZ0724087;Bombina variegata;CZ0724087;6972a;2017;POP_REPROPERIOD3;Obojživelníci;Újezdec u Luhačovic;10096792;17360;-Inf;min;1;rozmnožování za 3 roky;alespoň 1 rozmnožování za 3 roky;0;ano;minmax;lok;0;1;0;1;9;2;7;0;Újezdecký les;2017-07-13;2017-07-13;RP SCHKO Bílé Karpaty;Krajský úřad Zlínského kraje
CZ0724087;Bombina variegata;CZ0724087;6972a;2017;STA_POKRVEGETACE;Obojživelníci;Újezdec u Luhačovic;10096792;17360;neznámý;val;0;NA;0, 0-25 %, 1-10 %, 11-25 %, 26-50 %, 1-25 %, nejvýš 50 NA;NA;ne;val;lok;0;1;0;1;9;2;7;0;Újezdecký les;2017-07-13;2017-07-13;RP SCHKO Bílé Karpaty;Krajský úřad Zlínského kraje
CZ0724087;Bombina variegata;CZ0724087;6972a;2017;STA_RYBY;Obojživelníci;Újezdec u Luhačovic;10096792;17360;ne;val;ne;zaznamenán nadměrný tlak ryb;ne;1;ne;val;lok;0;1;0;1;9;2;7;0;Újezdecký les;2017-07-13;2017-07-13;RP SCHKO Bílé Karpaty;Krajský úřad Zlínského kraje
CZ0724087;Bombina variegata;CZ0724087;6972a;2017;STA_UHYNOBOJZIVELNIK;Obojživelníci;Újezdec u Luhačovic;10096792;17360;neznámý;val;ne;NA;ne;NA;ne;val;lok;0;1;0;1;9;2;7;0;Újezdecký les;2017-07-13;2017-07-13;RP SCHKO Bílé Karpaty;Krajský úřad Zlínského kraje
CZ0724087;Bombina variegata;CZ0724087;6972a;2017;STA_ZASTINENIHLADINA;Obojživelníci;Újezdec u Luhačovic;10096792;17360;neznámý;val;0-25 %;NA;0-25 %, 26-50 %, 51-75 %, nejvýš 75 NA;NA;ne;val;lok;0;1;0;1;9;2;7;0;Újezdecký les;2017-07-13;2017-07-13;RP SCHKO Bílé Karpaty;Krajský úřad Zlínského kraje
CZ0724087;Bombina variegata;CZ0724087;6972a;2017;STA_ZTRATABIO;Obojživelníci;Újezdec u Luhačovic;10096792;17360;ne;val;ne;zaznamenána ztráta vodních biotopů;ne;1;ne;val;lok;0;1;0;1;9;2;7;0;Újezdecký les;2017-07-13;2017-07-13;RP SCHKO Bílé Karpaty;Krajský úřad Zlínského kraje
CZ0724091;Bombina variegata;CZ0724091;6770c;2016;CELKOVE_HODNOCENI;Obojživelníci;v kaluži na lesní cestě;10291743;16986;špatný;NA;NA;NA;NA;0;NA;NA;NA;0;1;0;1;9;2;7;0;Chřiby;2016-07-04;2016-07-04;RP SCHKO Bílé Karpaty;Krajský úřad Jihomoravského kraje, Krajský úřad Zlínského kraje
CZ0724091;Bombina variegata;CZ0724091;6770c;2016;POP_REPROPERIOD3;Obojživelníci;v kaluži na lesní cestě;10291743;16986;-Inf;min;1;rozmnožování za 3 roky;alespoň 1 rozmnožování za 3 roky;0;ano;minmax;lok;0;1;0;1;9;2;7;0;Chřiby;2016-07-04;2016-07-04;RP SCHKO Bílé Karpaty;Krajský úřad Jihomoravského kraje, Krajský úřad Zlínského kraje
CZ0724091;Bombina variegata;CZ0724091;6770c;2016;STA_POKRVEGETACE;Obojživelníci;v kaluži na lesní cestě;10291743;16986;neznámý;val;0;NA;0, 0-25 %, 1-10 %, 11-25 %, 26-50 %, 1-25 %, nejvýš 50 NA;NA;ne;val;lok;0;1;0;1;9;2;7;0;Chřiby;2016-07-04;2016-07-04;RP SCHKO Bílé Karpaty;Krajský úřad Jihomoravského kraje, Krajský úřad Zlínského kraje
CZ0724091;Bombina variegata;CZ0724091;6770c;2016;STA_RYBY;Obojživelníci;v kaluži na lesní cestě;10291743;16986;ne;val;ne;zaznamenán nadměrný tlak ryb;ne;1;ne;val;lok;0;1;0;1;9;2;7;0;Chřiby;2016-07-04;2016-07-04;RP SCHKO Bílé Karpaty;Krajský úřad Jihomoravského kraje, Krajský úřad Zlínského kraje
CZ0724091;Bombina variegata;CZ0724091;6770c;2016;STA_UHYNOBOJZIVELNIK;Obojživelníci;v kaluži na lesní cestě;10291743;16986;neznámý;val;ne;NA;ne;NA;ne;val;lok;0;1;0;1;9;2;7;0;Chřiby;2016-07-04;2016-07-04;RP SCHKO Bílé Karpaty;Krajský úřad Jihomoravského kraje, Krajský úřad Zlínského kraje
CZ0724091;Bombina variegata;CZ0724091;6770c;2016;STA_ZASTINENIHLADINA;Obojživelníci;v kaluži na lesní cestě;10291743;16986;neznámý;val;0-25 %;NA;0-25 %, 26-50 %, 51-75 %, nejvýš 75 NA;NA;ne;val;lok;0;1;0;1;9;2;7;0;Chřiby;2016-07-04;2016-07-04;RP SCHKO Bílé Karpaty;Krajský úřad Jihomoravského kraje, Krajský úřad Zlínského kraje
CZ0724091;Bombina variegata;CZ0724091;6770c;2016;STA_ZTRATABIO;Obojživelníci;v kaluži na lesní cestě;10291743;16986;ne;val;ne;zaznamenána ztráta vodních biotopů;ne;1;ne;val;lok;0;1;0;1;9;2;7;0;Chřiby;2016-07-04;2016-07-04;RP SCHKO Bílé Karpaty;Krajský úřad Jihomoravského kraje, Krajský úřad Zlínského kraje
