"ROK","kod_chu","NAZEV","DRUH","SKUPINA","KOD_LOKAL","NAZEV_LOK","POLE","pracoviste","oop","HODNOCENE_OBDOBI_OD","HODNOCENE_OBDOBI_DO","ID_ND_AKCE","DATUM","CILMON","ID_IND","JEDNOTKA","TYP_IND","IND_GRP","KLIC","UROVEN","LIM_IND","LIM_INDLIST","HOD_IND","STAV_IND"
2016,"CZ0323145","Bradava","Lampetra planeri","Ryby a mihule","CZ0323145","Bradava - Hoøehledy","6347d, 6348c","RP SCHKO Èeskı les","AOPK ÈR - RP Støední Èechy, Krajskı úøad Plzeòského kraje",NA,NA,"9796755",2016-07-07,0,"STA_MIGBARVYS","cm","max","minmax","ne","lok","5","nejvıš 5 cm","neznámı",NA
2020,"CZ0323151","Kateøinskı a Nivní potok","Lampetra planeri","Ryby a mihule","CZ0323151","Kateøinskı potok - Hoška","6341b","RP SCHKO Èeskı les","AOPK ÈR - RP SCHKO Èeskı les, Krajskı úøad Plzeòského kraje",2020-11-16,2020-11-16,"12240670",2020-11-16,0,"CELKOVE_HODNOCENI",NA,NA,NA,NA,"lok",NA,NA,"špatnı",0
2020,"CZ0323151","Kateøinskı a Nivní potok","Lampetra planeri","Ryby a mihule","CZ0323151","Kateøinskı potok - Hoška","6341b","RP SCHKO Èeskı les","AOPK ÈR - RP SCHKO Èeskı les, Krajskı úøad Plzeòského kraje",2020-11-16,2020-11-16,"12240670",2020-11-16,0,"CELKOVE_SUM",NA,NA,NA,NA,NA,"","","0",NA
2020,"CZ0323151","Kateøinskı a Nivní potok","Lampetra planeri","Ryby a mihule","CZ0323151","Kateøinskı potok - Hoška","6341b","RP SCHKO Èeskı les","AOPK ÈR - RP SCHKO Èeskı les, Krajskı úøad Plzeòského kraje",2020-11-16,2020-11-16,"12240670",2020-11-16,0,"POP_DYN","%","max","minmax","ano","lok","50","nejvıš 50 %","neznámı",NA
2020,"CZ0323151","Kateøinskı a Nivní potok","Lampetra planeri","Ryby a mihule","CZ0323151","Kateøinskı potok - Hoška","6341b","RP SCHKO Èeskı les","AOPK ÈR - RP SCHKO Èeskı les, Krajskı úøad Plzeòského kraje",2020-11-16,2020-11-16,"12240670",2020-11-16,0,"POP_VITALITA","kategorie","min","minmax","ano","lok","3","alespoò 3 kategorie","neznámı",NA
2020,"CZ0323151","Kateøinskı a Nivní potok","Lampetra planeri","Ryby a mihule","CZ0323151","Kateøinskı potok - Hoška","6341b","RP SCHKO Èeskı les","AOPK ÈR - RP SCHKO Èeskı les, Krajskı úøad Plzeòského kraje",2020-11-16,2020-11-16,"12240670",2020-11-16,0,"STA_MIGBARPOCET",NA,"max","minmax","ne","lok","1","nejvıš 1 NA","neznámı",NA
2020,"CZ0323151","Kateøinskı a Nivní potok","Lampetra planeri","Ryby a mihule","CZ0323151","Kateøinskı potok - Hoška","6341b","RP SCHKO Èeskı les","AOPK ÈR - RP SCHKO Èeskı les, Krajskı úøad Plzeòského kraje",2020-11-16,2020-11-16,"12240670",2020-11-16,0,"STA_MIGBARVYS","cm","max","minmax","ne","lok","5","nejvıš 5 cm","neznámı",NA
2015,"CZ0323165","Radbuza","Lampetra planeri","Ryby a mihule","CZ0323165","Radbuza - Srby","6443c","RP SCHKO Èeskı les","Krajskı úøad Plzeòského kraje",2011-09-26,2015-10-19,"10267076",2015-10-19,1,"CELKOVE_HODNOCENI",NA,NA,NA,NA,"lok",NA,NA,"špatnı",0
2015,"CZ0323165","Radbuza","Lampetra planeri","Ryby a mihule","CZ0323165","Radbuza - Srby","6443c","RP SCHKO Èeskı les","Krajskı úøad Plzeòského kraje",2011-09-26,2015-10-19,"10267076",2015-10-19,1,"CELKOVE_SUM",NA,NA,NA,NA,NA,"","","0",NA
2015,"CZ0323165","Radbuza","Lampetra planeri","Ryby a mihule","CZ0323165","Radbuza - Srby","6443c","RP SCHKO Èeskı les","Krajskı úøad Plzeòského kraje",2011-09-26,2015-10-19,"10267076",2015-10-19,1,"POP_DYN","%","max","minmax","ano","lok","50","nejvıš 50 %","neznámı",NA
2015,"CZ0323165","Radbuza","Lampetra planeri","Ryby a mihule","CZ0323165","Radbuza - Srby","6443c","RP SCHKO Èeskı les","Krajskı úøad Plzeòského kraje",2011-09-26,2015-10-19,"10267076",2015-10-19,1,"POP_VITALITA","kategorie","min","minmax","ano","lok","3","alespoò 3 kategorie","neznámı",NA
2015,"CZ0323165","Radbuza","Lampetra planeri","Ryby a mihule","CZ0323165","Radbuza - Srby","6443c","RP SCHKO Èeskı les","Krajskı úøad Plzeòského kraje",2011-09-26,2015-10-19,"10267076",2015-10-19,1,"STA_MIGBARPOCET",NA,"max","minmax","ne","lok","1","nejvıš 1 NA","neznámı",NA
2015,"CZ0323165","Radbuza","Lampetra planeri","Ryby a mihule","CZ0323165","Radbuza - Srby","6443c","RP SCHKO Èeskı les","Krajskı úøad Plzeòského kraje",2011-09-26,2015-10-19,"10267076",2015-10-19,1,"STA_MIGBARVYS","cm","max","minmax","ne","lok","5","nejvıš 5 cm","neznámı",NA
2022,"CZ0323165","Radbuza","Lampetra planeri","Ryby a mihule","RAD_001_Radbuza","Radbuza – Roudná","6443c","RP SCHKO Èeskı les","Krajskı úøad Plzeòského kraje",2020-09-12,2022-09-24,"13411143",2022-09-24,1,"CELKOVE_HODNOCENI",NA,NA,NA,NA,"lok",NA,NA,"špatnı",0
2022,"CZ0323165","Radbuza","Lampetra planeri","Ryby a mihule","RAD_001_Radbuza","Radbuza – Roudná","6443c","RP SCHKO Èeskı les","Krajskı úøad Plzeòského kraje",2020-09-12,2022-09-24,"13411143",2022-09-24,1,"CELKOVE_SUM",NA,NA,NA,NA,NA,"","","1",NA
2022,"CZ0323165","Radbuza","Lampetra planeri","Ryby a mihule","RAD_001_Radbuza","Radbuza – Roudná","6443c","RP SCHKO Èeskı les","Krajskı úøad Plzeòského kraje",2020-09-12,2022-09-24,"13411143",2022-09-24,1,"POP_DYN","%","max","minmax","ano","lok","50","nejvıš 50 %","150",0
2022,"CZ0323165","Radbuza","Lampetra planeri","Ryby a mihule","RAD_001_Radbuza","Radbuza – Roudná","6443c","RP SCHKO Èeskı les","Krajskı úøad Plzeòského kraje",2020-09-12,2022-09-24,"13411143",2022-09-24,1,"POP_VITALITA","kategorie","min","minmax","ano","lok","3","alespoò 3 kategorie","2",0
2022,"CZ0323165","Radbuza","Lampetra planeri","Ryby a mihule","RAD_001_Radbuza","Radbuza – Roudná","6443c","RP SCHKO Èeskı les","Krajskı úøad Plzeòského kraje",2020-09-12,2022-09-24,"13411143",2022-09-24,1,"STA_MIGBARPOCET",NA,"max","minmax","ne","lok","1","nejvıš 1 NA","1",1
2022,"CZ0323165","Radbuza","Lampetra planeri","Ryby a mihule","RAD_001_Radbuza","Radbuza – Roudná","6443c","RP SCHKO Èeskı les","Krajskı úøad Plzeòského kraje",2020-09-12,2022-09-24,"13411143",2022-09-24,1,"STA_MIGBARVYS","cm","max","minmax","ne","lok","5","nejvıš 5 cm","150",0
2024,"CZ0323165","Radbuza","Lampetra planeri","Ryby a mihule","Radbuza","Radbuza - Svrno","6442b, 6443a","RP SCHKO Èeskı les","Krajskı úøad Plzeòského kraje",NA,NA,"13411960",2024-10-22,1,"CELKOVE_HODNOCENI",NA,NA,NA,NA,"lok",NA,NA,"špatnı",0
2024,"CZ0323165","Radbuza","Lampetra planeri","Ryby a mihule","Radbuza","Radbuza - Svrno","6442b, 6443a","RP SCHKO Èeskı les","Krajskı úøad Plzeòského kraje",NA,NA,"13411960",2024-10-22,1,"CELKOVE_SUM",NA,NA,NA,NA,NA,"","","1",NA
2024,"CZ0323165","Radbuza","Lampetra planeri","Ryby a mihule","Radbuza","Radbuza - Svrno","6442b, 6443a","RP SCHKO Èeskı les","Krajskı úøad Plzeòského kraje",NA,NA,"13411960",2024-10-22,1,"POP_DYN","%","max","minmax","ano","lok","50","nejvıš 50 %","53.5714285714286",0
2024,"CZ0323165","Radbuza","Lampetra planeri","Ryby a mihule","Radbuza","Radbuza - Svrno","6442b, 6443a","RP SCHKO Èeskı les","Krajskı úøad Plzeòského kraje",NA,NA,"13411960",2024-10-22,1,"POP_VITALITA","kategorie","min","minmax","ano","lok","3","alespoò 3 kategorie","3",1
