typ_predmetu_hodnoceni;kod_chu;nazev_chu;druh;feature_code;hodnocene_obdobi_od;hodnocene_obdobi_do;oop;parametr_nazev;parametr_hodnota;parametr_limit;parametr_jednotka;stav;trend;datum_hodnoceni;pracoviste;metodika
Druh;CZ0613809;Dívka;Bombina bombina;1188;2022-04-29;2024-05-19;AOPK ČR - RP Vysočina;131;7;NA;počet dílčích lokalit;nehodnocen;neznámý;2025-04-10;RP Vysočina;19269
Druh;CZ0613809;Dívka;Bombina bombina;1188;2022-04-29;2024-05-19;AOPK ČR - RP Vysočina;10;NA;NA;hodnocení dílčích parametrů;dobrý;zlepšující se;2025-04-10;RP Vysočina;19269
Druh;CZ0424125;Doupovské hory;Triturus cristatus;1166;2022-04-23;2024-11-12;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;27;52.63;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP SCHKO Slavkovský les;19269
Druh;CZ0424125;Doupovské hory;Triturus cristatus;1166;2022-04-23;2024-11-12;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;21;13;NA;adulti;nehodnocen;neznámý;2025-04-10;RP SCHKO Slavkovský les;19269
Druh;CZ0424125;Doupovské hory;Triturus cristatus;1166;2022-04-23;2024-11-12;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;22;70;NA;adulti;nehodnocen;neznámý;2025-04-10;RP SCHKO Slavkovský les;19269
Druh;CZ0424125;Doupovské hory;Triturus cristatus;1166;2022-04-23;2024-11-12;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;80;66.67;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP SCHKO Slavkovský les;19269
Druh;CZ0424125;Doupovské hory;Triturus cristatus;1166;2022-04-23;2024-11-12;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;30;57.89;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP SCHKO Slavkovský les;19269
Druh;CZ0424125;Doupovské hory;Triturus cristatus;1166;2022-04-23;2024-11-12;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;31;94.74;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP SCHKO Slavkovský les;19269
Druh;CZ0424125;Doupovské hory;Triturus cristatus;1166;2022-04-23;2024-11-12;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;32;84.21;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP SCHKO Slavkovský les;19269
Druh;CZ0424125;Doupovské hory;Triturus cristatus;1166;2022-04-23;2024-11-12;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;33;100;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP SCHKO Slavkovský les;19269
