ROK;kod_chu;NAZEV;DRUH;SKUPINA;KOD_LOKAL;NAZEV_LOK;POLE;pracoviste;oop;HODNOCENE_OBDOBI_OD;HODNOCENE_OBDOBI_DO;ID_ND_AKCE;DATUM;CILMON;ID_IND;JEDNOTKA;TYP_IND;IND_GRP;KLIC;UROVEN;LIM_IND;LIM_INDLIST;HOD_IND;STAV_IND
2023;CZ0620009;Lednické rybníky;Eriogaster catax;Motýli;40, Valtice - Valtice;40, Valtice - Valtice;7266a;RP Jižní Morava;AOPK ČR - RP Jižní Morava;2023-05-10;2023-05-10;12557821;2023-05-10;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;špatný;0
2023;CZ0620009;Lednické rybníky;Eriogaster catax;Motýli;40, Valtice - Valtice;40, Valtice - Valtice;7266a;RP Jižní Morava;AOPK ČR - RP Jižní Morava;2023-05-10;2023-05-10;12557821;2023-05-10;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA
2023;CZ0620009;Lednické rybníky;Eriogaster catax;Motýli;40, Valtice - Valtice;40, Valtice - Valtice;7266a;RP Jižní Morava;AOPK ČR - RP Jižní Morava;2023-05-10;2023-05-10;12557821;2023-05-10;0;POP_POCETSUMLOKAL;hnízda housenek;min;minmax;ano;lok;10;alespoň 10 hnízda housenek;1;0
2023;CZ0620009;Lednické rybníky;Eriogaster catax;Motýli;40, Valtice - Valtice;40, Valtice - Valtice;7266a;RP Jižní Morava;AOPK ČR - RP Jižní Morava;2023-05-10;2023-05-10;12557821;2023-05-10;0;POP_PRESENCE;NA;val;val;ano;lok;ano;ano;ano;1
2023;CZ0620009;Lednické rybníky;Eriogaster catax;Motýli;40, Valtice - Valtice;40, Valtice - Valtice;7266a;RP Jižní Morava;AOPK ČR - RP Jižní Morava;2023-05-10;2023-05-10;12557821;2023-05-10;0;STA_LIKVIDACE;NA;val;val;ne;lok;nezaznamenána;nezaznamenána;neznámý;NA
2019;CZ0620009;Lednické rybníky;Eriogaster catax;Motýli;Hlohovec, NPR Lednické rybníky, Nesyt, hráz;Hlohovec, NPR Lednické rybníky, Nesyt, hráz;7266a;RP Jižní Morava;AOPK ČR - RP Jižní Morava;2019-04-17;2019-04-17;10613311;2019-04-17;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;špatný;0
2019;CZ0620009;Lednické rybníky;Eriogaster catax;Motýli;Hlohovec, NPR Lednické rybníky, Nesyt, hráz;Hlohovec, NPR Lednické rybníky, Nesyt, hráz;7266a;RP Jižní Morava;AOPK ČR - RP Jižní Morava;2019-04-17;2019-04-17;10613311;2019-04-17;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA
2019;CZ0620009;Lednické rybníky;Eriogaster catax;Motýli;Hlohovec, NPR Lednické rybníky, Nesyt, hráz;Hlohovec, NPR Lednické rybníky, Nesyt, hráz;7266a;RP Jižní Morava;AOPK ČR - RP Jižní Morava;2019-04-17;2019-04-17;10613311;2019-04-17;0;POP_POCETSUMLOKAL;hnízda housenek;min;minmax;ano;lok;10;alespoň 10 hnízda housenek;1;0
2019;CZ0620009;Lednické rybníky;Eriogaster catax;Motýli;Hlohovec, NPR Lednické rybníky, Nesyt, hráz;Hlohovec, NPR Lednické rybníky, Nesyt, hráz;7266a;RP Jižní Morava;AOPK ČR - RP Jižní Morava;2019-04-17;2019-04-17;10613311;2019-04-17;0;POP_PRESENCE;NA;val;val;ano;lok;ano;ano;ano;1
2019;CZ0620009;Lednické rybníky;Eriogaster catax;Motýli;Hlohovec, NPR Lednické rybníky, Nesyt, hráz;Hlohovec, NPR Lednické rybníky, Nesyt, hráz;7266a;RP Jižní Morava;AOPK ČR - RP Jižní Morava;2019-04-17;2019-04-17;10613311;2019-04-17;0;STA_LIKVIDACE;NA;val;val;ne;lok;nezaznamenána;nezaznamenána;neznámý;NA
