typ_predmetu_hodnoceni;kod_chu;nazev_chu;druh;feature_code;hodnocene_obdobi_od;hodnocene_obdobi_do;oop;parametr_nazev;parametr_hodnota;parametr_limit;parametr_jednotka;stav;trend;datum_hodnoceni;pracoviste;ind_nadr;metodika
Druh;CZ0213009;Vlašimská Blanice;Lampetra planeri;NA;1950-01-01;2023-11-14;AOPK ČR - RP Střední Čechy, Krajský úřad Jihočeského kraje, Krajský úřad Středočeského kraje;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-20;RP Střední Čechy;NA;15087
Druh;CZ0213009;Vlašimská Blanice;Lampetra planeri;NA;1950-01-01;2023-11-14;AOPK ČR - RP Střední Čechy, Krajský úřad Jihočeského kraje, Krajský úřad Středočeského kraje;10;dobrý;NA;NA;dobrý;neznámý;2026-01-20;RP Střední Čechy;NA;15087
Druh;CZ0213042;Losinský potok;Lampetra planeri;NA;2015-05-29;2023-10-22;Krajský úřad Středočeského kraje;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-20;RP Střední Čechy;NA;15087
Druh;CZ0213042;Losinský potok;Lampetra planeri;NA;2015-05-29;2023-10-22;Krajský úřad Středočeského kraje;10;dobrý;NA;NA;dobrý;neznámý;2026-01-20;RP Střední Čechy;NA;15087
Druh;CZ0213069;Sedlečský potok;Lampetra planeri;NA;2002-01-01;2023-09-08;Krajský úřad Středočeského kraje;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-20;RP Střední Čechy;NA;15087
Druh;CZ0213069;Sedlečský potok;Lampetra planeri;NA;2002-01-01;2023-09-08;Krajský úřad Středočeského kraje;10;dobrý;NA;NA;dobrý;neznámý;2026-01-20;RP Střední Čechy;NA;15087
Druh;CZ0213076;Štěpánovský potok;Lampetra planeri;NA;1987-01-01;2023-10-22;Krajský úřad Středočeského kraje;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-20;RP Střední Čechy;NA;15087
Druh;CZ0213076;Štěpánovský potok;Lampetra planeri;NA;1987-01-01;2023-10-22;Krajský úřad Středočeského kraje;10;dobrý;NA;NA;dobrý;neznámý;2026-01-20;RP Střední Čechy;NA;15087
Druh;CZ0213817;Obecnický potok;Lampetra planeri;NA;1950-01-01;2023-09-03;Krajský úřad Středočeského kraje;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-20;RP Střední Čechy;NA;15087
Druh;CZ0213817;Obecnický potok;Lampetra planeri;NA;1950-01-01;2023-09-03;Krajský úřad Středočeského kraje;10;dobrý;NA;NA;dobrý;neznámý;2026-01-20;RP Střední Čechy;NA;15087
Druh;CZ0213818;Octárna;Lampetra planeri;NA;1950-01-01;2023-09-03;AOPK ČR - RP Střední Čechy;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-20;RP Střední Čechy;NA;15087
Druh;CZ0213818;Octárna;Lampetra planeri;NA;1950-01-01;2023-09-03;AOPK ČR - RP Střední Čechy;10;dobrý;NA;NA;dobrý;neznámý;2026-01-20;RP Střední Čechy;NA;15087
Druh;CZ0214041;Niva Kotelského potoka;Lampetra planeri;NA;2000-01-01;2023-09-03;AOPK ČR - RP Střední Čechy, Krajský úřad Středočeského kraje;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-20;RP Střední Čechy;NA;15087
Druh;CZ0214041;Niva Kotelského potoka;Lampetra planeri;NA;2000-01-01;2023-09-03;AOPK ČR - RP Střední Čechy, Krajský úřad Středočeského kraje;10;dobrý;NA;NA;dobrý;neznámý;2026-01-20;RP Střední Čechy;NA;15087
Druh;CZ0313092;Bedřichovský potok;Lampetra planeri;NA;2001-07-09;2023-10-22;Krajský úřad Jihočeského kraje;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-20;RP Jižní Čechy;NA;15087
Druh;CZ0313092;Bedřichovský potok;Lampetra planeri;NA;2001-07-09;2023-10-22;Krajský úřad Jihočeského kraje;10;dobrý;NA;NA;dobrý;neznámý;2026-01-20;RP Jižní Čechy;NA;15087
Druh;CZ0313137;Veveřský potok;Lampetra planeri;NA;2000-10-13;2023-10-08;Krajský úřad Jihočeského kraje;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-20;RP Jižní Čechy;NA;15087
Druh;CZ0313137;Veveřský potok;Lampetra planeri;NA;2000-10-13;2023-10-08;Krajský úřad Jihočeského kraje;10;dobrý;NA;NA;dobrý;neznámý;2026-01-20;RP Jižní Čechy;NA;15087
Druh;CZ0314024;Šumava;Lampetra planeri;NA;1997-01-01;2024-12-06;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-20;RP Jižní Čechy;NA;15087
Druh;CZ0314024;Šumava;Lampetra planeri;NA;1997-01-01;2024-12-06;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;10;dobrý;NA;NA;dobrý;neznámý;2026-01-20;RP Jižní Čechy;NA;15087
Druh;CZ0314124;Blanský les;Lampetra planeri;NA;2000-01-01;2024-03-25;AOPK ČR - RP Jižní Čechy, Krajský úřad Jihočeského kraje;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-20;RP Jižní Čechy;NA;15087
