ROK;kod_chu;NAZEV;DRUH;SKUPINA;KOD_LOKAL;LOKALITA;pracoviste;oop;IDX_ND_AKCE;ID_ND_NALEZ;DATUM;AUTOR;ID_IND;JEDNOTKA;TYP_IND;IND_GRP;KLIC;UROVEN;LIM_IND;HOD_IND;STAV_IND;CESKE_JME;DATUM_OD;DATUM_DO;IDX_ND_LOK;KOD_LOKALITY;EVL;PROC_EVL;NEGATIVNI;IDX_ND_LOKALIZACE;MAX_PROC;POLE;DEN;MESIC;nazev_chu;CILMON;POCITANO_CLEAN;pozn;LIM_INDLIST
2012;CZ0314024;Šumava;Cottus gobio;Ryby a mihule;CZ0314024;Farský potok - Obec Záblatí;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;8218775;23400742;2012-07-06;ČRS Husinec;CELKOVE_SUM;NA;NA;NA;NA;NA;NA;0;NA;vranka obecná;06.07.2012;06.07.2012;4989874;NA;CZ0314024: Šumava;76;0;4989874;56.81;6949d;6;7;Šumava;0;jedinci;NA;NA
2012;CZ0314024;Šumava;Cottus gobio;Ryby a mihule;CZ0314024;Farský potok - Obec Záblatí;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;8218775;23400742;2012-07-06;ČRS Husinec;POP_DYN;%;max;minmax;ano;lok;50;NA;NA;vranka obecná;06.07.2012;06.07.2012;4989874;NA;CZ0314024: Šumava;76;0;4989874;56.81;6949d;6;7;Šumava;0;jedinci;NA;nejvýš 50 %
2012;CZ0314024;Šumava;Cottus gobio;Ryby a mihule;CZ0314024;Farský potok - Obec Záblatí;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;8218775;23400742;2012-07-06;ČRS Husinec;POP_VITALITA;NA;min;minmax;ano;lok;3;NA;NA;vranka obecná;06.07.2012;06.07.2012;4989874;NA;CZ0314024: Šumava;76;0;4989874;56.81;6949d;6;7;Šumava;0;jedinci;NA;alespoň 3 NA
2012;CZ0314024;Šumava;Cottus gobio;Ryby a mihule;CZ0314024;Farský potok - Obec Záblatí;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;8218775;23400742;2012-07-06;ČRS Husinec;STA_MIGBARPOCET;NA;max;minmax;ne;lok;1;NA;NA;vranka obecná;06.07.2012;06.07.2012;4989874;NA;CZ0314024: Šumava;76;0;4989874;56.81;6949d;6;7;Šumava;0;jedinci;NA;nejvýš 1 NA
2012;CZ0314024;Šumava;Cottus gobio;Ryby a mihule;CZ0314024;Farský potok - Obec Záblatí;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;8218775;23400742;2012-07-06;ČRS Husinec;STA_MIGBARVYS;cm;max;minmax;ne;lok;10;NA;NA;vranka obecná;06.07.2012;06.07.2012;4989874;NA;CZ0314024: Šumava;76;0;4989874;56.81;6949d;6;7;Šumava;0;jedinci;NA;nejvýš 10 cm
2012;CZ0534053;Krkanka-Strádovské peklo;Cottus gobio;Ryby a mihule;CZ0534053;Chrudimka - PR Krkanka;RP Vysočina;AOPK ČR - RP Vysočina;8220204;23404899;2012-08-06;Švátora Miroslav;CELKOVE_SUM;NA;NA;NA;NA;NA;NA;0;NA;vranka obecná;06.08.2012;06.08.2012;4990766;NA;CZ0534053: Krkanka-Strádovské peklo;100;0;4990766;100;6160b;6;8;Krkanka-Strádovské peklo;0;jedinci;NA;NA
2012;CZ0534053;Krkanka-Strádovské peklo;Cottus gobio;Ryby a mihule;CZ0534053;Chrudimka - PR Krkanka;RP Vysočina;AOPK ČR - RP Vysočina;8220204;23404899;2012-08-06;Švátora Miroslav;POP_DYN;%;max;minmax;ano;lok;50;NA;NA;vranka obecná;06.08.2012;06.08.2012;4990766;NA;CZ0534053: Krkanka-Strádovské peklo;100;0;4990766;100;6160b;6;8;Krkanka-Strádovské peklo;0;jedinci;NA;nejvýš 50 %
2012;CZ0534053;Krkanka-Strádovské peklo;Cottus gobio;Ryby a mihule;CZ0534053;Chrudimka - PR Krkanka;RP Vysočina;AOPK ČR - RP Vysočina;8220204;23404899;2012-08-06;Švátora Miroslav;POP_VITALITA;NA;min;minmax;ano;lok;3;NA;NA;vranka obecná;06.08.2012;06.08.2012;4990766;NA;CZ0534053: Krkanka-Strádovské peklo;100;0;4990766;100;6160b;6;8;Krkanka-Strádovské peklo;0;jedinci;NA;alespoň 3 NA
2012;CZ0534053;Krkanka-Strádovské peklo;Cottus gobio;Ryby a mihule;CZ0534053;Chrudimka - PR Krkanka;RP Vysočina;AOPK ČR - RP Vysočina;8220204;23404899;2012-08-06;Švátora Miroslav;STA_MIGBARPOCET;NA;max;minmax;ne;lok;1;NA;NA;vranka obecná;06.08.2012;06.08.2012;4990766;NA;CZ0534053: Krkanka-Strádovské peklo;100;0;4990766;100;6160b;6;8;Krkanka-Strádovské peklo;0;jedinci;NA;nejvýš 1 NA
2012;CZ0534053;Krkanka-Strádovské peklo;Cottus gobio;Ryby a mihule;CZ0534053;Chrudimka - PR Krkanka;RP Vysočina;AOPK ČR - RP Vysočina;8220204;23404899;2012-08-06;Švátora Miroslav;STA_MIGBARVYS;cm;max;minmax;ne;lok;10;NA;NA;vranka obecná;06.08.2012;06.08.2012;4990766;NA;CZ0534053: Krkanka-Strádovské peklo;100;0;4990766;100;6160b;6;8;Krkanka-Strádovské peklo;0;jedinci;NA;nejvýš 10 cm
