"SITECODE";"NAZEV";"HABITAT_CODE";"ROZLOHA";"RED_LIST";"INVASIVE";"EXPANSIVE";"RED_LIST_SPECIES";"INVASIVE_LIST";"EXPANSIVE_LIST"
681;"Semínský pøesyp";"T5.2";0,033378783776638;0;0;0;"NA";"NA";"NA"
1183;"Velký vrch u Vršovic";"L3.1";18,2551444205484;0,330175008565621;0;0;"Cypripedium calceolus";"NA";"NA"
1183;"Velký vrch u Vršovic";"L6.4";4,83639443832254;0,370833573631373;0;0;"Cypripedium calceolus";"NA";"NA"
1183;"Velký vrch u Vršovic";"T3.4D";2,91623777889652;0,389081035048158;0;0;"Cypripedium calceolus";"NA";"NA"
1183;"Velký vrch u Vršovic";"T3.3D";0;NA;NA;NA;NA;NA;NA
1183;"Velký vrch u Vršovic";"K3";0;NA;NA;NA;NA;NA;NA
5874;"Hodonínská Dúbrava";"V2";0;NA;NA;NA;NA;NA;NA
5874;"Hodonínská Dúbrava";"L2.2";19,2981065463853;0,328667693926418;0;0;"Gladiolus palustris";"NA";"NA"
5874;"Hodonínská Dúbrava";"L3.4";68,214224021483;0,29777428288183;0;0;"Gladiolus palustris";"NA";"NA"
5874;"Hodonínská Dúbrava";"L6.3";437,41436602896;0,261587999760872;0;0;"Gladiolus palustris";"NA";"NA"
2213;"Tøtìnské stránì";"T3.4D";4,54795658834775;0;0;0;"NA";"NA";"NA"
2213;"Tøtìnské stránì";"T7";0,289092116144103;0;0;0;"NA";"NA";"NA"
