"SITECODE";"NAZEV";"HABITAT_CODE";"indikator";"value"
1183;"Velký vrch u Vršovic";"6210";"DATE_MAX";"2025-05-16"
1183;"Velký vrch u Vršovic";"T3.3D";"ROZLOHA";"0"
1183;"Velký vrch u Vršovic";"T3.3D";"KVALITA";NA
1183;"Velký vrch u Vršovic";"T3.3D";"TYPICKE_DRUHY";NA
1183;"Velký vrch u Vršovic";"T3.3D";"REPRE";NA
1183;"Velký vrch u Vršovic";"T3.3D";"REPRE_SDF";NA
1183;"Velký vrch u Vršovic";"T3.3D";"CONSERVATION";NA
1183;"Velký vrch u Vršovic";"T3.3D";"DEGREE_OF_CONSERVATION";NA
1183;"Velký vrch u Vršovic";"T3.3D";"MRTVE_DREVO";NA
1183;"Velký vrch u Vršovic";"T3.3D";"KALAMITA_POLOM";NA
1183;"Velký vrch u Vršovic";"T3.3D";"EVL_AREA_PERC";NA
1183;"Velký vrch u Vršovic";"T3.3D";"GOOD_DOC_AREA_HA";NA
1183;"Velký vrch u Vršovic";"T3.3D";"W_AREA_HA";"0"
1183;"Velký vrch u Vršovic";"T3.3D";"W_AREA_PERC";NA
1183;"Velký vrch u Vršovic";"T3.3D";"PASEKY_AREA_HA";NA
1183;"Velký vrch u Vršovic";"T3.3D";"PASEKY_AREA_PERC";NA
1183;"Velký vrch u Vršovic";"T3.3D";"DEGRAD_AREA_HA";"0"
1183;"Velký vrch u Vršovic";"T3.3D";"DEGRAD_AREA_PERC";NA
1183;"Velký vrch u Vršovic";"T3.3D";"PERC_0";NA
1183;"Velký vrch u Vršovic";"T3.3D";"PERC_1";NA
1183;"Velký vrch u Vršovic";"T3.3D";"PERC_2";NA
1183;"Velký vrch u Vršovic";"T3.3D";"DATE_MIN";NA
1183;"Velký vrch u Vršovic";"T3.3D";"DATE_MAX";NA
1183;"Velký vrch u Vršovic";"K3";"ROZLOHA";"0"
1183;"Velký vrch u Vršovic";"K3";"KVALITA";NA
1183;"Velký vrch u Vršovic";"K3";"TYPICKE_DRUHY";NA
1183;"Velký vrch u Vršovic";"K3";"REPRE";NA
1183;"Velký vrch u Vršovic";"K3";"REPRE_SDF";NA
1183;"Velký vrch u Vršovic";"K3";"CONSERVATION";NA
1183;"Velký vrch u Vršovic";"K3";"DEGREE_OF_CONSERVATION";NA
1183;"Velký vrch u Vršovic";"K3";"MRTVE_DREVO";NA
1183;"Velký vrch u Vršovic";"K3";"KALAMITA_POLOM";NA
1183;"Velký vrch u Vršovic";"K3";"EVL_AREA_PERC";NA
1183;"Velký vrch u Vršovic";"K3";"GOOD_DOC_AREA_HA";NA
1183;"Velký vrch u Vršovic";"K3";"W_AREA_HA";"0"
1183;"Velký vrch u Vršovic";"K3";"W_AREA_PERC";NA
1183;"Velký vrch u Vršovic";"K3";"PASEKY_AREA_HA";NA
1183;"Velký vrch u Vršovic";"K3";"PASEKY_AREA_PERC";NA
1183;"Velký vrch u Vršovic";"K3";"DEGRAD_AREA_HA";"0"
1183;"Velký vrch u Vršovic";"K3";"DEGRAD_AREA_PERC";NA
1183;"Velký vrch u Vršovic";"K3";"PERC_0";NA
1183;"Velký vrch u Vršovic";"K3";"PERC_1";NA
1183;"Velký vrch u Vršovic";"K3";"PERC_2";NA
1183;"Velký vrch u Vršovic";"K3";"DATE_MIN";NA
1183;"Velký vrch u Vršovic";"K3";"DATE_MAX";NA
5874;"Hodonínská Dúbrava";"V2";"ROZLOHA";"0"
5874;"Hodonínská Dúbrava";"V2";"KVALITA";NA
5874;"Hodonínská Dúbrava";"V2";"TYPICKE_DRUHY";NA
5874;"Hodonínská Dúbrava";"V2";"REPRE";NA
5874;"Hodonínská Dúbrava";"V2";"REPRE_SDF";NA
5874;"Hodonínská Dúbrava";"V2";"CONSERVATION";NA
5874;"Hodonínská Dúbrava";"V2";"DEGREE_OF_CONSERVATION";NA
5874;"Hodonínská Dúbrava";"V2";"MRTVE_DREVO";NA
5874;"Hodonínská Dúbrava";"V2";"KALAMITA_POLOM";NA
5874;"Hodonínská Dúbrava";"V2";"EVL_AREA_PERC";NA
5874;"Hodonínská Dúbrava";"V2";"GOOD_DOC_AREA_HA";NA
5874;"Hodonínská Dúbrava";"V2";"W_AREA_HA";"0"
5874;"Hodonínská Dúbrava";"V2";"W_AREA_PERC";NA
5874;"Hodonínská Dúbrava";"V2";"PASEKY_AREA_HA";NA
5874;"Hodonínská Dúbrava";"V2";"PASEKY_AREA_PERC";NA
5874;"Hodonínská Dúbrava";"V2";"DEGRAD_AREA_HA";"0"
5874;"Hodonínská Dúbrava";"V2";"DEGRAD_AREA_PERC";NA
5874;"Hodonínská Dúbrava";"V2";"PERC_0";NA
5874;"Hodonínská Dúbrava";"V2";"PERC_1";NA
5874;"Hodonínská Dúbrava";"V2";"PERC_2";NA
5874;"Hodonínská Dúbrava";"V2";"DATE_MIN";NA
5874;"Hodonínská Dúbrava";"V2";"DATE_MAX";NA
5874;"Hodonínská Dúbrava";"91E0";"ROZLOHA";"19.2981"
5874;"Hodonínská Dúbrava";"91E0";"KVALITA";"2.6525"
5874;"Hodonínská Dúbrava";"91E0";"TYPICKE_DRUHY";"2.201"
5874;"Hodonínská Dúbrava";"91E0";"REPRE";"1.089"
5874;"Hodonínská Dúbrava";"91E0";"REPRE_SDF";"2.8503"
5874;"Hodonínská Dúbrava";"91E0";"CONSERVATION";"2.3262"
5874;"Hodonínská Dúbrava";"91E0";"DEGREE_OF_CONSERVATION";"67.3769"
5874;"Hodonínská Dúbrava";"91E0";"MRTVE_DREVO";NA
5874;"Hodonínská Dúbrava";"91E0";"KALAMITA_POLOM";NA
5874;"Hodonínská Dúbrava";"91E0";"EVL_AREA_PERC";"2.8247"
5874;"Hodonínská Dúbrava";"91E0";"GOOD_DOC_AREA_HA";"13.0025"
5874;"Hodonínská Dúbrava";"91E0";"W_AREA_HA";"4.9222"
5874;"Hodonínská Dúbrava";"91E0";"W_AREA_PERC";"25.5064"
5874;"Hodonínská Dúbrava";"91E0";"PASEKY_AREA_HA";"0"
5874;"Hodonínská Dúbrava";"91E0";"PASEKY_AREA_PERC";"0"
5874;"Hodonínská Dúbrava";"91E0";"DEGRAD_AREA_HA";"4.9222"
5874;"Hodonínská Dúbrava";"91E0";"DEGRAD_AREA_PERC";"25.5064"
5874;"Hodonínská Dúbrava";"91E0";"PERC_0";"0"
5874;"Hodonínská Dúbrava";"91E0";"PERC_1";"5.3999"
5874;"Hodonínská Dúbrava";"91E0";"PERC_2";"94.6001"
5874;"Hodonínská Dúbrava";"91E0";"DATE_MIN";"2007-06-10"
5874;"Hodonínská Dúbrava";"91E0";"DATE_MAX";"2024-10-15"
5874;"Hodonínská Dúbrava";"91G0";"ROZLOHA";"68.2142"
5874;"Hodonínská Dúbrava";"91G0";"KVALITA";"2.4567"
5874;"Hodonínská Dúbrava";"91G0";"TYPICKE_DRUHY";"2.6923"
5874;"Hodonínská Dúbrava";"91G0";"REPRE";"1.0853"
5874;"Hodonínská Dúbrava";"91G0";"REPRE_SDF";"3.1317"
5874;"Hodonínská Dúbrava";"91G0";"CONSERVATION";"2.2306"
5874;"Hodonínská Dúbrava";"91G0";"DEGREE_OF_CONSERVATION";"76.9267"
5874;"Hodonínská Dúbrava";"91G0";"MRTVE_DREVO";NA
5874;"Hodonínská Dúbrava";"91G0";"KALAMITA_POLOM";NA
5874;"Hodonínská Dúbrava";"91G0";"EVL_AREA_PERC";"9.9848"
5874;"Hodonínská Dúbrava";"91G0";"GOOD_DOC_AREA_HA";"52.4749"
5874;"Hodonínská Dúbrava";"91G0";"W_AREA_HA";"10.49"
5874;"Hodonínská Dúbrava";"91G0";"W_AREA_PERC";"15.378"
5874;"Hodonínská Dúbrava";"91G0";"PASEKY_AREA_HA";"1.0629"
5874;"Hodonínská Dúbrava";"91G0";"PASEKY_AREA_PERC";"1.5581"
5874;"Hodonínská Dúbrava";"91G0";"DEGRAD_AREA_HA";"11.5528"
5874;"Hodonínská Dúbrava";"91G0";"DEGRAD_AREA_PERC";"16.9361"
5874;"Hodonínská Dúbrava";"91G0";"PERC_0";"0"
5874;"Hodonínská Dúbrava";"91G0";"PERC_1";"27.3682"
5874;"Hodonínská Dúbrava";"91G0";"PERC_2";"71.0737"
5874;"Hodonínská Dúbrava";"91G0";"DATE_MIN";"2008-07-13"
5874;"Hodonínská Dúbrava";"91G0";"DATE_MAX";"2024-10-15"
5874;"Hodonínská Dúbrava";"91I0";"ROZLOHA";"437.4144"
5874;"Hodonínská Dúbrava";"91I0";"KVALITA";"2.3483"
5874;"Hodonínská Dúbrava";"91I0";"TYPICKE_DRUHY";"1.6886"
5874;"Hodonínská Dúbrava";"91I0";"REPRE";"1.312"
5874;"Hodonínská Dúbrava";"91I0";"REPRE_SDF";"2.1251"
5874;"Hodonínská Dúbrava";"91I0";"CONSERVATION";"2.1141"
5874;"Hodonínská Dúbrava";"91I0";"DEGREE_OF_CONSERVATION";"69.7718"
5874;"Hodonínská Dúbrava";"91I0";"MRTVE_DREVO";NA
5874;"Hodonínská Dúbrava";"91I0";"KALAMITA_POLOM";NA
5874;"Hodonínská Dúbrava";"91I0";"EVL_AREA_PERC";"64.0258"
5874;"Hodonínská Dúbrava";"91I0";"GOOD_DOC_AREA_HA";"309.0912"
5874;"Hodonínská Dúbrava";"91I0";"W_AREA_HA";"66.0372"
5874;"Hodonínská Dúbrava";"91I0";"W_AREA_PERC";"15.0972"
5874;"Hodonínská Dúbrava";"91I0";"PASEKY_AREA_HA";"25.8511"
