typ_predmetu_hodnoceni;kod_chu;nazev_chu;druh;feature_code;datum_hodnoceni_od;datum_hodnoceni_do;parametr_nazev;parametr_hodnota;parametr_limit;parametr_jednotka;stav;trend;datum_hodnoceni;oop;pracoviste;poznamka;Poznámka
Stanoviště;CZ0214007;Káraný - Hrbáčkovy tůně;Smíšené lužní lesy s dubem letním (Quercus robur), jilmem vazem (Ulmus laevis) a jilmem habrolistým (Ulmus minor), jasanem ztepilým (Fraxinus excelsior) nebo jasanem úzkolistým (Fraxinus angustifolia) podél velkých řek (Ulmenion minoris);91F0;2021-07-13;2021-07-18;132;1,7398;NA;140;8;3;2026-02-20;Krajský úřad Středočeského kraje;RP SCHKO Kokořínsko - Máchův kraj;NA;NA
Stanoviště;CZ0214007;Káraný - Hrbáčkovy tůně;Smíšené lužní lesy s dubem letním (Quercus robur), jilmem vazem (Ulmus laevis) a jilmem habrolistým (Ulmus minor), jasanem ztepilým (Fraxinus excelsior) nebo jasanem úzkolistým (Fraxinus angustifolia) podél velkých řek (Ulmenion minoris);91F0;NA;NA;133;NA;NA;% rozlohy v celistvém uspořádání splňující hodnotu minimiareálu;8;NA;2026-02-20;Krajský úřad Středočeského kraje;RP SCHKO Kokořínsko - Máchův kraj;NA;NA
Stanoviště;CZ0214007;Káraný - Hrbáčkovy tůně;Smíšené lužní lesy s dubem letním (Quercus robur), jilmem vazem (Ulmus laevis) a jilmem habrolistým (Ulmus minor), jasanem ztepilým (Fraxinus excelsior) nebo jasanem úzkolistým (Fraxinus angustifolia) podél velkých řek (Ulmenion minoris);91F0;NA;NA;135;NA;NA;% hranice s nepřírodními biotopy;8;NA;2026-02-20;Krajský úřad Středočeského kraje;RP SCHKO Kokořínsko - Máchův kraj;NA;NA
Stanoviště;CZ0214007;Káraný - Hrbáčkovy tůně;Smíšené lužní lesy s dubem letním (Quercus robur), jilmem vazem (Ulmus laevis) a jilmem habrolistým (Ulmus minor), jasanem ztepilým (Fraxinus excelsior) nebo jasanem úzkolistým (Fraxinus angustifolia) podél velkých řek (Ulmenion minoris);91F0;NA;NA;134;NA;NA;zastoupení nepřírodních biotopů v segmentech stanoviště;8;NA;2026-02-20;Krajský úřad Středočeského kraje;RP SCHKO Kokořínsko - Máchův kraj;NA;NA
Stanoviště;CZ0214007;Káraný - Hrbáčkovy tůně;Smíšené lužní lesy s dubem letním (Quercus robur), jilmem vazem (Ulmus laevis) a jilmem habrolistým (Ulmus minor), jasanem ztepilým (Fraxinus excelsior) nebo jasanem úzkolistým (Fraxinus angustifolia) podél velkých řek (Ulmenion minoris);91F0;NA;NA;136;NA;NA;druhy červeného seznamu;8;NA;2026-02-20;Krajský úřad Středočeského kraje;RP SCHKO Kokořínsko - Máchův kraj;NA;NA
Stanoviště;CZ0214007;Káraný - Hrbáčkovy tůně;Smíšené lužní lesy s dubem letním (Quercus robur), jilmem vazem (Ulmus laevis) a jilmem habrolistým (Ulmus minor), jasanem ztepilým (Fraxinus excelsior) nebo jasanem úzkolistým (Fraxinus angustifolia) podél velkých řek (Ulmenion minoris);91F0;NA;NA;137;NA;NA;% rozlohy zasažené invazními druhy;8;NA;2026-02-20;Krajský úřad Středočeského kraje;RP SCHKO Kokořínsko - Máchův kraj;MINIMI;NA
Stanoviště;CZ0214007;Káraný - Hrbáčkovy tůně;Smíšené lužní lesy s dubem letním (Quercus robur), jilmem vazem (Ulmus laevis) a jilmem habrolistým (Ulmus minor), jasanem ztepilým (Fraxinus excelsior) nebo jasanem úzkolistým (Fraxinus angustifolia) podél velkých řek (Ulmenion minoris);91F0;NA;NA;138;NA;NA;% rozlohy zasažené expanzivními druhy;8;NA;2026-02-20;Krajský úřad Středočeského kraje;RP SCHKO Kokořínsko - Máchův kraj;MINIMI;NA
Stanoviště;CZ0214007;Káraný - Hrbáčkovy tůně;Smíšené lužní lesy s dubem letním (Quercus robur), jilmem vazem (Ulmus laevis) a jilmem habrolistým (Ulmus minor), jasanem ztepilým (Fraxinus excelsior) nebo jasanem úzkolistým (Fraxinus angustifolia) podél velkých řek (Ulmenion minoris);91F0;2021-07-13;2021-07-18;162;0,694;NA;140;8;NA;2026-02-20;Krajský úřad Středočeského kraje;RP SCHKO Kokořínsko - Máchův kraj;NA;NA
Stanoviště;CZ0214007;Káraný - Hrbáčkovy tůně;Smíšené lužní lesy s dubem letním (Quercus robur), jilmem vazem (Ulmus laevis) a jilmem habrolistým (Ulmus minor), jasanem ztepilým (Fraxinus excelsior) nebo jasanem úzkolistým (Fraxinus angustifolia) podél velkých řek (Ulmenion minoris);91F0;2021-07-13;2021-07-18;10;NA;NA;NA;12;NA;2026-02-20;Krajský úřad Středočeského kraje;RP SCHKO Kokořínsko - Máchův kraj;NA;NA
Stanoviště;CZ0214009;Libické luhy;Smíšené lužní lesy s dubem letním (Quercus robur), jilmem vazem (Ulmus laevis) a jilmem habrolistým (Ulmus minor), jasanem ztepilým (Fraxinus excelsior) nebo jasanem úzkolistým (Fraxinus angustifolia) podél velkých řek (Ulmenion minoris);91F0;2014-06-03;2017-04-25;128;801,2282;801.21;hektary;11;3;2026-02-20;AOPK ČR - RP SCHKO Kokořínsko - Máchův kraj, Krajský úřad Středočeského kraje;RP SCHKO Kokořínsko - Máchův kraj;VMB2;NA
