typ_predmetu_hodnoceni;kod_chu;nazev_chu;druh;feature_code;datum_hodnoceni_od;datum_hodnoceni_do;parametr_nazev;parametr_hodnota;parametr_limit;parametr_jednotka;stav;trend;datum_hodnoceni;oop;pracoviste;poznamka;Poznámka
Stanoviště;CZ0624020;Stránská skála;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;135;NA;NA;% hranice s nepřírodními biotopy;8;NA;2025-11-07;AOPK ČR - RP Jižní Morava;RP Jižní Morava;NA;NA
Stanoviště;CZ0624020;Stránská skála;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;134;NA;NA;zastoupení nepřírodních biotopů v segmentech stanoviště;8;NA;2025-11-07;AOPK ČR - RP Jižní Morava;RP Jižní Morava;NA;NA
Stanoviště;CZ0624020;Stránská skála;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;136;NA;NA;druhy červeného seznamu;8;NA;2025-11-07;AOPK ČR - RP Jižní Morava;RP Jižní Morava;NA;NA
Stanoviště;CZ0624020;Stránská skála;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;137;NA;NA;% rozlohy zasažené invazními druhy;8;NA;2025-11-07;AOPK ČR - RP Jižní Morava;RP Jižní Morava;MINIMI;NA
Stanoviště;CZ0624020;Stránská skála;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;138;NA;NA;% rozlohy zasažené expanzivními druhy;8;NA;2025-11-07;AOPK ČR - RP Jižní Morava;RP Jižní Morava;MINIMI;NA
Stanoviště;CZ0624020;Stránská skála;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2014-05-14;2014-05-14;10;NA;NA;NA;11;NA;2025-11-07;AOPK ČR - RP Jižní Morava;RP Jižní Morava;NA;NA
Stanoviště;CZ0624043;Stolová hora;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2022-06-08;2022-06-08;128;0,0863;0.07;hektary;11;2;2025-11-07;AOPK ČR - RP Jižní Morava;RP Jižní Morava;VMB3;NA
Stanoviště;CZ0624043;Stolová hora;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2022-06-08;2022-06-08;129;1;1;140;11;3;2025-11-07;AOPK ČR - RP Jižní Morava;RP Jižní Morava;VMB2;NA
Stanoviště;CZ0624043;Stolová hora;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2022-06-08;2022-06-08;132;1;NA;140;8;NA;2025-11-07;AOPK ČR - RP Jižní Morava;RP Jižní Morava;NA;NA
Stanoviště;CZ0624043;Stolová hora;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;133;NA;NA;% rozlohy v celistvém uspořádání splňující hodnotu minimiareálu;8;NA;2025-11-07;AOPK ČR - RP Jižní Morava;RP Jižní Morava;MINIMI;NA
Stanoviště;CZ0624043;Stolová hora;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;135;NA;NA;% hranice s nepřírodními biotopy;8;NA;2025-11-07;AOPK ČR - RP Jižní Morava;RP Jižní Morava;NA;NA
Stanoviště;CZ0624043;Stolová hora;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;134;NA;NA;zastoupení nepřírodních biotopů v segmentech stanoviště;8;NA;2025-11-07;AOPK ČR - RP Jižní Morava;RP Jižní Morava;NA;NA
Stanoviště;CZ0624043;Stolová hora;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;136;NA;NA;druhy červeného seznamu;8;NA;2025-11-07;AOPK ČR - RP Jižní Morava;RP Jižní Morava;NA;NA
Stanoviště;CZ0624043;Stolová hora;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;137;NA;NA;% rozlohy zasažené invazními druhy;8;NA;2025-11-07;AOPK ČR - RP Jižní Morava;RP Jižní Morava;MINIMI;NA
Stanoviště;CZ0624043;Stolová hora;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;138;NA;NA;% rozlohy zasažené expanzivními druhy;8;NA;2025-11-07;AOPK ČR - RP Jižní Morava;RP Jižní Morava;MINIMI;NA
Stanoviště;CZ0624043;Stolová hora;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2022-06-08;2022-06-08;10;NA;NA;NA;11;NA;2025-11-07;AOPK ČR - RP Jižní Morava;RP Jižní Morava;NA;NA
Stanoviště;CZ0624095;Údolí Dyje;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2014-09-09;2014-09-09;128;1,3277;1.32;hektary;11;3;2025-11-07;Krajský úřad Jihomoravského kraje;RP Jižní Morava;VMB2;NA
Stanoviště;CZ0624095;Údolí Dyje;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2014-09-09;2014-09-09;129;1;1;140;11;3;2025-11-07;Krajský úřad Jihomoravského kraje;RP Jižní Morava;VMB2;NA
Stanoviště;CZ0624095;Údolí Dyje;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2014-09-09;2014-09-09;132;2,0646;NA;140;8;3;2025-11-07;Krajský úřad Jihomoravského kraje;RP Jižní Morava;NA;NA
Stanoviště;CZ0624095;Údolí Dyje;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;133;NA;NA;% rozlohy v celistvém uspořádání splňující hodnotu minimiareálu;8;NA;2025-11-07;Krajský úřad Jihomoravského kraje;RP Jižní Morava;NA;NA
Stanoviště;CZ0624095;Údolí Dyje;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;135;NA;NA;% hranice s nepřírodními biotopy;8;NA;2025-11-07;Krajský úřad Jihomoravského kraje;RP Jižní Morava;NA;NA
Stanoviště;CZ0624095;Údolí Dyje;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;134;NA;NA;zastoupení nepřírodních biotopů v segmentech stanoviště;8;NA;2025-11-07;Krajský úřad Jihomoravského kraje;RP Jižní Morava;NA;NA
Stanoviště;CZ0624095;Údolí Dyje;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;136;NA;NA;druhy červeného seznamu;8;NA;2025-11-07;Krajský úřad Jihomoravského kraje;RP Jižní Morava;NA;NA
Stanoviště;CZ0624095;Údolí Dyje;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;137;NA;NA;% rozlohy zasažené invazními druhy;8;NA;2025-11-07;Krajský úřad Jihomoravského kraje;RP Jižní Morava;MINIMI;NA
Stanoviště;CZ0624095;Údolí Dyje;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;138;NA;NA;% rozlohy zasažené expanzivními druhy;8;NA;2025-11-07;Krajský úřad Jihomoravského kraje;RP Jižní Morava;MINIMI;NA
Stanoviště;CZ0624095;Údolí Dyje;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2014-09-09;2014-09-09;10;NA;NA;NA;11;NA;2025-11-07;Krajský úřad Jihomoravského kraje;RP Jižní Morava;NA;NA
Stanoviště;CZ0624104;Děvín;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2022-06-10;2022-07-27;128;0,4695;0.41;hektary;11;2;2025-11-07;AOPK ČR - RP Jižní Morava;RP Jižní Morava;SDF;NA
Stanoviště;CZ0624104;Děvín;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2022-06-10;2022-07-27;129;1;1;140;11;3;2025-11-07;AOPK ČR - RP Jižní Morava;RP Jižní Morava;VMB2;NA
Stanoviště;CZ0624104;Děvín;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2022-06-10;2022-07-27;132;1,5271;NA;140;8;NA;2025-11-07;AOPK ČR - RP Jižní Morava;RP Jižní Morava;NA;NA
Stanoviště;CZ0624104;Děvín;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;133;NA;NA;% rozlohy v celistvém uspořádání splňující hodnotu minimiareálu;8;NA;2025-11-07;AOPK ČR - RP Jižní Morava;RP Jižní Morava;MINIMI;NA
Stanoviště;CZ0624104;Děvín;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;135;NA;NA;% hranice s nepřírodními biotopy;8;NA;2025-11-07;AOPK ČR - RP Jižní Morava;RP Jižní Morava;NA;NA
Stanoviště;CZ0624104;Děvín;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;134;NA;NA;zastoupení nepřírodních biotopů v segmentech stanoviště;8;NA;2025-11-07;AOPK ČR - RP Jižní Morava;RP Jižní Morava;NA;NA
Stanoviště;CZ0624104;Děvín;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;136;NA;NA;druhy červeného seznamu;8;NA;2025-11-07;AOPK ČR - RP Jižní Morava;RP Jižní Morava;NA;NA
Stanoviště;CZ0624104;Děvín;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;137;NA;NA;% rozlohy zasažené invazními druhy;8;NA;2025-11-07;AOPK ČR - RP Jižní Morava;RP Jižní Morava;MINIMI;NA
Stanoviště;CZ0624104;Děvín;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;138;NA;NA;% rozlohy zasažené expanzivními druhy;8;NA;2025-11-07;AOPK ČR - RP Jižní Morava;RP Jižní Morava;MINIMI;NA
Stanoviště;CZ0624104;Děvín;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2022-06-10;2022-07-27;10;NA;NA;NA;11;NA;2025-11-07;AOPK ČR - RP Jižní Morava;RP Jižní Morava;NA;NA
Stanoviště;CZ0624130;Moravský kras;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2007-09-25;2024-09-24;128;33,1548;33.25;hektary;13;3;2025-11-07;AOPK ČR - RP Jižní Morava, Krajský úřad Jihomoravského kraje;RP Jižní Morava;VMB2;NA
Stanoviště;CZ0624130;Moravský kras;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2007-09-25;2024-09-24;129;1,1364;1.2;140;11;3;2025-11-07;AOPK ČR - RP Jižní Morava, Krajský úřad Jihomoravského kraje;RP Jižní Morava;VMB2;NA
Stanoviště;CZ0624130;Moravský kras;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2007-09-25;2024-09-24;132;1,9465;NA;140;8;3;2025-11-07;AOPK ČR - RP Jižní Morava, Krajský úřad Jihomoravského kraje;RP Jižní Morava;NA;NA
Stanoviště;CZ0624130;Moravský kras;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;133;NA;NA;% rozlohy v celistvém uspořádání splňující hodnotu minimiareálu;8;NA;2025-11-07;AOPK ČR - RP Jižní Morava, Krajský úřad Jihomoravského kraje;RP Jižní Morava;NA;NA
Stanoviště;CZ0624130;Moravský kras;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;135;NA;NA;% hranice s nepřírodními biotopy;8;NA;2025-11-07;AOPK ČR - RP Jižní Morava, Krajský úřad Jihomoravského kraje;RP Jižní Morava;NA;NA
Stanoviště;CZ0624130;Moravský kras;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;134;NA;NA;zastoupení nepřírodních biotopů v segmentech stanoviště;8;NA;2025-11-07;AOPK ČR - RP Jižní Morava, Krajský úřad Jihomoravského kraje;RP Jižní Morava;NA;NA
Stanoviště;CZ0624130;Moravský kras;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;136;NA;NA;druhy červeného seznamu;8;NA;2025-11-07;AOPK ČR - RP Jižní Morava, Krajský úřad Jihomoravského kraje;RP Jižní Morava;NA;NA
Stanoviště;CZ0624130;Moravský kras;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;137;NA;NA;% rozlohy zasažené invazními druhy;8;NA;2025-11-07;AOPK ČR - RP Jižní Morava, Krajský úřad Jihomoravského kraje;RP Jižní Morava;MINIMI;NA
Stanoviště;CZ0624130;Moravský kras;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;138;NA;NA;% rozlohy zasažené expanzivními druhy;8;NA;2025-11-07;AOPK ČR - RP Jižní Morava, Krajský úřad Jihomoravského kraje;RP Jižní Morava;MINIMI;NA
Stanoviště;CZ0624130;Moravský kras;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2007-09-25;2024-09-24;10;NA;NA;NA;12;NA;2025-11-07;AOPK ČR - RP Jižní Morava, Krajský úřad Jihomoravského kraje;RP Jižní Morava;NA;NA
Stanoviště;CZ0714076;Kosířské lomy;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2007-08-22;2007-08-24;128;0,5598;0.55;hektary;11;3;2025-11-07;AOPK ČR - RP Olomoucko;RP Olomoucko;VMB2;NA
Stanoviště;CZ0714076;Kosířské lomy;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2007-08-22;2007-08-24;129;3,419;2;140;13;3;2025-11-07;AOPK ČR - RP Olomoucko;RP Olomoucko;MINIMI;NA
Stanoviště;CZ0714076;Kosířské lomy;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2007-08-22;2007-08-24;132;3;NA;140;8;3;2025-11-07;AOPK ČR - RP Olomoucko;RP Olomoucko;NA;NA
Stanoviště;CZ0714076;Kosířské lomy;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;133;NA;NA;% rozlohy v celistvém uspořádání splňující hodnotu minimiareálu;8;NA;2025-11-07;AOPK ČR - RP Olomoucko;RP Olomoucko;MINIMI;NA
Stanoviště;CZ0714076;Kosířské lomy;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;135;NA;NA;% hranice s nepřírodními biotopy;8;NA;2025-11-07;AOPK ČR - RP Olomoucko;RP Olomoucko;NA;NA
Stanoviště;CZ0714076;Kosířské lomy;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;134;NA;NA;zastoupení nepřírodních biotopů v segmentech stanoviště;8;NA;2025-11-07;AOPK ČR - RP Olomoucko;RP Olomoucko;NA;NA
Stanoviště;CZ0714076;Kosířské lomy;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;136;NA;NA;druhy červeného seznamu;8;NA;2025-11-07;AOPK ČR - RP Olomoucko;RP Olomoucko;NA;NA
Stanoviště;CZ0714076;Kosířské lomy;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;137;NA;NA;% rozlohy zasažené invazními druhy;8;NA;2025-11-07;AOPK ČR - RP Olomoucko;RP Olomoucko;MINIMI;NA
Stanoviště;CZ0714076;Kosířské lomy;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;138;NA;NA;% rozlohy zasažené expanzivními druhy;8;NA;2025-11-07;AOPK ČR - RP Olomoucko;RP Olomoucko;MINIMI;NA
Stanoviště;CZ0714076;Kosířské lomy;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2007-08-22;2007-08-24;10;NA;NA;NA;12;NA;2025-11-07;AOPK ČR - RP Olomoucko;RP Olomoucko;NA;NA
Stanoviště;CZ0714080;Špraněk;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2022-05-22;2022-06-27;128;2,5416;2.83;hektary;13;4;2025-11-07;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;RP Olomoucko;VMB2;NA
Stanoviště;CZ0714080;Špraněk;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2022-05-22;2022-06-27;129;1,4957;2;140;11;2;2025-11-07;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;RP Olomoucko;VMB2;NA
Stanoviště;CZ0714080;Špraněk;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2022-05-22;2022-06-27;132;1,9931;NA;140;8;NA;2025-11-07;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;RP Olomoucko;NA;NA
Stanoviště;CZ0714080;Špraněk;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;133;NA;NA;% rozlohy v celistvém uspořádání splňující hodnotu minimiareálu;8;NA;2025-11-07;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;RP Olomoucko;NA;NA
Stanoviště;CZ0714080;Špraněk;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;135;NA;NA;% hranice s nepřírodními biotopy;8;NA;2025-11-07;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;RP Olomoucko;NA;NA
Stanoviště;CZ0714080;Špraněk;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;134;NA;NA;zastoupení nepřírodních biotopů v segmentech stanoviště;8;NA;2025-11-07;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;RP Olomoucko;NA;NA
Stanoviště;CZ0714080;Špraněk;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;136;NA;NA;druhy červeného seznamu;8;NA;2025-11-07;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;RP Olomoucko;NA;NA
Stanoviště;CZ0714080;Špraněk;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;137;NA;NA;% rozlohy zasažené invazními druhy;8;NA;2025-11-07;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;RP Olomoucko;MINIMI;NA
Stanoviště;CZ0714080;Špraněk;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;138;NA;NA;% rozlohy zasažené expanzivními druhy;8;NA;2025-11-07;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;RP Olomoucko;MINIMI;NA
Stanoviště;CZ0714080;Špraněk;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2022-05-22;2022-06-27;10;NA;NA;NA;12;NA;2025-11-07;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;RP Olomoucko;NA;NA
Stanoviště;CZ0714086;Rychlebské hory - Sokolský hřbet;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2008-06-21;2023-07-06;128;4,5395;4.54;hektary;13;3;2025-11-07;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;RP Olomoucko;VMB2;NA
Stanoviště;CZ0714086;Rychlebské hory - Sokolský hřbet;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2008-06-21;2023-07-06;129;1,8005;1.9;140;11;3;2025-11-07;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;RP Olomoucko;VMB2;NA
Stanoviště;CZ0714086;Rychlebské hory - Sokolský hřbet;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2008-06-21;2023-07-06;132;2,5327;NA;140;8;3;2025-11-07;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;RP Olomoucko;NA;NA
Stanoviště;CZ0714086;Rychlebské hory - Sokolský hřbet;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;133;NA;NA;% rozlohy v celistvém uspořádání splňující hodnotu minimiareálu;8;NA;2025-11-07;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;RP Olomoucko;NA;NA
Stanoviště;CZ0714086;Rychlebské hory - Sokolský hřbet;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;135;NA;NA;% hranice s nepřírodními biotopy;8;NA;2025-11-07;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;RP Olomoucko;NA;NA
Stanoviště;CZ0714086;Rychlebské hory - Sokolský hřbet;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;134;NA;NA;zastoupení nepřírodních biotopů v segmentech stanoviště;8;NA;2025-11-07;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;RP Olomoucko;NA;NA
Stanoviště;CZ0714086;Rychlebské hory - Sokolský hřbet;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;136;NA;NA;druhy červeného seznamu;8;NA;2025-11-07;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;RP Olomoucko;NA;NA
Stanoviště;CZ0714086;Rychlebské hory - Sokolský hřbet;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;137;NA;NA;% rozlohy zasažené invazními druhy;8;NA;2025-11-07;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;RP Olomoucko;MINIMI;NA
Stanoviště;CZ0714086;Rychlebské hory - Sokolský hřbet;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;138;NA;NA;% rozlohy zasažené expanzivními druhy;8;NA;2025-11-07;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;RP Olomoucko;MINIMI;NA
Stanoviště;CZ0714086;Rychlebské hory - Sokolský hřbet;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2008-06-21;2023-07-06;10;NA;NA;NA;12;NA;2025-11-07;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;RP Olomoucko;NA;NA
Stanoviště;CZ0810036;Štramberk;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2008-06-11;2008-06-19;128;1,5163;1.5;hektary;11;3;2025-11-07;AOPK ČR - RP Moravskoslezské, Krajský úřad Moravskoslezského kraje;RP Moravskoslezské;VMB2;NA
Stanoviště;CZ0810036;Štramberk;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2008-06-11;2008-06-19;129;1,4347;1.5;140;11;3;2025-11-07;AOPK ČR - RP Moravskoslezské, Krajský úřad Moravskoslezského kraje;RP Moravskoslezské;VMB2;NA
Stanoviště;CZ0810036;Štramberk;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2008-06-11;2008-06-19;132;2,124;NA;140;8;3;2025-11-07;AOPK ČR - RP Moravskoslezské, Krajský úřad Moravskoslezského kraje;RP Moravskoslezské;NA;NA
