"TYP_CHU";"SITECODE";"HABITAT_CODE";"ROZLOHA_PASEKY";"ROZLOHA_HOLINY";"POCET_SEGMENTU_PASEKY"
"EVL";"CZ0314124";"6190";NA;NA;NA
"EVL";"CZ0314124";"6210";NA;NA;NA
"EVL";"CZ0314124";"6410";NA;NA;NA
"EVL";"CZ0314124";"6510";NA;NA;NA
"EVL";"CZ0314124";"8220";NA;NA;NA
"EVL";"CZ0314124";"9110";91,8137904533896;65,4143742823344;97
"EVL";"CZ0314124";"9130";68,2210611250066;46,8696749771792;75
"EVL";"CZ0314124";"9170";5,21357013478409;3,19884431914425;20
"EVL";"CZ0314124";"9180";2,44697975401295;0;18
"EVL";"CZ0314124";"6210p";NA;NA;NA
"EVL";"CZ0314124";"91U0";0;0;0
"EVL";"CZ0110142";"6410";NA;NA;NA
"EVL";"CZ0110142";"9170";0;0;0
"EVL";"CZ0110142";"9190";0,500579266770603;0;2
"EVL";"CZ0410023";"3150";NA;NA;NA
"EVL";"CZ0410023";"4030";NA;NA;NA
"EVL";"CZ0410023";"6410";NA;NA;NA
"EVL";"CZ0410023";"6430";NA;NA;NA
"EVL";"CZ0410023";"7140";NA;NA;NA
"EVL";"CZ0623324";"3260";NA;NA;NA
"EVL";"CZ0530033";"6210";NA;NA;NA
"EVL";"CZ0530033";"6510";NA;NA;NA
"EVL";"CZ0530033";"9110";18,8685745549084;12,7736924624012;23
"EVL";"CZ0530033";"9130";12,539699052023;10,5534177623267;16
"EVL";"CZ0420451";"6210";NA;NA;NA
"EVL";"CZ0420451";"6410";NA;NA;NA
"EVL";"CZ0420451";"6510";NA;NA;NA
"EVL";"CZ0420451";"8220";NA;NA;NA
"EVL";"CZ0420451";"9170";0,914784530087252;0;5
"EVL";"CZ0420451";"9180";0,0396220984490274;0;1
"EVL";"CZ0420451";"6210p";NA;NA;NA
"EVL";"CZ0420451";"91E0";1,38239920466449;0;5
"EVL";"CZ0314123";"3150";NA;NA;NA
"EVL";"CZ0314123";"6230";NA;NA;NA
"EVL";"CZ0314123";"6410";NA;NA;NA
"EVL";"CZ0314123";"6430";NA;NA;NA
"EVL";"CZ0314123";"6510";NA;NA;NA
"EVL";"CZ0314123";"7120";NA;NA;NA
"EVL";"CZ0314123";"7140";NA;NA;NA
"EVL";"CZ0314123";"8220";NA;NA;NA
"EVL";"CZ0314123";"9110";167,081968624917;86,8289898121965;272
"EVL";"CZ0314123";"9130";467,300821483611;348,050593203448;367
"EVL";"CZ0314123";"9180";20,270036265098;11,5596806196531;54
"EVL";"CZ0314123";"91E0";19,6089220040843;13,1456497472285;45
"EVL";"CZ0422075";"6210";NA;NA;NA
"EVL";"CZ0422075";"6510";NA;NA;NA
"EVL";"CZ0422075";"8220";NA;NA;NA
"EVL";"CZ0422075";"40A0";NA;NA;NA
"EVL";"CZ0314021";"3160";NA;NA;NA
"EVL";"CZ0314021";"6410";NA;NA;NA
"EVL";"CZ0314021";"7140";NA;NA;NA
"EVL";"CZ0314021";"91D0";0;0;0
"EVL";"CZ0314021";"91T0";0;0;0
"EVL";"CZ0420026";"6190";NA;NA;NA
"EVL";"CZ0420026";"8150";NA;NA;NA
"EVL";"CZ0420026";"8220";NA;NA;NA
"EVL";"CZ0420026";"9180";0;0;0
"EVL";"CZ0420026";"40A0";NA;NA;NA
"EVL";"CZ0624094";"9170";0;0;0
"EVL";"CZ0533296";"3140";NA;NA;NA
"EVL";"CZ0623798";"91E0";0,0403693899165297;0;1
"EVL";"CZ0530501";"8210";NA;NA;NA
"EVL";"CZ0530501";"9130";1,10499731503686;0;4
"EVL";"CZ0530501";"9180";1,16032344966724;0;5
"EVL";"CZ0710505";"40A0";NA;NA;NA
"EVL";"CZ0214047";"4030";NA;NA;NA
"EVL";"CZ0214047";"7140";NA;NA;NA
"EVL";"CZ0214047";"91D0";0;0;0
"EVL";"CZ0520518";"4030";NA;NA;NA
"EVL";"CZ0520518";"8220";NA;NA;NA
"EVL";"CZ0520518";"8310";NA;NA;NA
"EVL";"CZ0520518";"9110";3,07463203667044;0;37
"EVL";"CZ0520518";"9130";1,28468600783937;0;16
"EVL";"CZ0520178";"6510";NA;NA;NA
"EVL";"CZ0520178";"9110";0,600215171886773;0;3
"EVL";"CZ0520178";"9130";0,955768737678002;0;6
"EVL";"CZ0520178";"91E0";0,0850471275292989;0;1
"EVL";"CZ0212001";"3130";NA;NA;NA
"EVL";"CZ0623004";"91E0";2,08428433095735;2,08428433095735;1
"EVL";"CZ0510405";"6230";NA;NA;NA
"EVL";"CZ0510405";"6430";NA;NA;NA
"EVL";"CZ0510405";"7140";NA;NA;NA
"EVL";"CZ0510405";"9130";0;0;0
"EVL";"CZ0510405";"9140";0;0;0
"EVL";"CZ0510405";"9180";0,114489266644051;0;3
"EVL";"CZ0510405";"9410";0;0;0
"EVL";"CZ0510405";"91D0";0;0;0
"EVL";"CZ0413177";"3160";NA;NA;NA
"EVL";"CZ0413177";"6430";NA;NA;NA
"EVL";"CZ0524048";"7230";NA;NA;NA
"EVL";"CZ0620073";"2330";NA;NA;NA
"EVL";"CZ0620194";"8220";NA;NA;NA
"EVL";"CZ0620194";"9180";1,05264323082404;0;6
"EVL";"CZ0320023";"6110";NA;NA;NA
"EVL";"CZ0320023";"9150";2,29713638725844;1,77660528276223;4
"EVL";"CZ0320023";"91U0";0,078586239454709;0;1
"EVL";"CZ0320180";"6410";NA;NA;NA
"EVL";"CZ0320180";"7140";NA;NA;NA
"EVL";"CZ0320180";"9110";30,5724175682858;16,2472301567665;42
"EVL";"CZ0320180";"9130";1,84885456322355;0;5
"EVL";"CZ0320180";"9180";0;0;0
"EVL";"CZ0320180";"9190";0;0;0
"EVL";"CZ0320180";"9410";0,000800824962952174;0;1
"EVL";"CZ0320180";"91D0";0,165258074204996;0;1
"EVL";"CZ0624062";"6210";NA;NA;NA
"EVL";"CZ0624062";"91G0";0;0;0
"EVL";"CZ0624062";"91I0";0;0;0
"EVL";"CZ0534050";"3150";NA;NA;NA
"EVL";"CZ0214004";"2330";NA;NA;NA
"EVL";"CZ0214004";"6510";NA;NA;NA
"EVL";"CZ0214004";"9170";0,00554498860390304;0;4
"EVL";"CZ0214004";"9190";0;0;0
"EVL";"CZ0624072";"3140";NA;NA;NA
"EVL";"CZ0624072";"6210";NA;NA;NA
"EVL";"CZ0624072";"6410";NA;NA;NA
"EVL";"CZ0624072";"6430";NA;NA;NA
"EVL";"CZ0624072";"6510";NA;NA;NA
"EVL";"CZ0624072";"7220";NA;NA;NA
"EVL";"CZ0624072";"9130";7,73611518014038;2,86562511656538;22
"EVL";"CZ0624072";"9170";22,0118111188584;7,39802944624052;36
"EVL";"CZ0624072";"6210p";NA;NA;NA
"EVL";"CZ0624072";"91E0";0,0104955222296866;0;3
"EVL";"CZ0624072";"91G0";3,54396302617765;0;28
"EVL";"CZ0624072";"91I0";0;0;0
