"SITECODE";"NAZEV";"HABITAT_CODE";"DATE_MIN";"DATE_MAX";"PAR_NAZEV";"PAR_HODNOTA";"ROK_HODNOCENI"
"CZ0420525";"Slanisko u Škrle";"1340";"16563";"16563";"W_AREA_PERC";"0";2024
"CZ0420525";"Slanisko u Škrle";"1340";"16563";"16563";"PASEKY_AREA_HA";NA;2024
"CZ0420525";"Slanisko u Škrle";"1340";"16563";"16563";"PASEKY_AREA_PERC";NA;2024
"CZ0420525";"Slanisko u Škrle";"1340";"16563";"16563";"DEGRAD_AREA_HA";"0";2024
"CZ0420525";"Slanisko u Škrle";"1340";"16563";"16563";"DEGRAD_AREA_PERC";"0";2024
"CZ0420525";"Slanisko u Škrle";"1340";"16563";"16563";"PERC_0";"0";2024
"CZ0420525";"Slanisko u Škrle";"1340";"16563";"16563";"PERC_1";"0";2024
"CZ0420525";"Slanisko u Škrle";"1340";"16563";"16563";"PERC_2";"100";2024
"CZ0620031";"Slanisko Dobré Pole";"1340";"14803";"14804";"ROZLOHA";"2.345";2024
"CZ0620031";"Slanisko Dobré Pole";"1340";"14803";"14804";"KVALITA";"2.579";2024
"CZ0620031";"Slanisko Dobré Pole";"1340";"14803";"14804";"TYPICKE_DRUHY";"2.153";2024
"CZ0620031";"Slanisko Dobré Pole";"1340";"14803";"14804";"REPRE";"1.695";2024
"CZ0620031";"Slanisko Dobré Pole";"1340";"14803";"14804";"REPRE_SDF";"2.305";2024
"CZ0620031";"Slanisko Dobré Pole";"1340";"14803";"14804";"CONSERVATION";"2.153";2024
"CZ0620031";"Slanisko Dobré Pole";"1340";"14803";"14804";"DEGREE_OF_CONSERVATION";"84.744";2024
"CZ0620031";"Slanisko Dobré Pole";"1340";"14803";"14804";"MRTVE_DREVO";NA;2024
"CZ0620031";"Slanisko Dobré Pole";"1340";"14803";"14804";"KALAMITA_POLOM";NA;2024
"CZ0620031";"Slanisko Dobré Pole";"1340";"14803";"14804";"RELATIVE_AREA_PERC";"0";2024
"CZ0620031";"Slanisko Dobré Pole";"1340";"14803";"14804";"EVL_AREA_PERC";"40.65";2024
"CZ0620031";"Slanisko Dobré Pole";"1340";"14803";"14804";"GOOD_DOC_AREA_HA";"1.987";2024
"CZ0620031";"Slanisko Dobré Pole";"1340";"14803";"14804";"W_AREA_HA";"0.358";2024
"CZ0620031";"Slanisko Dobré Pole";"1340";"14803";"14804";"W_AREA_PERC";"15.256";2024
"CZ0620031";"Slanisko Dobré Pole";"1340";"14803";"14804";"PASEKY_AREA_HA";NA;2024
"CZ0620031";"Slanisko Dobré Pole";"1340";"14803";"14804";"PASEKY_AREA_PERC";NA;2024
"CZ0620031";"Slanisko Dobré Pole";"1340";"14803";"14804";"DEGRAD_AREA_HA";"0.358";2024
"CZ0620031";"Slanisko Dobré Pole";"1340";"14803";"14804";"DEGRAD_AREA_PERC";"15.256";2024
"CZ0620031";"Slanisko Dobré Pole";"1340";"14803";"14804";"PERC_0";"0";2024
"CZ0620031";"Slanisko Dobré Pole";"1340";"14803";"14804";"PERC_1";"100";2024
"CZ0620031";"Slanisko Dobré Pole";"1340";"14803";"14804";"PERC_2";"0";2024
"CZ0620076";"Zřídla u Nesvačilky";"1340";"19258";"19258";"ROZLOHA";"3.323";2024
"CZ0620076";"Zřídla u Nesvačilky";"1340";"19258";"19258";"KVALITA";"3.329";2024
"CZ0620076";"Zřídla u Nesvačilky";"1340";"19258";"19258";"TYPICKE_DRUHY";"2.386";2024
"CZ0620076";"Zřídla u Nesvačilky";"1340";"19258";"19258";"REPRE";"1.229";2024
"CZ0620076";"Zřídla u Nesvačilky";"1340";"19258";"19258";"REPRE_SDF";"2.771";2024
"CZ0620076";"Zřídla u Nesvačilky";"1340";"19258";"19258";"CONSERVATION";"2.386";2024
"CZ0620076";"Zřídla u Nesvačilky";"1340";"19258";"19258";"DEGREE_OF_CONSERVATION";"61.428";2024
"CZ0620076";"Zřídla u Nesvačilky";"1340";"19258";"19258";"MRTVE_DREVO";NA;2024
"CZ0620076";"Zřídla u Nesvačilky";"1340";"19258";"19258";"KALAMITA_POLOM";NA;2024
"CZ0620076";"Zřídla u Nesvačilky";"1340";"19258";"19258";"RELATIVE_AREA_PERC";"0";2024
"CZ0620076";"Zřídla u Nesvačilky";"1340";"19258";"19258";"EVL_AREA_PERC";"71.021";2024
"CZ0620076";"Zřídla u Nesvačilky";"1340";"19258";"19258";"GOOD_DOC_AREA_HA";"2.041";2024
"CZ0620076";"Zřídla u Nesvačilky";"1340";"19258";"19258";"W_AREA_HA";"1.282";2024
"CZ0620076";"Zřídla u Nesvačilky";"1340";"19258";"19258";"W_AREA_PERC";"38.572";2024
"CZ0620076";"Zřídla u Nesvačilky";"1340";"19258";"19258";"PASEKY_AREA_HA";NA;2024
"CZ0620076";"Zřídla u Nesvačilky";"1340";"19258";"19258";"PASEKY_AREA_PERC";NA;2024
"CZ0620076";"Zřídla u Nesvačilky";"1340";"19258";"19258";"DEGRAD_AREA_HA";"1.282";2024
"CZ0620076";"Zřídla u Nesvačilky";"1340";"19258";"19258";"DEGRAD_AREA_PERC";"38.572";2024
