"","sitecode","habitat","region_id","pair","datum_new","datum_old"
"74","CZ0210152","91F0","CZ0080","VMB2_VMB0",2024-05-20,2006-08-27
"75","CZ0210152","91F0","CZ2977","VMB1_VMB2",2017-05-28,2002-08-14
"76","CZ0210153","9170","CZ0810","VMB1_VMB2",2011-09-23,2004-07-28
"77","CZ0210153","9180","CZ0810","VMB1_VMB2",2011-09-23,2004-07-28
"78","CZ0210153","9180","CZ2662","VMB1_VMB2",2015-09-14,2004-07-27
"79","CZ0210175","9170","CZ2905","VMB1_VMB2",2014-06-23,2005-05-10
"80","CZ0210175","9170","CZ2975","VMB1_VMB2",2014-06-24,2005-05-12
"81","CZ0210175","9190","CZ2905","VMB1_VMB2",2014-06-23,2001-09-30
"82","CZ0210175","9190","CZ2975","VMB1_VMB2",2014-06-24,2002-08-13
"83","CZ0210175","91I0","CZ2905","VMB1_VMB2",2014-06-23,2005-05-10
"84","CZ0210175","91I0","CZ2975","VMB1_VMB2",2014-06-24,2001-08-13
"85","CZ0210186","91E0","CZ0080","VMB2_VMB0",2024-04-29,2006-08-06
"86","CZ0210186","91E0","CZ0877","VMB1_VMB2",2012-08-18,2000-09-15
"87","CZ0210186","91E0","CZ0880","VMB1_VMB2",2010-10-28,2000-09-15
"88","CZ0210186","91F0","CZ0080","VMB2_VMB0",2024-05-02,2006-08-27
"89","CZ0210186","91F0","CZ0877","VMB1_VMB2",2012-08-18,2000-09-15
"90","CZ0210186","91F0","CZ0880","VMB1_VMB2",2010-10-28,2000-09-15
"91","CZ0210409","9170","CZ2721","VMB1_VMB2",2011-07-10,2003-06-24
"92","CZ0210409","9180","CZ2721","VMB1_VMB2",2011-07-25,2003-06-24
"93","CZ0210409","91H0","CZ2721","VMB1_VMB2",2011-07-25,2003-06-24
"94","CZ0210421","9170","CZ2630","VMB1_VMB2",2021-07-28,2003-12-07
"95","CZ0210421","91H0","CZ2630","VMB1_VMB2",2021-07-28,2003-09-05
"96","CZ0210708","9130","CZ2863","VMB1_VMB2",2014-05-09,2003-05-29
"97","CZ0210708","9170","CZ2863","VMB1_VMB2",2014-05-13,2003-05-28
