kod_chu,DRUH,ID_IND,KLIC,ROK,POLE,NAZEV_LOK,ID_ND_AKCE,HOD_IND,TYP_IND,LIM_IND,JEDNOTKA,LIM_INDLIST,STAV_IND,UROVEN,IND_GRP,CILMON_CHU
CZ0623046,Eriogaster catax,CELKOVE_HODNOCENI,NA,"2015, 2024",7264b,Hrabětice,"9534473, 12958992",dobrý,NA,NA,NA,NA,dobrý,chu,NA,1
CZ0623349,Eriogaster catax,POP_PRESENCE,ano,"2018, 2022, 2023",7171a,"71, Velká nad Veličkou - Velká nad Veličkou, Velický hliník, Velický Hliník","10448065, 12800456, 12800565",ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,1
CZ0623349,Eriogaster catax,STA_HABPOKRYV,ne,"2018, 2022, 2023",7171a,"71, Velká nad Veličkou - Velká nad Veličkou, Velický hliník, Velický Hliník","10448065, 12800456, 12800565",,min,10,procento pokryvnosti preferovaných biotopů,alespoň 10 procento pokryvnosti preferovaných biotopů,špatný,chu,minmax,1
CZ0623349,Eriogaster catax,CELKOVE_HODNOCENI,NA,"2018, 2022, 2023",7171a,"71, Velká nad Veličkou - Velká nad Veličkou, Velický hliník, Velický Hliník","10448065, 12800456, 12800565",dobrý,NA,NA,NA,NA,dobrý,chu,NA,1
CZ0624043,Eriogaster catax,POP_PRESENCE,ano,"2022, 2023, 2024",7165d,"lomy nad Pernou, Lomy nad Pernou, Nad Pernou, Tabulová","12239961, 12800375, 13747437",ne,val,ano,přítomnost druhu,ano,špatný,chu,val,1
CZ0624043,Eriogaster catax,STA_HABPOKRYV,ne,"2022, 2023, 2024",7165d,"lomy nad Pernou, Lomy nad Pernou, Nad Pernou, Tabulová","12239961, 12800375, 13747437",,min,10,procento pokryvnosti preferovaných biotopů,alespoň 10 procento pokryvnosti preferovaných biotopů,špatný,chu,minmax,1
CZ0624043,Eriogaster catax,CELKOVE_HODNOCENI,NA,"2022, 2023, 2024",7165d,"lomy nad Pernou, Lomy nad Pernou, Nad Pernou, Tabulová","12239961, 12800375, 13747437",zhoršený,NA,NA,NA,NA,zhoršený,chu,NA,1
CZ0624072,Eriogaster catax,POP_PRESENCE,ano,"2013, 2020, 2018, 2022, 2023, 2024",7170a,"7170-14, Kněždub, Kněždub  - Kuní hora, Kněždub - Kuní hora","9653514, 11228134, 10448235, 10448236, 10448242, 12800490, 12800363, 13747438",ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,1
CZ0624072,Eriogaster catax,STA_HABPOKRYV,ne,"2013, 2020, 2018, 2022, 2023, 2024",7170a,"7170-14, Kněždub, Kněždub  - Kuní hora, Kněždub - Kuní hora","9653514, 11228134, 10448235, 10448236, 10448242, 12800490, 12800363, 13747438",,min,10,procento pokryvnosti preferovaných biotopů,alespoň 10 procento pokryvnosti preferovaných biotopů,špatný,chu,minmax,1
CZ0624072,Eriogaster catax,CELKOVE_HODNOCENI,NA,"2013, 2020, 2018, 2022, 2023, 2024",7170a,"7170-14, Kněždub, Kněždub  - Kuní hora, Kněždub - Kuní hora","9653514, 11228134, 10448235, 10448236, 10448242, 12800490, 12800363, 13747438",dobrý,NA,NA,NA,NA,dobrý,chu,NA,1
CZ0624096,Eriogaster catax,POP_PRESENCE,ano,"2022, 2023, 2024, 2020, 2019, 2018, 2013","7161a, 7161d, 7162c","Čížov, Hnanice, Havraníky, NP Podyjí, Čížov - Na Keplech, NP Podyjí, Čížov, Na Keplech, Čížov - K rybníčku, Čížov - Pod Keplemi","12800428, 13747450, 13747439, 13747435, 13747444, 11080830, 10748400, 10389947, 10389948, 8893479, 8893478",ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,1
CZ0624096,Eriogaster catax,STA_HABPOKRYV,ne,"2022, 2023, 2024, 2020, 2019, 2018, 2013","7161a, 7161d, 7162c","Čížov, Hnanice, Havraníky, NP Podyjí, Čížov - Na Keplech, NP Podyjí, Čížov, Na Keplech, Čížov - K rybníčku, Čížov - Pod Keplemi","12800428, 13747450, 13747439, 13747435, 13747444, 11080830, 10748400, 10389947, 10389948, 8893479, 8893478",,min,10,procento pokryvnosti preferovaných biotopů,alespoň 10 procento pokryvnosti preferovaných biotopů,špatný,chu,minmax,1
CZ0624096,Eriogaster catax,CELKOVE_HODNOCENI,NA,"2022, 2023, 2024, 2020, 2019, 2018, 2013","7161a, 7161d, 7162c","Čížov, Hnanice, Havraníky, NP Podyjí, Čížov - Na Keplech, NP Podyjí, Čížov, Na Keplech, Čížov - K rybníčku, Čížov - Pod Keplemi","12800428, 13747450, 13747439, 13747435, 13747444, 11080830, 10748400, 10389947, 10389948, 8893479, 8893478",dobrý,NA,NA,NA,NA,dobrý,chu,NA,1
CZ0624100,Eriogaster catax,POP_PRESENCE,ano,"2018, 2022, 2016, 2017, 2023, 2024, 2019","7166c, 7266a","421, Mikulov - Mikulov na Moravě, Na cvičišti, Liščí vrch, Milovický les, CZ0624100 - Milovický les, Mikulova - cvičák, Mikulov, Mikulov - Mikulov na Moravě, Mikulov - cvičiště B, Mikulov na Moravě - PP Na cvičišti, Mikulov, 421, Mikulov, Silnice bez názvu, Mikulov-Mikulov na Moravě, Mikulov-Mikulov na Moravě, 421, PP  Na cvičišti, PP Na Cvičišti, PP Na cvičišti, PP Na cvičišti, Mikulov, PP Na cvičišti, Mikulov - Mikulov na Moravě","12081856, 12239964, 12239958, 12543659, 12543653, 12543664, 12543667, 12543654, 12543652, 12543668, 12543657, 12543663, 12543684, 12543683, 12543682, 12800584, 12958996, 12958997, 12959001, 12965538, 12965539, 12500629, 12500476, 12500963, 12500859, 9662633, 9662635, 9831736, 12496516, 12496517, 12496518, 12496519, 12963543, 12965540, 12965541, 9820750, 10870095, 10870096, 10870097, 10870098, 10870099, 10870102, 10870103, 10870106, 10870107, 10870108, 10870109, 10870110, 10870111, 10870112, 10870113, 10870114, 10870115, 10870116, 10870117, 10870118, 10870119, 10870120, 12965967, 10612996, 12721912",ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,1
CZ0624100,Eriogaster catax,STA_HABPOKRYV,ne,"2018, 2022, 2016, 2017, 2023, 2024, 2019","7166c, 7266a","421, Mikulov - Mikulov na Moravě, Na cvičišti, Liščí vrch, Milovický les, CZ0624100 - Milovický les, Mikulova - cvičák, Mikulov, Mikulov - Mikulov na Moravě, Mikulov - cvičiště B, Mikulov na Moravě - PP Na cvičišti, Mikulov, 421, Mikulov, Silnice bez názvu, Mikulov-Mikulov na Moravě, Mikulov-Mikulov na Moravě, 421, PP  Na cvičišti, PP Na Cvičišti, PP Na cvičišti, PP Na cvičišti, Mikulov, PP Na cvičišti, Mikulov - Mikulov na Moravě","12081856, 12239964, 12239958, 12543659, 12543653, 12543664, 12543667, 12543654, 12543652, 12543668, 12543657, 12543663, 12543684, 12543683, 12543682, 12800584, 12958996, 12958997, 12959001, 12965538, 12965539, 12500629, 12500476, 12500963, 12500859, 9662633, 9662635, 9831736, 12496516, 12496517, 12496518, 12496519, 12963543, 12965540, 12965541, 9820750, 10870095, 10870096, 10870097, 10870098, 10870099, 10870102, 10870103, 10870106, 10870107, 10870108, 10870109, 10870110, 10870111, 10870112, 10870113, 10870114, 10870115, 10870116, 10870117, 10870118, 10870119, 10870120, 12965967, 10612996, 12721912",,min,10,procento pokryvnosti preferovaných biotopů,alespoň 10 procento pokryvnosti preferovaných biotopů,špatný,chu,minmax,1
CZ0624100,Eriogaster catax,CELKOVE_HODNOCENI,NA,"2018, 2022, 2016, 2017, 2023, 2024, 2019","7166c, 7266a","421, Mikulov - Mikulov na Moravě, Na cvičišti, Liščí vrch, Milovický les, CZ0624100 - Milovický les, Mikulova - cvičák, Mikulov, Mikulov - Mikulov na Moravě, Mikulov - cvičiště B, Mikulov na Moravě - PP Na cvičišti, Mikulov, 421, Mikulov, Silnice bez názvu, Mikulov-Mikulov na Moravě, Mikulov-Mikulov na Moravě, 421, PP  Na cvičišti, PP Na Cvičišti, PP Na cvičišti, PP Na cvičišti, Mikulov, PP Na cvičišti, Mikulov - Mikulov na Moravě","12081856, 12239964, 12239958, 12543659, 12543653, 12543664, 12543667, 12543654, 12543652, 12543668, 12543657, 12543663, 12543684, 12543683, 12543682, 12800584, 12958996, 12958997, 12959001, 12965538, 12965539, 12500629, 12500476, 12500963, 12500859, 9662633, 9662635, 9831736, 12496516, 12496517, 12496518, 12496519, 12963543, 12965540, 12965541, 9820750, 10870095, 10870096, 10870097, 10870098, 10870099, 10870102, 10870103, 10870106, 10870107, 10870108, 10870109, 10870110, 10870111, 10870112, 10870113, 10870114, 10870115, 10870116, 10870117, 10870118, 10870119, 10870120, 12965967, 10612996, 12721912",dobrý,NA,NA,NA,NA,dobrý,chu,NA,1
CZ0624104,Eriogaster catax,POP_PRESENCE,ano,"2022, 2023, 2024",7165b,"Kaple, Děvín - Kaple, Děvín","12239959, 12800611, 13747453",ne,val,ano,přítomnost druhu,ano,špatný,chu,val,1
CZ0624104,Eriogaster catax,STA_HABPOKRYV,ne,"2022, 2023, 2024",7165b,"Kaple, Děvín - Kaple, Děvín","12239959, 12800611, 13747453",,min,10,procento pokryvnosti preferovaných biotopů,alespoň 10 procento pokryvnosti preferovaných biotopů,špatný,chu,minmax,1
CZ0624104,Eriogaster catax,CELKOVE_HODNOCENI,NA,"2022, 2023, 2024",7165b,"Kaple, Děvín - Kaple, Děvín","12239959, 12800611, 13747453",zhoršený,NA,NA,NA,NA,zhoršený,chu,NA,1
CZ0624118,Eriogaster catax,POP_PRESENCE,ano,"2019, 2018, 2022, 2023",7162c,"Havraníky - PP Skalky u Havraníků, Havraníky-PP Skalky u Havraníků, Skalky u Havraníků","10605746, 10389949, 12800577, 13747448",ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,1
CZ0624118,Eriogaster catax,STA_HABPOKRYV,ne,"2019, 2018, 2022, 2023",7162c,"Havraníky - PP Skalky u Havraníků, Havraníky-PP Skalky u Havraníků, Skalky u Havraníků","10605746, 10389949, 12800577, 13747448",,min,10,procento pokryvnosti preferovaných biotopů,alespoň 10 procento pokryvnosti preferovaných biotopů,špatný,chu,minmax,1
CZ0624118,Eriogaster catax,CELKOVE_HODNOCENI,NA,"2019, 2018, 2022, 2023",7162c,"Havraníky - PP Skalky u Havraníků, Havraníky-PP Skalky u Havraníků, Skalky u Havraníků","10605746, 10389949, 12800577, 13747448",dobrý,NA,NA,NA,NA,dobrý,chu,NA,1
CZ0624119,Eriogaster catax,POP_PRESENCE,ano,"2013, 2016, 2020, 2022, 2023",7267d,"Břeclav, Lanžhot - Lány, Lanžhot - Soutok, Lanžhot-Lány, Lány","8892778, 8892780, 10585435, 10585436, 9664103, 11082506, 12543669, 13747454",ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,1
CZ0624119,Eriogaster catax,STA_HABPOKRYV,ne,"2013, 2016, 2020, 2022, 2023",7267d,"Břeclav, Lanžhot - Lány, Lanžhot - Soutok, Lanžhot-Lány, Lány","8892778, 8892780, 10585435, 10585436, 9664103, 11082506, 12543669, 13747454",,min,10,procento pokryvnosti preferovaných biotopů,alespoň 10 procento pokryvnosti preferovaných biotopů,špatný,chu,minmax,1
CZ0624119,Eriogaster catax,CELKOVE_HODNOCENI,NA,"2013, 2016, 2020, 2022, 2023",7267d,"Břeclav, Lanžhot - Lány, Lanžhot - Soutok, Lanžhot-Lány, Lány","8892778, 8892780, 10585435, 10585436, 9664103, 11082506, 12543669, 13747454",dobrý,NA,NA,NA,NA,dobrý,chu,NA,1
CZ0723020,Eriogaster catax,POP_PRESENCE,ano,2021,7070b,Ostrožské Předměstí - Obora,12755471,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0723020,Eriogaster catax,STA_HABPOKRYV,ne,2021,7070b,Ostrožské Předměstí - Obora,12755471,,min,10,procento pokryvnosti preferovaných biotopů,alespoň 10 procento pokryvnosti preferovaných biotopů,špatný,chu,minmax,0
