kod_chu,DRUH,KOD_LOKAL,POLE,HODNOCENE_OBDOBI_OD,HODNOCENE_OBDOBI_DO
CZ0323155,Osmoderma barnabita,BROUCI113,6347a,2022-08-08,2022-08-08
CZ0323155,Osmoderma barnabita,BROUCI255,6347a,2023-06-19,2023-06-19
CZ0323155,Osmoderma barnabita,BROUCI256,6347a,2023-06-19,2023-06-19
CZ0323159,Osmoderma barnabita,CZ0323159,6246b,2013-11-06,2013-11-06
CZ0323160,Bombina variegata,CZ0323160,6443b,2012-05-22,2024-06-07
CZ0323162,Bombina variegata,CZ0323162,6445b,2013-08-15,2024-07-14
CZ0323167,Bombina variegata,CZ0323167,6247c,2012-06-16,2022-05-18
CZ0323167,Bombina variegata,CZ0323167,6247d,2012-06-16,2024-06-17
CZ0323167,Bombina variegata,amp67/ab,6247d,2019-06-04,2019-06-17
CZ0323167,Bombina variegata,amp67/ac,6247d,2019-06-04,2024-06-25
CZ0323167,Bombina variegata,amp67/ad,6247d,2019-06-04,2024-06-25
CZ0323167,Bombina variegata,amp67/ae,6247d,2019-06-04,2024-06-25
CZ0323167,Bombina variegata,amp67/af,6247c,2019-06-04,2019-06-17
CZ0323167,Bombina variegata,amp67/ag,6247c,2019-06-04,2019-06-17
CZ0323167,Bombina variegata,amp67/ah,6247c,2019-06-04,2019-06-17
CZ0323167,Bombina variegata,amp67/ai,6247c,2019-06-04,2019-06-17
CZ0323167,Bombina variegata,amp67/aj,6247c,2023-05-24,2024-06-25
CZ0323167,Bombina variegata,amp67/ak,6247c,2019-06-04,2019-06-17
CZ0323167,Bombina variegata,amp67/al,6247c,2019-06-04,2019-06-17
CZ0323167,Bombina variegata,amp67/am,6247c,2019-06-04,2024-06-25
CZ0323167,Bombina variegata,amp67/an,6247c,2019-06-04,2019-06-17
CZ0323167,Bombina variegata,amp67/ao,6247c,2019-06-04,2023-06-08
CZ0323167,Bombina variegata,amp67/ap,6247c,2019-06-04,2019-06-17
CZ0323167,Bombina variegata,amp67/aq,6247c,2019-06-04,2024-06-25
CZ0323167,Bombina variegata,amp67/ar,6247d,2019-06-04,2019-06-17
CZ0323167,Bombina variegata,amp67/as,6247d,2019-06-04,2019-06-17
CZ0323167,Bombina variegata,amp67/at,6247d,2019-06-04,2019-06-17
CZ0323167,Bombina variegata,amp67/au,6247d,2019-06-04,2019-06-17
CZ0323167,Bombina variegata,amp67/av,6247d,2019-06-04,2019-06-17
CZ0323167,Bombina variegata,amp67/aw,6247d,2019-06-04,2019-06-17
CZ0323167,Bombina variegata,amp67/ax,6247d,2019-06-04,2019-06-17
CZ0323167,Bombina variegata,amp67/ay,6247d,2019-06-04,2024-06-25
CZ0323167,Bombina variegata,amp67/az,6247d,2019-06-04,2019-06-17
CZ0323167,Bombina variegata,amp67/ba,6247d,2019-06-04,2024-06-25
CZ0323167,Bombina variegata,amp67/bb,6247c,2019-06-04,2019-06-17
CZ0323167,Bombina variegata,amp67/be,6247d,2019-06-04,2021-06-02
CZ0323167,Bombina variegata,amp67/bf,6247d,2019-06-04,2020-06-02
CZ0323167,Bombina variegata,amp67/bg,6247d,2021-05-18,2024-06-25
CZ0323167,Bombina variegata,amp67/bh,6247c,2021-05-18,2022-06-08
CZ0323167,Bombina variegata,amp67/bi,6247c,2021-05-18,2023-06-08
CZ0323167,Bombina variegata,amp67/bj,6247c,2021-05-18,2021-06-02
CZ0323167,Bombina variegata,amp67/bk,6247d,2021-06-02,2021-06-02
CZ0323167,Bombina variegata,amp67/bl,6247d,2021-06-02,2021-06-02
CZ0323167,Bombina variegata,amp67/bn,6247d,2022-05-18,2022-06-08
CZ0323167,Bombina variegata,amp67/bo,6247d,2022-05-18,2022-06-08
CZ0323167,Bombina variegata,amp67/bp,6247d,2022-05-18,2022-06-08
CZ0323167,Bombina variegata,amp67/bq,6247d,2022-05-18,2024-06-25
CZ0323167,Bombina variegata,amp67/br,6247d,2022-05-18,2022-06-08
CZ0323167,Bombina variegata,amp67/bs,6247d,2022-05-18,2024-06-25
CZ0323167,Bombina variegata,amp67/bt,6247d,2022-05-18,2024-06-25
CZ0323167,Bombina variegata,amp67/bu,6247c,2022-05-18,2024-06-25
CZ0323167,Bombina variegata,amp67/bv,6247d,2022-05-18,2022-06-08
CZ0323167,Bombina variegata,amp67/bw,6247d,2022-05-18,2022-06-08
CZ0323167,Bombina variegata,amp67/bx,6247d,2022-05-18,2023-06-08
CZ0323167,Bombina variegata,amp67/by,6247d,2022-05-18,2024-06-25
CZ0323167,Bombina variegata,amp67/bz,6247d,2022-05-18,2022-06-08
CZ0323167,Bombina variegata,amp67/cb,6247d,2023-05-24,2023-06-08
CZ0323167,Bombina variegata,amp67/cc,6247d,2023-05-24,2024-06-25
CZ0323167,Bombina variegata,amp67/cd,6247d,2023-05-24,2024-06-25
CZ0323167,Bombina variegata,amp67/ce,6247d,2023-05-24,2024-06-25
