kod_chu,DRUH,KOD_LOKAL,POLE,HODNOCENE_OBDOBI_OD,HODNOCENE_OBDOBI_DO
CZ0514670,Osmoderma barnabita,BROUCI116,5352c,2022-11-29,2022-11-29
CZ0514670,Osmoderma barnabita,CZ0514670,5352c,2016-03-25,2022-05-21
CZ0514670,Osmoderma barnabita,CZ0514670,5352d,2021-07-18,2021-07-18
CZ0523010,Osmoderma barnabita,CZ0523010,5861a,2017-10-27,2017-11-04
CZ0523264,Osmoderma barnabita,CZ0523264,5760a,2016-05-20,2016-06-23
CZ0523268,Osmoderma barnabita,CZ0523268,5562c,2017-03-21,2017-03-21
CZ0523274,Osmoderma barnabita,CZ0523274,5558c,2012-06-29,2021-08-13
CZ0523284,Osmoderma barnabita,BROUCI259_198,5762b,2023-08-03,2023-08-03
CZ0523284,Osmoderma barnabita,CZ0523284,5762b,2012-06-14,2015-05-08
CZ0523290,Osmoderma barnabita,2939,5862a,2012-05-01,2012-05-01
CZ0523290,Osmoderma barnabita,CZ0523290,5862a,2012-06-19,2017-06-09
CZ0533295,Osmoderma barnabita,BROUCI120,6159d,2022-07-01,2022-07-01
CZ0533295,Osmoderma barnabita,BROUCI122,6159c,2022-07-01,2022-07-01
CZ0533295,Osmoderma barnabita,CZ0533295,6159c,2012-06-27,2012-06-27
CZ0533295,Osmoderma barnabita,CZ0533295,6159d,2012-06-27,2012-06-27
CZ0533297,Osmoderma barnabita,CZ0533297,5861d,2012-06-19,2015-07-23
CZ0533300,Osmoderma barnabita,CZ0533300,6059d,2021-08-20,2021-08-20
CZ0533300,Osmoderma barnabita,CZ0533300,6060a,2021-08-04,2021-08-04
CZ0533300,Osmoderma barnabita,CZ0533300,6060c,2014-07-05,2021-08-04
CZ0533302,Osmoderma barnabita,CZ0533302,6059b,2014-07-06,2021-07-15
CZ0533307,Osmoderma barnabita,BROUCI51_50,5960b,2022-06-24,2022-06-24
CZ0533307,Osmoderma barnabita,BROUCI51_51,5960b,2022-06-24,2022-06-24
CZ0533308,Osmoderma barnabita,CZ0533308,5959b,2014-05-20,2014-05-20
CZ0533309,Osmoderma barnabita,BROUCI59_81,5960d,2022-07-22,2022-07-22
CZ0533309,Osmoderma barnabita,BROUCI59_82,5960d,2022-07-22,2022-07-22
CZ0533309,Osmoderma barnabita,BROUCI59_83,5960d,2022-07-22,2022-07-22
CZ0533309,Osmoderma barnabita,BROUCI59_84,5960d,2022-07-22,2022-07-22
CZ0533309,Osmoderma barnabita,BROUCI59_85,5960d,2022-07-22,2022-07-22
CZ0533309,Osmoderma barnabita,BROUCI59_86,5960d,2022-07-22,2022-07-22
CZ0533309,Osmoderma barnabita,CZ0533309,5960d,2012-06-27,2017-05-23
CZ0533310,Osmoderma barnabita,CZ0533310,6161a,2021-05-24,2021-05-24
CZ0533316,Osmoderma barnabita,CZ0533316,6062a,2012-06-21,2021-09-16
CZ0533501,Osmoderma barnabita,BROUCI131_135,6160b,2022-06-15,2022-06-15
CZ0533501,Osmoderma barnabita,BROUCI133_137,6160b,2022-06-15,2022-06-15
CZ0533501,Osmoderma barnabita,BROUCI134,6160b,2022-06-15,2022-06-15
CZ0533501,Osmoderma barnabita,CZ0533501,6160b,2015-07-19,2022-08-02
CZ0533696,Osmoderma barnabita,BROUCI127,6060d,2022-06-20,2022-06-20
CZ0533696,Osmoderma barnabita,CZ0533696,6060d,2016-12-20,2023-08-02
CZ0533698,Osmoderma barnabita,CZ0533698,5958b,2016-12-01,2017-06-22
CZ0533698,Osmoderma barnabita,CZ0533698,5958d,2016-12-01,2022-02-10
CZ0534053,Osmoderma barnabita,CZ0534053,6160b,2018-05-08,2018-08-27
CZ0610159,Osmoderma barnabita,CZ0610159,6659c,2021-08-06,2022-07-22
CZ0610179,Osmoderma barnabita,CZ0610179,6961b,2021-07-05,2021-07-05
CZ0612149,Osmoderma barnabita,CZ0612149,7059d,2012-05-28,2021-10-31
CZ0613002,Osmoderma barnabita,CZ0613002,6758b,2014-05-21,2014-06-17
CZ0613013,Bombina variegata,CZ0613013,6758d,2021-04-26,2021-06-05
CZ0613816,Osmoderma barnabita,CZ0613816,6762d,2015-01-01,2020-07-25
CZ0613816,Osmoderma barnabita,CZ0613816,6763c,2015-01-01,2023-09-01
CZ0613816,Osmoderma barnabita,CZ0613816,6863a,2015-01-01,2020-07-25
CZ0614131,Osmoderma barnabita,CZ0614131,6862b,2012-03-09,2022-06-24
CZ0620084,Osmoderma barnabita,CZ0620084,7065d,2015-11-10,2019-01-01
CZ0623022,Osmoderma barnabita,CZ0623022,7164b,2024-04-22,2024-04-22
CZ0623022,Osmoderma barnabita,CZ0623022,7164d,2024-04-22,2024-04-22
CZ0623025,Osmoderma barnabita,CZ0623025,6867a,2012-08-26,2020-10-04
CZ0623032,Osmoderma barnabita,CZ0623032,6965d,2016-10-24,2016-10-27
CZ0623045,Osmoderma barnabita,CZ0623045,7266b,2014-07-10,2014-07-10
CZ0623349,Bombina variegata,CZ0623349,7171a,2013-07-01,2024-07-20
CZ0623801,Osmoderma barnabita,CZ0623801,6965d,2019-01-01,2019-01-01
CZ0624001,Osmoderma barnabita,CZ0624001,7163c,2016-05-24,2016-05-24
CZ0624072,Bombina variegata,CZ0624072,7169d,2024-07-16,2024-07-16
CZ0624072,Bombina variegata,CZ0624072,7170a,2012-06-07,2021-06-06
CZ0624072,Bombina variegata,CZ0624072,7170b,2020-09-10,2020-09-10
CZ0624072,Bombina variegata,CZ0624072,7170c,2019-05-02,2023-08-30
CZ0624072,Bombina variegata,CZ0624072,7170d,2019-05-11,2023-08-30
CZ0624095,Osmoderma barnabita,BROUCI372_294,7060c,2023-06-11,2023-06-11
CZ0624095,Osmoderma barnabita,BROUCI376_298,7060d,2023-06-11,2023-06-11
CZ0624095,Osmoderma barnabita,BROUCI377_299,7060d,2023-06-11,2023-06-11
CZ0624095,Osmoderma barnabita,CZ0624095,7060c,2012-06-23,2023-07-06
CZ0624095,Osmoderma barnabita,CZ0624095,7060d,2021-11-20,2021-11-20
CZ0624096,Osmoderma barnabita,BROUCI405_325,7162a,2023-10-29,2023-10-29
CZ0624099,Osmoderma barnabita,1,7166a,2013-04-27,2013-04-27
CZ0624099,Osmoderma barnabita,2,7166c,2013-04-27,2013-04-27
CZ0624099,Osmoderma barnabita,3,7166c,2013-04-27,2013-04-27
CZ0624099,Osmoderma barnabita,4,7166c,2013-04-27,2013-04-27
CZ0624099,Osmoderma barnabita,CZ0624099,7166c,2012-05-20,2019-05-01
CZ0624099,Osmoderma barnabita,CZ0624099,7166d,2012-01-01,2022-04-11
CZ0624099,Osmoderma barnabita,CZ0624099,7167c,2014-07-16,2022-04-11
CZ0624099,Osmoderma barnabita,CZ0624099,7267a,2014-11-12,2022-04-11
CZ0624119,Osmoderma barnabita,5,7367b,2013-04-26,2013-04-26
CZ0624119,Osmoderma barnabita,CZ0624119,7168d,2015-01-01,2023-08-24
CZ0624119,Osmoderma barnabita,CZ0624119,7267a,2014-12-04,2014-12-04
CZ0624119,Osmoderma barnabita,CZ0624119,7267c,2013-01-01,2022-04-11
CZ0624119,Osmoderma barnabita,CZ0624119,7267d,2015-01-01,2022-04-11
CZ0624119,Osmoderma barnabita,CZ0624119,7268a,2015-01-01,2022-04-10
CZ0624119,Osmoderma barnabita,CZ0624119,7268c,2015-01-01,2022-04-10
CZ0624119,Osmoderma barnabita,CZ0624119,7367b,2013-01-01,2022-04-11
CZ0624119,Osmoderma barnabita,CZ0624119,7367d,2013-01-01,2022-04-11
CZ0624130,Osmoderma barnabita,1,6666c,2014-08-08,2014-08-08
CZ0624130,Osmoderma barnabita,BROUCI449_351,6666c,2023-11-18,2023-11-18
CZ0624130,Osmoderma barnabita,CZ0624130,6666c,2024-04-07,2024-04-07
CZ0713385,Bombina variegata,CZ0713385,5769b,2012-05-09,2024-07-14
CZ0713398,Bombina variegata,CZ0713398,5770a,2012-05-06,2024-07-07
CZ0713398,Bombina variegata,CZ0713398_1,5770a,2021-05-09,2024-07-31
CZ0713398,Bombina variegata,CZ0713398_2,5770a,2021-05-09,2024-07-31
CZ0713398,Bombina variegata,CZ0713398_3,5770a,2021-05-09,2024-07-31
CZ0713398,Bombina variegata,CZ0713398_4,5770a,2021-05-09,2024-07-31
CZ0713398,Bombina variegata,amp211,5770a,2019-04-30,2023-05-23
CZ0713827,Bombina variegata,CZ0713827,5669a,2015-05-17,2024-07-31
CZ0713827,Bombina variegata,CZ0713827,5669c,2014-04-11,2018-09-17
CZ0713827,Bombina variegata,CZ0713827_1,5669c,2021-05-07,2024-06-17
CZ0713827,Bombina variegata,CZ0713827_10,5669a,2021-06-02,2022-06-13
CZ0713827,Bombina variegata,CZ0713827_10_14,5669a,2024-04-09,2024-06-06
CZ0713827,Bombina variegata,CZ0713827_11,5669a,2021-06-02,2022-05-11
CZ0713827,Bombina variegata,CZ0713827_12,5669a,2021-06-02,2022-06-10
CZ0713827,Bombina variegata,CZ0713827_13,5669a,2021-06-02,2022-05-11
CZ0713827,Bombina variegata,CZ0713827_14,5669a,2021-09-11,2022-06-13
CZ0713827,Bombina variegata,CZ0713827_15,5669c,2022-05-09,2024-06-11
CZ0713827,Bombina variegata,CZ0713827_16,5669a,2022-05-11,2022-05-11
CZ0713827,Bombina variegata,CZ0713827_2,5669c,2021-04-22,2024-06-11
CZ0713827,Bombina variegata,CZ0713827_3,5669c,2021-05-07,2022-05-23
CZ0713827,Bombina variegata,CZ0713827_4,5669c,2021-05-07,2021-05-07
CZ0713827,Bombina variegata,CZ0713827_5,5669c,2021-05-07,2022-05-09
CZ0713827,Bombina variegata,CZ0713827_6,5669c,2021-05-07,2024-06-17
CZ0713827,Bombina variegata,CZ0713827_7,5669c,2021-05-07,2022-05-09
CZ0713827,Bombina variegata,CZ0713827_8,5669c,2021-05-07,2021-05-07
CZ0713827,Bombina variegata,CZ0713827_9,5669a,2021-05-11,2024-06-05
CZ0714082,Osmoderma barnabita,CZ0714082,6570b,2013-04-06,2013-04-06
CZ0714085,Osmoderma barnabita,BROUCI72,6569d,2022-10-27,2022-10-27
CZ0714133,Bombina variegata,CZ0714133,6370b,2012-06-10,2012-06-10
CZ0714133,Bombina variegata,CZ0714133,6370d,2012-06-10,2021-04-01
CZ0714133,Bombina variegata,CZ0714133,6371a,2012-05-30,2012-05-30
CZ0720033,Bombina variegata,CZ0720033,6673c,2022-05-10,2022-05-10
CZ0720033,Bombina variegata,CZ0720033,6673d,2019-07-08,2024-09-04
CZ0720185,Bombina variegata,CZ0720185,6672a,2014-06-14,2014-06-14
CZ0720190,Bombina variegata,CZ0720190,6672c,2012-06-04,2017-06-30
CZ0720422,Bombina variegata,CZ0720422,7072b,2016-08-16,2016-08-16
CZ0720428,Bombina variegata,CZ0720428,6973c,2013-04-06,2024-08-20
CZ0720435,Bombina variegata,CZ0720435,6874c,2013-04-06,2024-07-14
CZ0720437,Bombina variegata,CZ0720437,6973b,2022-08-10,2022-08-10
CZ0720441,Bombina variegata,CZ0720441,6874c,2022-06-24,2023-06-15
CZ0720454,Bombina variegata,CZ0720454,6874d,2021-05-26,2021-05-26
CZ0722199,Bombina variegata,CZ0722199,6874d,2019-06-12,2019-06-12
CZ0723403,Bombina variegata,CZ0723403,6872a,2012-03-28,2018-06-12
CZ0723403,Bombina variegata,amp214,6872a,2019-03-26,2024-04-11
CZ0723406,Bombina variegata,CZ0723406,6672a,2015-06-11,2015-06-11
CZ0723409,Bombina variegata,CZ0723409,6771a,2019-04-09,2023-06-01
CZ0723412,Bombina variegata,CZ0723412,6971d,2012-06-20,2024-06-17
CZ0723412,Bombina variegata,CZ0723412_4,6971d,2023-06-11,2023-06-11
CZ0723413,Bombina variegata,CZ0723413,6972c,2020-06-15,2020-06-15
CZ0723416,Bombina variegata,CZ0723416,6971a,2012-03-27,2024-05-09
CZ0723416,Bombina variegata,amp217,6971a,2019-05-24,2023-06-07
CZ0723430,Bombina variegata,CZ0723430,6972c,2014-05-22,2024-06-16
CZ0723430,Bombina variegata,CZ0723430_1,6972c,2023-06-11,2023-06-11
CZ0723434,Bombina variegata,CZ0723434,6974a,2022-05-13,2022-05-13
CZ0724087,Bombina variegata,CZ0724087,6972a,2017-07-13,2017-07-13
CZ0724087,Osmoderma barnabita,9110_567,6972c,2013-01-01,2013-01-01
CZ0724087,Osmoderma barnabita,CZ0724087,6972a,2024-07-26,2024-07-26
CZ0724087,Osmoderma barnabita,CZ0724087,6972c,2024-07-26,2024-07-26
CZ0724089,Bombina variegata,CZ0724089,6376d,2021-06-04,2022-06-14
CZ0724089,Bombina variegata,CZ0724089,6377a,2014-07-06,2014-07-06
CZ0724089,Bombina variegata,CZ0724089,6377c,2017-08-04,2024-11-01
CZ0724089,Bombina variegata,CZ0724089,6377d,2012-07-20,2019-08-28
CZ0724089,Bombina variegata,CZ0724089,6378c,2020-05-04,2024-06-07
CZ0724089,Bombina variegata,CZ0724089,6474c,2019-06-03,2024-05-31
CZ0724089,Bombina variegata,CZ0724089,6474d,2016-09-04,2024-05-30
CZ0724089,Bombina variegata,CZ0724089,6475c,2012-06-16,2024-06-14
CZ0724089,Bombina variegata,CZ0724089,6476a,2022-07-19,2022-08-03
CZ0724089,Bombina variegata,CZ0724089,6476b,2014-05-24,2024-06-06
CZ0724089,Bombina variegata,CZ0724089,6476c,2015-07-04,2024-05-27
CZ0724089,Bombina variegata,CZ0724089,6476d,2012-08-18,2024-05-30
CZ0724089,Bombina variegata,CZ0724089,6477a,2024-07-16,2024-07-16
CZ0724089,Bombina variegata,CZ0724089,6477b,2012-06-23,2024-05-06
CZ0724089,Bombina variegata,CZ0724089,6477c,2014-05-17,2024-09-04
CZ0724089,Bombina variegata,CZ0724089,6477d,2017-08-18,2024-05-11
CZ0724089,Bombina variegata,CZ0724089,6478a,2015-05-19,2020-08-14
CZ0724089,Bombina variegata,CZ0724089,6478c,2017-05-13,2023-07-11
CZ0724089,Bombina variegata,CZ0724089,6574b,2013-05-20,2024-06-14
CZ0724089,Bombina variegata,CZ0724089,6574c,2021-05-29,2023-07-25
CZ0724089,Bombina variegata,CZ0724089,6574d,2015-05-29,2022-07-03
CZ0724089,Bombina variegata,CZ0724089,6575a,2014-05-09,2024-07-26
CZ0724089,Bombina variegata,CZ0724089,6575b,2013-09-04,2024-07-26
CZ0724089,Bombina variegata,CZ0724089,6575c,2012-05-20,2023-06-10
CZ0724089,Bombina variegata,CZ0724089,6575d,2013-08-03,2024-05-31
CZ0724089,Bombina variegata,CZ0724089,6576a,2012-06-11,2024-08-19
CZ0724089,Bombina variegata,CZ0724089,6576b,2012-06-11,2024-06-28
CZ0724089,Bombina variegata,CZ0724089,6576c,2012-06-11,2024-05-10
CZ0724089,Bombina variegata,CZ0724089,6576d,2012-05-21,2024-09-07
CZ0724089,Bombina variegata,CZ0724089,6577a,2013-05-16,2023-08-19
CZ0724089,Bombina variegata,CZ0724089,6577b,2017-07-16,2024-07-08
CZ0724089,Bombina variegata,CZ0724089,6674a,2012-04-24,2024-06-01
CZ0724089,Bombina variegata,CZ0724089,6674b,2012-06-28,2024-09-06
CZ0724089,Bombina variegata,CZ0724089,6674c,2020-05-30,2023-05-21
CZ0724089,Bombina variegata,CZ0724089,6674d,2014-06-04,2024-06-08
CZ0724089,Bombina variegata,CZ0724089,6675a,2012-04-27,2024-06-21
CZ0724089,Bombina variegata,CZ0724089,6675b,2012-07-12,2023-07-10
CZ0724089,Bombina variegata,CZ0724089,6675c,2012-06-21,2024-06-17
CZ0724089,Bombina variegata,CZ0724089,6675d,2014-05-27,2022-06-02
CZ0724089,Bombina variegata,CZ0724089,6676a,2012-07-04,2024-07-22
CZ0724089,Bombina variegata,CZ0724089,6676b,2013-06-23,2023-07-08
CZ0724089,Bombina variegata,CZ0724089,6676c,2015-06-30,2021-08-22
CZ0724089,Bombina variegata,CZ0724089,6774a,2012-05-22,2022-06-09
CZ0724089,Bombina variegata,CZ0724089,6774b,2014-04-29,2023-09-10
CZ0724089,Bombina variegata,CZ0724089,6774c,2015-05-26,2024-07-12
CZ0724089,Bombina variegata,CZ0724089,6774d,2012-06-06,2024-07-12
CZ0724089,Bombina variegata,CZ0724089,6775a,2012-06-18,2024-06-15
CZ0724089,Bombina variegata,CZ0724089,6775b,2023-05-06,2023-06-30
CZ0724089,Bombina variegata,CZ0724089,6874a,2014-04-24,2014-04-24
CZ0724089,Bombina variegata,CZ0724089,6874b,2016-09-02,2017-08-18
CZ0724089,Bombina variegata,CZ0724089_11,6576d,2024-05-01,2024-08-12
CZ0724089,Bombina variegata,CZ0724089_12,6575d,2020-06-23,2024-07-27
CZ0724089,Bombina variegata,CZ0724089_13,6476d,2020-06-16,2024-09-11
CZ0724089,Bombina variegata,CZ0724089_14,6378c,2024-04-13,2024-04-13
CZ0724089,Bombina variegata,CZ0724089_16,6675b,2020-07-01,2024-09-08
CZ0724089,Bombina variegata,CZ0724089_18,6576d,2024-04-07,2024-08-12
CZ0724089,Bombina variegata,CZ0724089_25,6774d,2020-05-19,2022-08-01
CZ0724089,Bombina variegata,CZ0724089_27,6675c,2020-04-20,2022-08-15
CZ0724089,Bombina variegata,CZ0724089_28,6676a,2020-04-20,2022-08-15
CZ0724089,Bombina variegata,CZ0724089_30,6575b,2021-05-14,2024-08-18
CZ0724089,Bombina variegata,CZ0724089_9,6774b,2020-05-27,2024-08-07
CZ0724089,Bombina variegata,amp219,6674a,2020-04-25,2021-06-16
CZ0724089,Bombina variegata,amp220,6676a,2020-05-13,2024-09-07
CZ0724089,Bombina variegata,amp228,6574d,2024-03-15,2024-03-15
CZ0724089,Bombina variegata,amp233,6674a,2019-05-08,2024-07-31
CZ0724089,Bombina variegata,amp243,6477c,2024-04-14,2024-08-31
CZ0724089,Bombina variegata,amp260,6477d,2024-04-13,2024-05-29
CZ0724089,Bombina variegata,amp264,6576c,2019-04-04,2023-05-30
CZ0724089,Bombina variegata,amp310,6575a,2024-03-15,2024-08-12
CZ0724089,Bombina variegata,amp311,6574b,2024-04-06,2024-08-24
CZ0724089,Bombina variegata,amp348,6574c,2024-05-04,2024-07-27
CZ0724089,Bombina variegata,amp349,6575a,2024-05-01,2024-08-12
CZ0724090,Bombina variegata,614700,7072c,2017-06-06,2017-06-06
CZ0724090,Bombina variegata,776882,7072b,2017-07-09,2017-07-09
CZ0724090,Bombina variegata,788856,7073c,2017-05-16,2017-05-16
CZ0724090,Bombina variegata,CZ0724090,7071d,2012-05-24,2024-05-28
CZ0724090,Bombina variegata,CZ0724090,7072a,2020-03-13,2020-09-16
CZ0724090,Bombina variegata,CZ0724090,7072b,2016-05-10,2022-06-28
CZ0724090,Bombina variegata,CZ0724090,7072c,2014-05-28,2024-08-12
CZ0724090,Bombina variegata,CZ0724090,7072d,2018-05-01,2024-06-06
CZ0724090,Bombina variegata,CZ0724090,7073a,2013-08-03,2024-07-25
CZ0724090,Bombina variegata,CZ0724090,7073c,2018-07-24,2022-06-14
CZ0724090,Bombina variegata,CZ0724090,7171a,2012-06-07,2022-08-25
CZ0724090,Bombina variegata,CZ0724090,7171b,2013-05-26,2024-05-28
CZ0724090,Bombina variegata,CZ0724090,7171c,2015-05-22,2024-07-19
CZ0724090,Bombina variegata,CZ0724090,7172a,2013-06-08,2023-06-03
CZ0724091,Bombina variegata,CZ0724091,6770c,2016-07-04,2016-07-04
CZ0724091,Bombina variegata,CZ0724091,6770d,2015-04-24,2015-04-24
CZ0724091,Bombina variegata,CZ0724091,6869c,2014-09-18,2015-05-17
CZ0724091,Bombina variegata,CZ0724091,6869d,2013-07-10,2021-08-11
CZ0724091,Bombina variegata,CZ0724091,6870a,2015-06-20,2015-06-20
CZ0724091,Bombina variegata,CZ0724091,6870b,2017-07-04,2024-08-15
CZ0724091,Bombina variegata,CZ0724091,6969a,2014-08-29,2020-07-07
CZ0724120,Osmoderma barnabita,BROUCI25_56,6870d,2022-06-15,2022-06-15
CZ0724120,Osmoderma barnabita,BROUCI26,6870d,2022-06-15,2022-06-15
CZ0724120,Osmoderma barnabita,CZ0724120,6870d,2013-07-05,2015-05-21
CZ0724120,Osmoderma barnabita,CZ0724120,6871c,2015-04-21,2015-04-21
CZ0724121,Bombina variegata,CZ0724121,6673b,2018-05-28,2018-05-28
CZ0724429,Bombina variegata,CZ0724429,6672a,2013-07-02,2022-06-03
CZ0724429,Bombina variegata,CZ0724429,6672b,2012-05-08,2022-08-08
CZ0724429,Bombina variegata,CZ0724429_18,6672b,2023-05-06,2023-05-06
CZ0724430,Bombina variegata,912,6974a,2012-07-12,2012-07-12
CZ0724430,Bombina variegata,CZ0724430,6974a,2018-06-06,2021-07-26
CZ0724430,Bombina variegata,CZ0724430,6974b,2014-05-23,2022-06-28
CZ0724430,Bombina variegata,CZ0724430,6974c,2013-05-23,2023-08-02
CZ0810004,Bombina variegata,CZ0810004,6376a,2012-07-08,2021-09-06
CZ0810004,Bombina variegata,CZ0810004,6376b,2012-07-27,2024-05-30
CZ0810004,Bombina variegata,CZ0810004,6376d,2012-04-19,2020-06-07
CZ0810018,Bombina variegata,CZ0810018,6169b,2012-06-05,2012-06-05
CZ0810035,Bombina variegata,CZ0810035,6473b,2015-07-01,2015-07-01
CZ0810036,Bombina variegata,CZ0810036,6474b,2012-06-02,2024-08-10
CZ0810425,Bombina variegata,CZ0810425,6276d,2016-07-21,2016-07-21
CZ0813438,Bombina variegata,amp303,6373d,2022-05-14,2022-05-14
CZ0813447,Osmoderma barnabita,CZ0813447,6375c,2013-07-15,2019-07-31
CZ0813449,Osmoderma barnabita,CZ0813449,6175a,2015-07-07,2015-08-03
CZ0813451,Osmoderma barnabita,5793,6177a,2019-06-21,2019-06-21
CZ0813451,Osmoderma barnabita,CZ0813451,6176b,2015-06-06,2019-08-01
CZ0813451,Osmoderma barnabita,CZ0813451,6177a,2015-06-06,2019-08-01
CZ0813457,Bombina variegata,CZ0813457,6076c,2012-06-20,2021-06-10
CZ0813457,Bombina variegata,CZ0813457,6076d,2015-05-30,2022-09-22
CZ0813457,Bombina variegata,CZ0813457_1,6076d,2022-05-09,2023-10-11
CZ0813457,Bombina variegata,CZ0813457_2,6076d,2022-05-09,2024-08-16
CZ0813457,Bombina variegata,CZ0813457_3,6076c,2022-05-09,2024-08-16
CZ0813457,Bombina variegata,CZ0813457_4,6076d,2022-05-20,2024-10-17
CZ0813457,Bombina variegata,CZ0813457_5,6076c,2022-05-18,2024-08-14
CZ0813457,Osmoderma barnabita,CZ0813457,6076c,2015-06-06,2019-08-01
CZ0813457,Osmoderma barnabita,CZ0813457,6076d,2019-08-01,2019-08-01
CZ0813460,Osmoderma barnabita,CZ0813460,5672c,2021-08-10,2021-08-10
CZ0813461,Osmoderma barnabita,CZ0813461,6075d,2019-04-10,2019-09-02
CZ0813463,Osmoderma barnabita,CZ0813463,6275d,2015-06-07,2019-07-10
CZ0813469,Bombina variegata,CZ0813469,5872c,2012-05-02,2018-07-20
CZ0813469,Bombina variegata,amp245,5872c,2019-04-16,2023-07-27
CZ0813475,Bombina variegata,CZ0813475,6276a,2023-06-16,2023-06-16
CZ0813516,Bombina variegata,CZ0813516,6378c,2013-06-09,2016-04-17
CZ0813516,Bombina variegata,CZ0813516,6478b,2015-07-19,2015-07-19
CZ0814092,Bombina variegata,CZ0814092,6274d,2014-06-27,2014-06-27
CZ0814092,Bombina variegata,CZ0814092_2,6275a,2022-09-04,2022-09-04
CZ0814092,Osmoderma barnabita,CZ0814092,6274c,2013-09-08,2022-05-02
CZ0814092,Osmoderma barnabita,CZ0814092,6274d,2013-08-11,2023-02-21
CZ0814092,Osmoderma barnabita,CZ0814092,6275a,2015-10-29,2015-10-29
CZ0814092,Osmoderma barnabita,CZ0814092,6275c,2013-09-08,2023-01-17
CZ0814092,Osmoderma barnabita,CZ0814092,6373b,2020-02-20,2020-02-20
CZ0814092,Osmoderma barnabita,CZ0814092,6373c,2014-08-20,2014-08-20
CZ0814092,Osmoderma barnabita,CZ0814092,6373d,2014-09-11,2023-01-03
CZ0814092,Osmoderma barnabita,CZ0814092,6374a,2013-06-13,2023-02-21
CZ0814093,Bombina variegata,CZ0814093,6075d,2013-07-09,2013-07-09
CZ0814093,Bombina variegata,CZ0814093,6076c,2015-05-29,2022-09-22
CZ0814093,Bombina variegata,CZ0814093_1,6076c,2022-05-17,2024-08-14
CZ0814093,Bombina variegata,CZ0814093_2,6076c,2022-05-17,2024-08-14
CZ0814093,Bombina variegata,CZ0814093_3,6076c,2022-05-17,2024-08-14
CZ0814093,Osmoderma barnabita,3369,6076c,2024-03-08,2024-03-08
CZ0814093,Osmoderma barnabita,CZ0814093,6076c,2024-03-08,2024-03-08
