kod_chu,DRUH,POLE,POSLEDNI_NALEZ
CZ0810036,Bombina variegata,6474b,2024-08-10
CZ0810425,Bombina variegata,6276d,2016-07-21
CZ0813438,Bombina variegata,6373d,2022-05-14
CZ0813447,Osmoderma barnabita,6375c,2019-07-31
CZ0813449,Osmoderma barnabita,6175a,2015-08-03
CZ0813451,Osmoderma barnabita,6176b,2019-08-01
CZ0813451,Osmoderma barnabita,6177a,2019-08-01
CZ0813456,Lampetra planeri,6069b,2023-10-24
CZ0813456,Lampetra planeri,6070a,2023-10-24
CZ0813456,Lampetra planeri,6070c,2023-10-24
CZ0813457,Bombina variegata,6076c,2024-08-16
CZ0813457,Bombina variegata,6076d,2024-10-17
CZ0813457,Osmoderma barnabita,6076c,2019-08-01
CZ0813457,Osmoderma barnabita,6076d,2019-08-01
CZ0813460,Osmoderma barnabita,5672c,2021-08-10
CZ0813461,Osmoderma barnabita,6075d,2019-09-02
CZ0813462,Lampetra planeri,6476a,2019-02-17
CZ0813463,Osmoderma barnabita,6275d,2019-07-10
CZ0813469,Bombina variegata,5872c,2023-07-27
CZ0813475,Bombina variegata,6276a,2023-06-16
CZ0813516,Bombina variegata,6378c,2016-04-17
CZ0813516,Bombina variegata,6478b,2015-07-19
CZ0813516,Lampetra planeri,6378a,2023-08-18
CZ0813516,Lampetra planeri,6378c,2023-08-18
CZ0813516,Lampetra planeri,6478a,2020-03-01
CZ0813516,Lampetra planeri,6478b,2023-08-19
CZ0813810,Lampetra planeri,6272c,2018-10-12
CZ0814092,Bombina variegata,6274d,2014-06-27
CZ0814092,Bombina variegata,6275a,2022-09-04
CZ0814092,Lampetra planeri,6274c,2015-09-01
CZ0814092,Lampetra planeri,6274d,2015-09-01
CZ0814092,Lampetra planeri,6275c,2015-09-01
CZ0814092,Lampetra planeri,6373b,2015-09-01
CZ0814092,Lampetra planeri,6373c,2015-09-01
CZ0814092,Lampetra planeri,6373d,2015-09-01
CZ0814092,Lampetra planeri,6374a,2015-09-01
CZ0814092,Osmoderma barnabita,6274c,2022-05-02
CZ0814092,Osmoderma barnabita,6274d,2023-02-21
CZ0814092,Osmoderma barnabita,6275a,2015-10-29
CZ0814092,Osmoderma barnabita,6275c,2023-01-17
CZ0814092,Osmoderma barnabita,6373b,2020-02-20
CZ0814092,Osmoderma barnabita,6373c,2014-08-20
CZ0814092,Osmoderma barnabita,6373d,2023-01-03
CZ0814092,Osmoderma barnabita,6374a,2023-02-21
CZ0814093,Bombina variegata,6075d,2013-07-09
CZ0814093,Bombina variegata,6076c,2024-08-14
CZ0814093,Osmoderma barnabita,6076c,2024-03-08
