kod_chu,DRUH,KOD_LOKAL,POLE,POSLEDNI_NALEZ
CZ0323167,Bombina variegata,amp67/cj,6247d,2023-06-08
CZ0323167,Bombina variegata,amp67/cl,6247d,2024-06-25
CZ0323167,Bombina variegata,amp67/cm,6247d,2023-06-08
CZ0323167,Bombina variegata,amp67/cn,6247d,2024-06-25
CZ0323167,Bombina variegata,amp67/cq,6247d,2024-06-25
CZ0323167,Bombina variegata,amp67/cr,6247d,2024-06-25
CZ0323167,Bombina variegata,amp67/cs,6247d,2024-06-25
CZ0323167,Bombina variegata,amp67/ct,6247d,2024-06-25
CZ0323167,Bombina variegata,amp67/cu,6247d,2024-06-25
CZ0323167,Bombina variegata,amp67/cv,6247d,2024-06-25
CZ0323167,Bombina variegata,amp67/cw,6247d,2024-06-25
CZ0323167,Bombina variegata,amp67/cx,6247d,2024-06-25
CZ0323167,Bombina variegata,amp67/cy,6247d,2024-06-25
CZ0323167,Bombina variegata,amp67/cz,6247d,2024-06-25
CZ0323167,Bombina variegata,amp67/da,6247d,2024-06-25
CZ0323167,Bombina variegata,amp67/db,6247d,2024-06-25
CZ0323167,Bombina variegata,amp67/dc,6247c,2024-06-25
CZ0323167,Bombina variegata,amp67/p,6247d,2022-06-08
CZ0323167,Bombina variegata,amp67/r,6247d,2019-06-17
CZ0323167,Bombina variegata,amp67/s,6247d,2019-06-17
CZ0323167,Bombina variegata,amp67/t,6247d,2024-06-25
CZ0323167,Bombina variegata,amp67/u,6247d,2019-06-17
CZ0323167,Bombina variegata,amp67/v,6247d,2024-06-25
CZ0323167,Bombina variegata,amp67/w,6247d,2024-06-25
CZ0323167,Bombina variegata,amp67/x,6247d,2024-06-25
CZ0323167,Bombina variegata,amp67/y,6247d,2019-06-17
CZ0323167,Bombina variegata,amp67/z,6247d,2022-06-08
CZ0323169,Bombina variegata,CZ0323169,6243b,2024-05-05
CZ0323169,Bombina variegata,amp70/a,6243b,2019-07-10
CZ0323169,Bombina variegata,amp70/aa,6243b,2021-07-13
CZ0323169,Bombina variegata,amp70/ab,6243b,2022-06-30
CZ0323169,Bombina variegata,amp70/ac,6243b,2022-06-30
CZ0323169,Bombina variegata,amp70/ad,6243b,2021-07-13
CZ0323169,Bombina variegata,amp70/ae,6243b,2019-07-10
CZ0323169,Bombina variegata,amp70/af,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/ag,6243b,2019-07-10
CZ0323169,Bombina variegata,amp70/ah,6243b,2019-07-10
CZ0323169,Bombina variegata,amp70/ai,6243b,2022-06-30
CZ0323169,Bombina variegata,amp70/aj,6243b,2021-07-13
CZ0323169,Bombina variegata,amp70/ak,6243b,2022-06-30
CZ0323169,Bombina variegata,amp70/al,6243b,2020-06-16
CZ0323169,Bombina variegata,amp70/am,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/an,6243b,2021-07-13
CZ0323169,Bombina variegata,amp70/ao,6243b,2019-07-10
CZ0323169,Bombina variegata,amp70/ap,6243b,2022-06-30
CZ0323169,Bombina variegata,amp70/aq,6243b,2019-07-10
CZ0323169,Bombina variegata,amp70/ar,6243b,2022-06-30
CZ0323169,Bombina variegata,amp70/as,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/at,6243b,2022-06-30
CZ0323169,Bombina variegata,amp70/au,6243b,2020-05-20
CZ0323169,Bombina variegata,amp70/av,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/aw,6243b,2020-07-01
CZ0323169,Bombina variegata,amp70/ax,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/ay,6243b,2022-06-30
CZ0323169,Bombina variegata,amp70/az,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/b,6243b,2021-06-03
CZ0323169,Bombina variegata,amp70/ba,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/bb,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/bc,6243b,2020-07-01
CZ0323169,Bombina variegata,amp70/bd,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/be,6243b,2021-07-13
CZ0323169,Bombina variegata,amp70/bf,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/bg,6243b,2022-06-30
CZ0323169,Bombina variegata,amp70/bh,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/bi,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/bj,6243b,2019-07-10
CZ0323169,Bombina variegata,amp70/bk,6243b,2021-07-13
CZ0323169,Bombina variegata,amp70/bl,6243b,2021-07-13
CZ0323169,Bombina variegata,amp70/bm,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/bn,6243b,2019-07-10
CZ0323169,Bombina variegata,amp70/bo,6243b,2020-07-01
CZ0323169,Bombina variegata,amp70/bp,6243b,2022-06-30
CZ0323169,Bombina variegata,amp70/bq,6243b,2024-07-24
CZ0323169,Bombina variegata,amp70/br,6243b,2024-07-24
CZ0323169,Bombina variegata,amp70/bs,6243b,2020-07-01
CZ0323169,Bombina variegata,amp70/bt,6243b,2020-07-01
CZ0323169,Bombina variegata,amp70/bu,6243b,2019-07-10
CZ0323169,Bombina variegata,amp70/bv,6243b,2021-07-13
CZ0323169,Bombina variegata,amp70/bw,6243b,2021-07-13
CZ0323169,Bombina variegata,amp70/bx,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/by,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/bz,6243b,2019-07-10
CZ0323169,Bombina variegata,amp70/c,6243b,2019-07-10
CZ0323169,Bombina variegata,amp70/ca,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/cb,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/cc,6243b,2022-06-30
CZ0323169,Bombina variegata,amp70/cd,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/ce,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/cf,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/cg,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/ci,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/cj,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/ck,6243b,2021-07-13
CZ0323169,Bombina variegata,amp70/cl,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/cm,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/cn,6243b,2022-06-30
CZ0323169,Bombina variegata,amp70/co,6243b,2024-06-05
CZ0323169,Bombina variegata,amp70/cp,6243b,2022-06-30
CZ0323169,Bombina variegata,amp70/cq,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/cr,6243b,2022-06-30
CZ0323169,Bombina variegata,amp70/cs,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/ct,6243b,2022-06-30
CZ0323169,Bombina variegata,amp70/cu,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/cv,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/cw,6243b,2024-06-05
CZ0323169,Bombina variegata,amp70/cx,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/cy,6243b,2024-06-05
CZ0323169,Bombina variegata,amp70/cz,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/d,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/da,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/db,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/dc,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/de,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/dg,6243b,2024-06-05
CZ0323169,Bombina variegata,amp70/dh,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/di,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/dj,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/dk,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/dl,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/dm,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/dn,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/do,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/e,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/f,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/g,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/h,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/i,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/j,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/k,6243b,2024-06-05
CZ0323169,Bombina variegata,amp70/l,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/m,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/n,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/o,6243b,2019-07-10
CZ0323169,Bombina variegata,amp70/p,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/q,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/r,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/s,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/t,6243b,2021-07-13
CZ0323169,Bombina variegata,amp70/u,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/v,6243b,2021-07-13
CZ0323169,Bombina variegata,amp70/w,6243b,2019-07-10
CZ0323169,Bombina variegata,amp70/x,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/y,6243b,2024-07-03
CZ0323169,Bombina variegata,amp70/z,6243b,2024-07-03
CZ0323478,Bombina variegata,CZ0323478,6545b,2019-09-10
CZ0323478,Bombina variegata,CZ0323478,6546a,2024-07-14
CZ0323812,Lampetra planeri,CZ0323812,6248c,2017-10-10
CZ0323812,Lampetra planeri,Klabava,6248c,2023-10-09
CZ0323824,Lampetra planeri,CZ0323824,6746a,2015-11-18
CZ0323824,Lampetra planeri,CZ0323824,6746b,2015-11-18
CZ0323824,Lampetra planeri,CZ0323824,6747a,2015-09-24
CZ0323824,Lampetra planeri,OST_002_Ostružná,6747a,2020-09-27
CZ0323824,Lampetra planeri,OST_003_Ostružná,6746b,2020-09-27
CZ0323824,Lampetra planeri,OST_006_Ostružná,6746a,2020-09-27
CZ0323824,Lampetra planeri,OST_007_Ostružná,6746a,2023-10-27
CZ0323825,Lampetra planeri,CZ0323825,6143b,2021-11-16
CZ0323826,Bombina variegata,CZ0323826,6345b,2022-07-29
CZ0323826,Bombina variegata,CZ0323826_01,6345b,2024-07-24
CZ0323826,Bombina variegata,CZ0323826_02,6345b,2024-07-24
CZ0323826,Bombina variegata,CZ0323826_03,6345b,2022-06-28
CZ0323826,Bombina variegata,CZ0323826_04,6345b,2022-06-28
CZ0323826,Bombina variegata,CZ0323826_05,6345b,2022-06-28
CZ0323826,Bombina variegata,CZ0323826_06,6345b,2024-07-24
CZ0323826,Bombina variegata,CZ0323826_07,6345b,2022-06-28
CZ0323826,Bombina variegata,CZ0323826_08,6345b,2024-07-24
CZ0323826,Bombina variegata,CZ0323826_09,6345b,2022-06-28
CZ0323826,Bombina variegata,CZ0323826_10,6345b,2024-07-24
CZ0323826,Bombina variegata,CZ0323826_11,6345b,2024-07-24
CZ0323826,Bombina variegata,CZ0323826_12,6345b,2022-06-28
CZ0323826,Bombina variegata,CZ0323826_13,6345b,2022-06-28
CZ0323826,Bombina variegata,CZ0323826_14,6345b,2022-06-28
CZ0323826,Bombina variegata,CZ0323826_15,6345b,2022-06-28
CZ0323826,Bombina variegata,CZ0323826_16,6345b,2022-06-28
CZ0323826,Bombina variegata,CZ0323826_17,6345b,2022-06-28
CZ0323826,Bombina variegata,CZ0323826_18,6345b,2022-06-28
CZ0323826,Bombina variegata,CZ0323826_19,6345b,2022-08-29
CZ0323826,Bombina variegata,CZ0323826_20,6345b,2022-08-29
CZ0323826,Bombina variegata,CZ0323826_21,6345b,2022-08-29
CZ0323826,Bombina variegata,CZ0323826_22,6345b,2024-07-24
CZ0323826,Bombina variegata,amp65,6345b,2021-05-30
CZ0324025,Lampetra planeri,CZ0324025,6046d,2015-11-17
CZ0324026,Lampetra planeri,CZ0324026,6542a,2016-09-23
CZ0324026,Lampetra planeri,CZ0324026,6542c,2016-09-23
CZ0324026,Lampetra planeri,Niva Nemanického potoka,6542a,2022-09-24
CZ0324026,Lampetra planeri,Niva Nemanického potoka,6542c,2022-09-24
CZ0410020,Lampetra planeri,CZ0410020,5841c,2021-06-05
CZ0413177,Lampetra planeri,BLP_001_Bystřina – Lužní potok,5638d,2023-08-13
CZ0413177,Lampetra planeri,BLP_002_Bystřina – Lužní potok,5638d,2023-08-13
CZ0413177,Lampetra planeri,BLP_003_Bystřina – Lužní potok,5638d,2023-08-16
CZ0413177,Lampetra planeri,BLP_004_Bystřina – Lužní potok,5738b,2023-08-13
CZ0413177,Lampetra planeri,CZ0413177,5638d,2013-10-04
CZ0413177,Lampetra planeri,CZ0413177,5738b,2017-05-24
CZ0413190,Osmoderma barnabita,CZ0413190,5743b,2018-10-03
CZ0413194,Lampetra planeri,CZ0413194,5945a,2015-09-21
CZ0413194,Lampetra planeri,STR_001_Střela,5945b,2023-08-11
CZ0414110,Lampetra planeri,CZ0414110,5542d,2015-09-01
CZ0414127,Lampetra planeri,CZ0414127,5745a,2015-09-01
CZ0420021,Osmoderma barnabita,CZ0420021,5545c,2015-10-01
CZ0420144,Lampetra planeri,CZ0420144,5445a,2015-09-01
CZ0423202,Osmoderma barnabita,CZ0423202,5449c,2021-05-23
CZ0423210,Osmoderma barnabita,CZ0423210,5349c,2025-03-02
CZ0423213,Osmoderma barnabita,CZ0423213,5546b,2025-03-02
CZ0423217,Osmoderma barnabita,CZ0423217,5746a,2014-03-20
CZ0423217,Osmoderma barnabita,CZ0423217,5746c,2014-11-13
CZ0423223,Osmoderma barnabita,CZ0423223,5846d,2022-08-06
CZ0423224,Osmoderma barnabita,CZ0423224,5451a,2022-11-28
CZ0423233,Osmoderma barnabita,CZ0423233,5548d,2020-04-29
CZ0423510,Lampetra planeri,CZ0423510,5647c,2015-09-01
CZ0423510,Lampetra planeri,CZ0423510,5648a,2015-09-01
CZ0423510,Lampetra planeri,CZ0423510,5648b,2015-09-01
CZ0424030,Lampetra planeri,CZ0424030,5445d,2015-09-01
CZ0424030,Lampetra planeri,CZ0424030,5546a,2015-09-01
CZ0424031,Lampetra planeri,CS_LP_001_České Švýcarsko,5052c,2023-10-07
CZ0424031,Lampetra planeri,CS_LP_002_České Švýcarsko,5152a,2023-10-07
CZ0424031,Lampetra planeri,CS_LP_003_České Švýcarsko,5152a,2023-10-07
CZ0424031,Lampetra planeri,CS_LP_004_České Švýcarsko,5052c,2023-10-07
CZ0424031,Lampetra planeri,CS_LP_005_České Švýcarsko,5052c,2023-10-07
CZ0424031,Lampetra planeri,CS_LP_006_České Švýcarsko,5052c,2023-10-07
CZ0424031,Lampetra planeri,CS_LP_007_České Švýcarsko,5152c,2023-10-07
CZ0424031,Lampetra planeri,CS_LP_008_České Švýcarsko,5152c,2023-10-07
CZ0424031,Lampetra planeri,CS_LP_009_České Švýcarsko,5152c,2023-10-07
CZ0424031,Lampetra planeri,CS_LP_010_České Švýcarsko,5152c,2023-10-07
CZ0424031,Lampetra planeri,CS_LP_011_České Švýcarsko,5152c,2023-10-07
CZ0424031,Lampetra planeri,CS_LP_012_České Švýcarsko,5152c,2023-10-07
CZ0424031,Lampetra planeri,CS_SS_010_České Švýcarsko,5152c,2022-09-28
CZ0424031,Lampetra planeri,CZ0424031,5052c,2023-07-13
CZ0424031,Lampetra planeri,CZ0424031,5052d,2012-11-01
CZ0424031,Lampetra planeri,CZ0424031,5151b,2020-07-24
CZ0424031,Lampetra planeri,CZ0424031,5152a,2024-04-27
CZ0424031,Lampetra planeri,CZ0424031,5152c,2023-07-12
CZ0424031,Lampetra planeri,CZ0424031,5152d,2014-04-13
CZ0424031,Lampetra planeri,České Švýcarsko,5052c,2022-10-15
CZ0424031,Lampetra planeri,České Švýcarsko,5152a,2021-10-25
CZ0424031,Lampetra planeri,České Švýcarsko,5152b,2020-10-17
CZ0424031,Lampetra planeri,České Švýcarsko,5152c,2020-10-18
CZ0424125,Bombina variegata,amp107,5845b,2024-04-15
CZ0424127,Lampetra planeri,CZ0424127,5446d,2015-09-01
CZ0424127,Osmoderma barnabita,CZ0424127,5446d,2014-09-28
CZ0424127,Osmoderma barnabita,CZ0424127,5447a,2021-10-10
CZ0424138,Osmoderma barnabita,CZ0424138,5550d,2018-10-26
CZ0510191,Lampetra planeri,CZ0510191,5357c,2015-10-23
CZ0510400,Lampetra planeri,CZ0510400,5156b,2014-09-26
CZ0510400,Lampetra planeri,CZ0510400,5157a,2014-09-26
CZ0510402,Lampetra planeri,CZ0510402,5157d,2014-09-26
CZ0510415,Lampetra planeri,CZ0510415,5157b,2014-10-04
CZ0513254,Lampetra planeri,CZ0513254,5256c,2022-10-18
CZ0513254,Lampetra planeri,LUP_001_Luční potok,5256c,2023-08-13
CZ0513254,Lampetra planeri,LUP_003_Luční potok,5256c,2023-08-13
CZ0513255,Osmoderma barnabita,CZ0513255,5454a,2023-07-24
CZ0513256,Lampetra planeri,CZ0513256,4956c,2022-10-22
CZ0513256,Lampetra planeri,CZ0513256,5056a,2022-10-22
CZ0513256,Lampetra planeri,CZ0513256,5056c,2022-10-22
CZ0513256,Lampetra planeri,SME_LP_002_Smědá,4956c,2023-09-09
CZ0513256,Lampetra planeri,SME_LP_003_Smědá,5056a,2023-09-09
CZ0513256,Lampetra planeri,SME_LP_004_Smědá,5056a,2023-09-09
CZ0513256,Lampetra planeri,SME_LP_005_Smědá,5056c,2023-09-09
CZ0513505,Osmoderma barnabita,CZ0513505,5251b,2017-03-28
CZ0513506,Lampetra planeri,CZ0513506,5254d,2016-06-21
CZ0513506,Lampetra planeri,CZ0513506,5255c,2014-09-14
CZ0513506,Lampetra planeri,CZ0513506,5353b,2015-07-21
CZ0513506,Lampetra planeri,CZ0513506,5354c,2015-09-12
CZ0513508,Osmoderma barnabita,BROUCI254,5353c,2021-06-30
CZ0513508,Osmoderma barnabita,CZ0513508,5353c,2021-06-30
CZ0513509,Lampetra planeri,CZ0513509,5153d,2022-08-16
CZ0513509,Lampetra planeri,CZ0513509,5154c,2022-08-17
CZ0513509,Lampetra planeri,CZ0513509,5254a,2022-10-23
CZ0513509,Lampetra planeri,SVI_001_Svitavka,5254a,2023-11-02
CZ0514042,Osmoderma barnabita,BROUCI115,5354c,2022-11-29
CZ0514042,Osmoderma barnabita,BROUCI348,5454b,2023-06-27
CZ0514042,Osmoderma barnabita,CZ0514042,5353c,2021-06-30
CZ0514042,Osmoderma barnabita,CZ0514042,5354c,2014-07-13
CZ0514042,Osmoderma barnabita,CZ0514042,5453b,2019-11-27
CZ0514042,Osmoderma barnabita,CZ0514042,5454a,2021-07-30
CZ0514042,Osmoderma barnabita,CZ0514042,5454b,2017-05-07
CZ0514243,Osmoderma barnabita,235,5454c,2014-07-23
CZ0514243,Osmoderma barnabita,CZ0514243,5454c,2020-07-25
CZ0514670,Osmoderma barnabita,758655,5352d,2017-07-18
CZ0514670,Osmoderma barnabita,BROUCI116,5352c,2022-11-29
CZ0514670,Osmoderma barnabita,CZ0514670,5352c,2022-05-21
CZ0514670,Osmoderma barnabita,CZ0514670,5352d,2021-07-18
CZ0514672,Lampetra planeri,CZ0514672,5357b,2012-09-18
CZ0514672,Lampetra planeri,CZ0514672,5357d,2022-10-29
CZ0514672,Lampetra planeri,CZ0514672,5358c,2022-10-22
CZ0514672,Lampetra planeri,CZ0514672,5358d,2021-07-31
CZ0514672,Lampetra planeri,CZ0514672,5458a,2022-10-22
CZ0520028,Lampetra planeri,CZ0520028,5562c,2020-09-18
CZ0520604,Lampetra planeri,CZ0520604,5864a,2018-10-10
CZ0520604,Lampetra planeri,Zdobnice,5864a,2024-09-11
CZ0523007,Lampetra planeri,CZ0523007,5762b,2022-10-06
CZ0523007,Lampetra planeri,CZ0523007,5763a,2022-10-06
CZ0523007,Lampetra planeri,DED_LP_001_Dědina u Dobrušky,5763a,2023-10-17
CZ0523007,Lampetra planeri,DED_LP_002_Dědina u Dobrušky,5763a,2023-10-17
CZ0523007,Lampetra planeri,DED_LP_003_Dědina u Dobrušky,5762b,2023-10-17
CZ0523007,Lampetra planeri,Dědina u Dobrušky,5762b,2019-09-23
CZ0523007,Lampetra planeri,Dědina u Dobrušky,5763a,2021-10-31
CZ0523010,Osmoderma barnabita,CZ0523010,5861a,2017-11-04
CZ0523264,Osmoderma barnabita,CZ0523264,5760a,2016-06-23
CZ0523267,Lampetra planeri,CZ0523267,5764b,2021-09-15
CZ0523267,Lampetra planeri,CZ0523267,5765c,2021-09-21
CZ0523267,Lampetra planeri,CZ0523267,5865a,2015-09-22
CZ0523267,Lampetra planeri,CZ0523267,5865c,2021-09-21
CZ0523267,Lampetra planeri,ZAO_002_Divoká Orlice,5765c,2019-10-24
CZ0523268,Osmoderma barnabita,CZ0523268,5562c,2017-03-21
CZ0523274,Osmoderma barnabita,CZ0523274,5558c,2021-08-13
CZ0523277,Lampetra planeri,CZ0523277,5460a,2014-09-30
CZ0523277,Lampetra planeri,CZ0523277,5460c,2015-09-03
CZ0523280,Lampetra planeri,CZ0523280,5362d,2018-10-19
CZ0523280,Lampetra planeri,CZ0523280,5462b,2018-10-19
CZ0523280,Lampetra planeri,CZ0523280,5462d,2016-10-11
CZ0523280,Lampetra planeri,CZ0523280,5463a,2018-10-19
CZ0523280,Lampetra planeri,CZ0523280,5463c,2018-10-19
CZ0523280,Lampetra planeri,CZ0523280,5563a,2016-10-11
CZ0523280,Lampetra planeri,MED_001_Metuje a Dřevíč,5463c,2023-09-16
CZ0523280,Lampetra planeri,MED_002_Metuje a Dřevíč,5463c,2020-10-10
CZ0523280,Lampetra planeri,MED_003_Metuje a Dřevíč,5463a,2023-09-16
CZ0523280,Lampetra planeri,MED_006_Metuje a Dřevíč,5563a,2020-10-10
CZ0523280,Lampetra planeri,MED_007_Metuje a Dřevíč,5463c,2020-10-10
CZ0523280,Lampetra planeri,MED_008_Metuje a Dřevíč,5462d,2023-09-16
CZ0523280,Lampetra planeri,MED_009_Metuje a Dřevíč,5462d,2020-10-10
CZ0523284,Osmoderma barnabita,BROUCI259_198,5762b,2023-08-03
CZ0523284,Osmoderma barnabita,CZ0523284,5762b,2015-05-08
CZ0523290,Osmoderma barnabita,2939,5862a,2012-05-01
CZ0523290,Osmoderma barnabita,CZ0523290,5862a,2017-06-09
CZ0524044,Lampetra planeri,CZ0524044,5258c,2013-09-23
CZ0524044,Lampetra planeri,CZ0524044,5258d,2013-09-01
CZ0524044,Lampetra planeri,CZ0524044,5259c,2015-09-01
CZ0524044,Lampetra planeri,CZ0524044,5259d,2015-09-01
CZ0524044,Lampetra planeri,CZ0524044,5260d,2013-09-01
CZ0524044,Lampetra planeri,CZ0524044,5358b,2013-09-23
CZ0524044,Lampetra planeri,CZ0524044,5358d,2017-06-17
CZ0524044,Lampetra planeri,CZ0524044,5359a,2013-09-23
CZ0524044,Lampetra planeri,CZ0524044,5359b,2013-09-01
CZ0524044,Lampetra planeri,CZ0524044,5359c,2013-09-01
CZ0524044,Lampetra planeri,CZ0524044,5359d,2017-05-29
CZ0524044,Lampetra planeri,CZ0524044,5360b,2015-09-01
CZ0524044,Lampetra planeri,CZ0524044,5360c,2013-09-01
CZ0524044,Lampetra planeri,CZ0524044,5360d,2013-09-01
CZ0524044,Lampetra planeri,CZ0524044,5361a,2015-09-01
CZ0524044,Lampetra planeri,CZ0524044,5361c,2018-10-09
CZ0524044,Lampetra planeri,CZ0524044,5460a,2018-10-09
CZ0524044,Lampetra planeri,CZ0524044,5460b,2013-09-01
CZ0524044,Lampetra planeri,CZ0524044,5461a,2013-09-01
CZ0530033,Lampetra planeri,CZ0530033,6266d,2013-09-23
CZ0530034,Lampetra planeri,CZ0530034,6065d,2013-09-23
CZ0533295,Osmoderma barnabita,BROUCI120,6159d,2022-07-01
CZ0533295,Osmoderma barnabita,BROUCI122,6159c,2022-07-01
CZ0533295,Osmoderma barnabita,CZ0533295,6159c,2012-06-27
CZ0533295,Osmoderma barnabita,CZ0533295,6159d,2012-06-27
CZ0533297,Osmoderma barnabita,CZ0533297,5861d,2015-07-23
CZ0533300,Osmoderma barnabita,CZ0533300,6059d,2021-08-20
CZ0533300,Osmoderma barnabita,CZ0533300,6060a,2021-08-04
CZ0533300,Osmoderma barnabita,CZ0533300,6060c,2021-08-04
CZ0533301,Lampetra planeri,CZ0533301,6261d,2021-06-08
CZ0533301,Lampetra planeri,UCHR_001_Údolí Chrudimky,6261d,2023-10-15
CZ0533301,Lampetra planeri,UCHR_002_Údolí Chrudimky,6261d,2023-10-15
CZ0533302,Osmoderma barnabita,CZ0533302,6059b,2021-07-15
CZ0533307,Osmoderma barnabita,BROUCI51_50,5960b,2022-06-24
CZ0533307,Osmoderma barnabita,BROUCI51_51,5960b,2022-06-24
CZ0533308,Osmoderma barnabita,CZ0533308,5959b,2014-05-20
CZ0533309,Osmoderma barnabita,BROUCI59_81,5960d,2022-07-22
CZ0533309,Osmoderma barnabita,BROUCI59_82,5960d,2022-07-22
CZ0533309,Osmoderma barnabita,BROUCI59_83,5960d,2022-07-22
CZ0533309,Osmoderma barnabita,BROUCI59_84,5960d,2022-07-22
CZ0533309,Osmoderma barnabita,BROUCI59_85,5960d,2022-07-22
CZ0533309,Osmoderma barnabita,BROUCI59_86,5960d,2022-07-22
CZ0533309,Osmoderma barnabita,CZ0533309,5960d,2017-05-23
CZ0533310,Osmoderma barnabita,CZ0533310,6161a,2021-05-24
CZ0533314,Lampetra planeri,CZ0533314,5965b,2018-10-03
CZ0533314,Lampetra planeri,CZ0533314,5965c,2016-10-22
CZ0533314,Lampetra planeri,CZ0533314,5965d,2018-10-03
CZ0533314,Lampetra planeri,CZ0533314,5966a,2018-10-05
CZ0533314,Lampetra planeri,TOR_001_Tichá Orlice,5965c,2022-10-15
CZ0533314,Lampetra planeri,TOR_002_Tichá Orlice,5965d,2020-10-10
CZ0533314,Lampetra planeri,TOR_003_Tichá Orlice,5965b,2022-10-15
CZ0533314,Lampetra planeri,TOR_005_Tichá Orlice,5965b,2023-10-02
CZ0533314,Lampetra planeri,TOR_006_Tichá Orlice,5966a,2023-10-02
CZ0533314,Lampetra planeri,TOR_007_Tichá Orlice,5966b,2022-10-08
CZ0533314,Lampetra planeri,Tichá Orlice,5965b,2020-10-10
CZ0533316,Osmoderma barnabita,CZ0533316,6062a,2021-09-16
CZ0533501,Osmoderma barnabita,BROUCI131_135,6160b,2022-06-15
CZ0533501,Osmoderma barnabita,BROUCI133_137,6160b,2022-06-15
CZ0533501,Osmoderma barnabita,BROUCI134,6160b,2022-06-15
CZ0533501,Osmoderma barnabita,CZ0533501,6160b,2022-08-02
CZ0533696,Osmoderma barnabita,BROUCI127,6060d,2022-06-20
CZ0533696,Osmoderma barnabita,CZ0533696,6060d,2023-08-02
CZ0533698,Osmoderma barnabita,CZ0533698,5958b,2017-06-22
CZ0533698,Osmoderma barnabita,CZ0533698,5958d,2022-02-10
CZ0534053,Lampetra planeri,CZ0534053,6160b,2018-10-17
CZ0534053,Osmoderma barnabita,CZ0534053,6160b,2018-08-27
CZ0610159,Osmoderma barnabita,CZ0610159,6659c,2022-07-22
CZ0610179,Osmoderma barnabita,CZ0610179,6961b,2021-07-05
CZ0612149,Osmoderma barnabita,CZ0612149,7059d,2021-10-31
CZ0613002,Osmoderma barnabita,CZ0613002,6758b,2014-06-17
CZ0613005,Lampetra planeri,CZ0613005,6456a,2015-11-02
CZ0613005,Lampetra planeri,CZ0613005,6456b,2021-08-13
CZ0613005,Lampetra planeri,CZ0613005,6457a,2021-08-13
CZ0613013,Bombina variegata,CZ0613013,6758d,2021-06-05
CZ0613321,Lampetra planeri,CZ0613321,6558a,2017-09-21
