kod_chu,DRUH,KOD_LOKAL,POLE,POSLEDNI_NALEZ
CZ0313099,Osmoderma barnabita,CZ0313099,6952c,2021-08-04
CZ0313099,Osmoderma barnabita,CZ0313099,6952d,2022-06-19
CZ0313106,Osmoderma barnabita,CZ0313106,6754c,2012-02-24
CZ0313106,Osmoderma barnabita,CZ0313106,6854d,2012-03-16
CZ0313106,Osmoderma barnabita,CZ0313106,6955a,2015-04-11
CZ0313113,Osmoderma barnabita,BROUCI156_156,7254b,2021-09-23
CZ0313113,Osmoderma barnabita,CZ0313113,7154d,2015-07-21
CZ0313113,Osmoderma barnabita,CZ0313113,7254b,2021-08-25
CZ0313128,Osmoderma barnabita,CZ0313128,6854c,2015-01-01
CZ0313128,Osmoderma barnabita,CZ0313128,6854d,2024-07-06
CZ0313131,Osmoderma barnabita,CZ0313131,6954d,2021-12-07
CZ0313131,Osmoderma barnabita,CZ0313131,7054b,2021-12-03
CZ0313137,Lampetra planeri,CZ0313137,7254b,2015-11-22
CZ0313137,Lampetra planeri,VEP_002 Veveřský potok,7254b,2023-10-08
CZ0313137,Lampetra planeri,VEP_002_Veveřský potok,7254b,2022-09-17
CZ0313137,Lampetra planeri,VEP_003 Veveřský potok,7254b,2023-10-08
CZ0313137,Lampetra planeri,VEP_003_Veveřský potok,7254b,2022-09-17
CZ0313138,Osmoderma barnabita,CZ0313138,6952d,2020-04-19
CZ0313140,Lampetra planeri,CZ0313140,6448d,2012-09-20
CZ0313805,Lampetra planeri,BLA_001_Blanice,6949d,2022-10-26
CZ0313805,Lampetra planeri,BLA_002_Blanice,6949d,2022-10-26
CZ0313805,Lampetra planeri,BLA_003_Blanice,6949d,2022-10-26
CZ0313805,Lampetra planeri,Blanice,6949d,2019-10-26
CZ0313805,Lampetra planeri,CZ0313805,6949d,2014-09-04
CZ0313822,Lampetra planeri,CZ0313822,6956c,2019-11-17
CZ0314019,Osmoderma barnabita,2,6954a,2012-04-23
CZ0314019,Osmoderma barnabita,CZ0314019,6954a,2022-07-23
CZ0314022,Lampetra planeri,CZ0314022,7252d,2024-04-24
