kod_chu,DRUH,ID_IND,KLIC,ROK,POLE,NAZEV_LOK,ID_ND_AKCE,HOD_IND,TYP_IND,LIM_IND,JEDNOTKA,LIM_INDLIST,STAV_IND,UROVEN,IND_GRP,CILMON_CHU
CZ0213818,Lampetra planeri,LOK_PROCDOBR,ne,"2016, 2021, 2023",6249d,"bezejmenný přítok VN Obecnice - Obecnice v Brdech, Obecnický potok - Obecnice_EVL Octárna, Obecnický potok - pod VN Obecnice, Obecnický potok - nad VN Obecnice, bezejmenný přítok VN Obecnice","9796720, 9796721, 13410758, 13411554, 13411555",,min,50,% lokalit v dobrém stavu,alespoň 50 % lokalit v dobrém stavu,špatný,chu,minmax,1
CZ0213818,Lampetra planeri,CELKOVE_HODNOCENI,NA,"2016, 2021, 2023",6249d,"bezejmenný přítok VN Obecnice - Obecnice v Brdech, Obecnický potok - Obecnice_EVL Octárna, Obecnický potok - pod VN Obecnice, Obecnický potok - nad VN Obecnice, bezejmenný přítok VN Obecnice","9796720, 9796721, 13410758, 13411554, 13411555",dobrý,NA,NA,NA,NA,dobrý,chu,NA,1
CZ0214008,Lampetra planeri,LOK_PROCDOBR,ne,"2015, 2018","5849c,5949a, 5849c","Klíčava, Klíčavský potok - Plátěný, Klíčava - nad Myší dírou, Klíčava I -  Na Brejli|267, Klíčava II - Klíčavské louky|269, Klíčava III - Karlův luh_můstek|271","9812744, 9812746, 9812748, 9630767, 9630768, 9809708, 12976307, 12976309, 12976311",,min,50,% lokalit v dobrém stavu,alespoň 50 % lokalit v dobrém stavu,špatný,chu,minmax,1
CZ0214008,Lampetra planeri,CELKOVE_HODNOCENI,NA,"2015, 2018","5849c,5949a, 5849c","Klíčava, Klíčavský potok - Plátěný, Klíčava - nad Myší dírou, Klíčava I -  Na Brejli|267, Klíčava II - Klíčavské louky|269, Klíčava III - Karlův luh_můstek|271","9812744, 9812746, 9812748, 9630767, 9630768, 9809708, 12976307, 12976309, 12976311",dobrý,NA,NA,NA,NA,dobrý,chu,NA,1
CZ0214013,Lampetra planeri,LOK_PROCDOBR,ne,2014,5653c,Pšovka - Velký Borek,9160030,,min,50,% lokalit v dobrém stavu,alespoň 50 % lokalit v dobrém stavu,špatný,chu,minmax,0
CZ0214013,Lampetra planeri,CELKOVE_HODNOCENI,NA,2014,5653c,Pšovka - Velký Borek,9160030,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0214041,Lampetra planeri,LOK_PROCDOBR,ne,"2015, 2023, 2018",6348d,"Kotelský potok I - pod Kotelskými rybníky, Kotelský potok II - Věšín, Kotelský a Nový potok, Kotelský potok - Věšín_mezi Kotelským r. a r. Obžera, Kotelský potok III - Hutě p. Třemšínem, Kotelský potok - Hutě p. Tř._mezi Kotelským rybníkem a Obžerou","9544228, 9544229, 9544230, 9544231, 9812750, 9812751, 13411471, 12976357, 13411470",,min,50,% lokalit v dobrém stavu,alespoň 50 % lokalit v dobrém stavu,špatný,chu,minmax,1
CZ0214041,Lampetra planeri,CELKOVE_HODNOCENI,NA,"2015, 2023, 2018",6348d,"Kotelský potok I - pod Kotelskými rybníky, Kotelský potok II - Věšín, Kotelský a Nový potok, Kotelský potok - Věšín_mezi Kotelským r. a r. Obžera, Kotelský potok III - Hutě p. Třemšínem, Kotelský potok - Hutě p. Tř._mezi Kotelským rybníkem a Obžerou","9544228, 9544229, 9544230, 9544231, 9812750, 9812751, 13411471, 12976357, 13411470",dobrý,NA,NA,NA,NA,dobrý,chu,NA,1
CZ0310035,Lampetra planeri,LOK_PROCDOBR,ne,2019,"7251b,7251d,7352a","Vltava - Dobrné, Vltava - Všeměry, Vltava - Závratná, Vltava - Rožmberk","11022704, 11022705, 11022706, 11022707",,min,50,% lokalit v dobrém stavu,alespoň 50 % lokalit v dobrém stavu,špatný,chu,minmax,0
CZ0310035,Lampetra planeri,CELKOVE_HODNOCENI,NA,2019,"7251b,7251d,7352a","Vltava - Dobrné, Vltava - Všeměry, Vltava - Závratná, Vltava - Rožmberk","11022704, 11022705, 11022706, 11022707",dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0313092,Lampetra planeri,LOK_PROCDOBR,ne,"2022, 2023, 2016",7254a,"Bedřichovský potok - Filkův vrch, Bedřichovský potok - Bedřichov, Bedřichovský potok – Chlupatá Ves, Bedřichovský potok III. - Chlupatá Ves","13411333, 13411775, 13411789, 13411790, 10148539",,min,50,% lokalit v dobrém stavu,alespoň 50 % lokalit v dobrém stavu,špatný,chu,minmax,1
CZ0313092,Lampetra planeri,CELKOVE_HODNOCENI,NA,"2022, 2023, 2016",7254a,"Bedřichovský potok - Filkův vrch, Bedřichovský potok - Bedřichov, Bedřichovský potok – Chlupatá Ves, Bedřichovský potok III. - Chlupatá Ves","13411333, 13411775, 13411789, 13411790, 10148539",dobrý,NA,NA,NA,NA,dobrý,chu,NA,1
CZ0313137,Lampetra planeri,LOK_PROCDOBR,ne,"2015, 2023, 2022",7254b,"Veverský potok - 2. úsek - Veveří, Veverský potok - 3 - úsek - Veveří, Veveřský potok - Veveří_nad, Veveřský potok - nad přítokem z r. Velký Blatouch, Veveřský potok - na přítokem z r. Velký Blatouch","9635565, 9635566, 13411792, 13411277, 13411793, 13411283",,min,50,% lokalit v dobrém stavu,alespoň 50 % lokalit v dobrém stavu,špatný,chu,minmax,1
CZ0313137,Lampetra planeri,CELKOVE_HODNOCENI,NA,"2015, 2023, 2022",7254b,"Veverský potok - 2. úsek - Veveří, Veverský potok - 3 - úsek - Veveří, Veveřský potok - Veveří_nad, Veveřský potok - nad přítokem z r. Velký Blatouch, Veveřský potok - na přítokem z r. Velký Blatouch","9635565, 9635566, 13411792, 13411277, 13411793, 13411283",dobrý,NA,NA,NA,NA,dobrý,chu,NA,1
CZ0313140,Lampetra planeri,LOK_PROCDOBR,ne,2012,6448d,Závišinský potok III. - nad rybníky u Vacíkova,9370954,,min,50,% lokalit v dobrém stavu,alespoň 50 % lokalit v dobrém stavu,špatný,chu,minmax,1
CZ0313140,Lampetra planeri,CELKOVE_HODNOCENI,NA,2012,6448d,Závišinský potok III. - nad rybníky u Vacíkova,9370954,dobrý,NA,NA,NA,NA,dobrý,chu,NA,1
CZ0313805,Lampetra planeri,LOK_PROCDOBR,ne,"2022, 2019, 2014",6949d,"Blanice (Vodňanská) - Podedvorský Mlýn, Blanice (Vodňanská) - Zábrdský Mlýn, Blanice (Vodňanská) - Horní Záblatí, Blanice (Vodňanská) - Podedvorský Mlýn|205, Blanice (Vodňanská) - Zábrdský Mlýn|207, Blanice (Vodňanská) - Dvory","13411151, 13411152, 13411153, 12976135, 12976137, 9803526",,min,50,% lokalit v dobrém stavu,alespoň 50 % lokalit v dobrém stavu,špatný,chu,minmax,1
CZ0313805,Lampetra planeri,CELKOVE_HODNOCENI,NA,"2022, 2019, 2014",6949d,"Blanice (Vodňanská) - Podedvorský Mlýn, Blanice (Vodňanská) - Zábrdský Mlýn, Blanice (Vodňanská) - Horní Záblatí, Blanice (Vodňanská) - Podedvorský Mlýn|205, Blanice (Vodňanská) - Zábrdský Mlýn|207, Blanice (Vodňanská) - Dvory","13411151, 13411152, 13411153, 12976135, 12976137, 9803526",dobrý,NA,NA,NA,NA,dobrý,chu,NA,1
